SNO,PLAYER,TEAM_IMG,BLANK,MAT,TEAM,INS,OVERS,RUNS,WKTS,BBF,MDNS,DOTS,ECON,AVE,SR,HATTRICK,4W,5W,WIDES,NB,League Name
107,Matt Collett,PHSOB 3,,PHSOB 3,1,1,1.2,1,1,1/ 1,0,7,0.75,1.00,8.0,0,0,0,0,0,2024 Titans Second League
,PHSOB 3,,,,,,,,,,,,,,,,,,,,2024 Titans Second League
108,Dylan Van wyk,SINOVILLE 4,,SINOVILLE 4,1,1,2.0,4,1,4/ 1,1,9,2.00,4.00,12.0,0,0,0,0,0,2024 Titans Second League
,SINOVILLE 4,,,,,,,,,,,,,,,,,,,,2024 Titans Second League
109,Wian van Deventer,SINOVILLE 3,,SINOVILLE 3,1,1,3.0,7,1,7/ 1,0,14,2.33,7.00,18.0,0,0,0,1,0,2024 Titans Second League
,SINOVILLE 3,,,,,,,,,,,,,,,,,,,,2024 Titans Second League
110,Matt Rogerson,PHSOB 3,,PHSOB 3,2,1,5.0,13,1,13/ 1,0,25,2.60,13.00,30.0,0,0,0,4,0,2024 Titans Second League
,PHSOB 3,,,,,,,,,,,,,,,,,,,,2024 Titans Second League
111,Francois Mostert,PHSOB 3,,PHSOB 3,1,1,6.0,16,1,16/ 1,3,31,2.67,16.00,36.0,0,0,0,0,0,2024 Titans Second League
,PHSOB 3,,,,,,,,,,,,,,,,,,,,2024 Titans Second League
112,Hendre Du toit,SINOVILLE 4,,SINOVILLE 4,1,1,9.0,25,1,25/ 1,0,40,2.78,25.00,54.0,0,0,0,3,0,2024 Titans Second League
,SINOVILLE 4,,,,,,,,,,,,,,,,,,,,2024 Titans Second League
113,Clinton Da costa,HARLEQUINS 3,,HARLEQUINS 3,2,2,13.0,43,1,23/ 1,0,50,3.31,43.00,78.0,0,0,0,0,1,2024 Titans Second League
,HARLEQUINS 3,,,,,,,,,,,,,,,,,,,,2024 Titans Second League
114,Lafras Jenkins,PHSOB 3,,PHSOB 3,1,1,9.0,32,1,32/ 1,0,31,3.56,32.00,54.0,0,0,0,1,0,2024 Titans Second League
,PHSOB 3,,,,,,,,,,,,,,,,,,,,2024 Titans Second League
115,JP Roetz,SINOVILLE 4,,SINOVILLE 4,1,1,9.0,33,1,33/ 1,2,42,3.67,33.00,54.0,0,0,0,2,0,2024 Titans Second League
,SINOVILLE 4,,,,,,,,,,,,,,,,,,,,2024 Titans Second League
116,Marius Swanepoel,CBCOB 3,,CBCOB 3,1,1,6.0,22,1,22/ 1,1,23,3.67,22.00,36.0,0,0,0,2,0,2024 Titans Second League
,CBCOB 3,,,,,,,,,,,,,,,,,,,,2024 Titans Second League
117,Riaan Davel,SINOVILLE 4,,SINOVILLE 4,1,1,7.0,26,1,26/ 1,1,30,3.71,26.00,42.0,0,0,0,2,0,2024 Titans Second League
,SINOVILLE 4,,,,,,,,,,,,,,,,,,,,2024 Titans Second League
118,Chad Fortman,PHSOB 3,,PHSOB 3,2,2,11.0,41,1,29/ 1,0,39,3.73,41.00,66.0,0,0,0,7,0,2024 Titans Second League
,PHSOB 3,,,,,,,,,,,,,,,,,,,,2024 Titans Second League
119,Pieter Jansen van rensburg,SINOVILLE 3,,SINOVILLE 3,2,1,5.0,19,1,19/ 1,0,17,3.80,19.00,30.0,0,0,0,1,0,2024 Titans Second League
,SINOVILLE 3,,,,,,,,,,,,,,,,,,,,2024 Titans Second League
120,Vuks Bamuza,HARLEQUINS 3,,HARLEQUINS 3,1,1,9.0,35,1,35/ 1,0,32,3.89,35.00,54.0,0,0,0,2,0,2024 Titans Second League
,HARLEQUINS 3,,,,,,,,,,,,,,,,,,,,2024 Titans Second League
121,Nicolas Pillay,IRENE VILLAGERS 3,,IRENE VILLAGERS 3,1,1,2.0,8,1,8/ 1,1,10,4.00,8.00,12.0,0,0,0,0,0,2024 Titans Second League
,IRENE VILLAGERS 3,,,,,,,,,,,,,,,,,,,,2024 Titans Second League
122,Haardi Abdul,HARLEQUINS 3,,HARLEQUINS 3,1,1,8.0,35,1,35/ 1,0,33,4.38,35.00,48.0,0,0,0,2,0,2024 Titans Second League
,HARLEQUINS 3,,,,,,,,,,,,,,,,,,,,2024 Titans Second League
123,Wehan du Waal,PHSOB 3,,PHSOB 3,2,2,10.0,44,1,11/ 1,1,47,4.40,44.00,60.0,0,0,0,10,1,2024 Titans Second League
,PHSOB 3,,,,,,,,,,,,,,,,,,,,2024 Titans Second League
124,Alec Jordaan,CBCOB 3,,CBCOB 3,4,4,20.5,94,1,20/ 1,3,94,4.51,94.00,125.0,0,0,0,22,1,2024 Titans Second League
,CBCOB 3,,,,,,,,,,,,,,,,,,,,2024 Titans Second League
125,Werner Marneweck,TUKS 5,,TUKS 5,2,2,9.0,42,1,20/ 1,1,40,4.67,42.00,54.0,0,0,0,8,0,2024 Titans Second League
,TUKS 5,,,,,,,,,,,,,,,,,,,,2024 Titans Second League
126,Stanley Fabri,SINOVILLE 4,,SINOVILLE 4,3,3,19.0,92,1,54/ 1,1,74,4.84,92.00,114.0,0,0,0,5,0,2024 Titans Second League
,SINOVILLE 4,,,,,,,,,,,,,,,,,,,,2024 Titans Second League
127,Reinhardt Engler,HARLEQUINS 3,,HARLEQUINS 3,1,1,7.0,37,1,37/ 1,0,29,5.29,37.00,42.0,0,0,0,5,1,2024 Titans Second League
,HARLEQUINS 3,,,,,,,,,,,,,,,,,,,,2024 Titans Second League
128,Andre Schoombee,SINOVILLE 3,,SINOVILLE 3,3,3,17.0,90,1,34/ 1,2,70,5.29,90.00,102.0,0,0,0,3,3,2024 Titans Second League
,SINOVILLE 3,,,,,,,,,,,,,,,,,,,,2024 Titans Second League
129,Christo Swanepoel,PHSOB 4,,PHSOB 4,1,1,9.0,48,1,48/ 1,1,29,5.33,48.00,54.0,0,0,0,2,0,2024 Titans Second League
,PHSOB 4,,,,,,,,,,,,,,,,,,,,2024 Titans Second League
130,Jonathan White,CENTURION KAVALIERS 3,,CENTURION KAVALIERS 3,1,1,3.0,16,1,16/ 1,0,10,5.33,16.00,18.0,0,0,0,1,0,2024 Titans Second League
,CENTURION KAVALIERS 3,,,,,,,,,,,,,,,,,,,,2024 Titans Second League
131,Lessego Teffo,HARLEQUINS 3,,HARLEQUINS 3,4,2,11.3,64,1,46/ 1,0,26,5.57,64.00,69.0,0,0,0,5,1,2024 Titans Second League
,HARLEQUINS 3,,,,,,,,,,,,,,,,,,,,2024 Titans Second League
132,Danie Kruger,SINOVILLE 4,,SINOVILLE 4,1,1,4.0,23,1,23/ 1,0,15,5.75,23.00,24.0,0,0,0,4,0,2024 Titans Second League
,SINOVILLE 4,,,,,,,,,,,,,,,,,,,,2024 Titans Second League
133,Berno Klopper,SINOVILLE 3,,SINOVILLE 3,5,1,4.0,24,1,24/ 1,0,10,6.00,24.00,24.0,0,0,0,0,0,2024 Titans Second League
,SINOVILLE 3,,,,,,,,,,,,,,,,,,,,2024 Titans Second League
134,Pieter Oosthuisen,SINOVILLE 4,,SINOVILLE 4,1,1,5.0,30,1,30/ 1,0,9,6.00,30.00,30.0,0,0,0,1,0,2024 Titans Second League
,SINOVILLE 4,,,,,,,,,,,,,,,,,,,,2024 Titans Second League
135,Nathan Stryfom,HARLEQUINS 3,,HARLEQUINS 3,2,1,1.5,11,1,11/ 1,0,5,6.00,11.00,11.0,0,0,0,0,0,2024 Titans Second League
,HARLEQUINS 3,,,,,,,,,,,,,,,,,,,,2024 Titans Second League
136,Divan Haasbroek,CBCOB 3,,CBCOB 3,1,1,4.0,24,1,24/ 1,1,15,6.00,24.00,24.0,0,0,0,0,0,2024 Titans Second League
,CBCOB 3,,,,,,,,,,,,,,,,,,,,2024 Titans Second League
137,Mike Hartman,HARLEQUINS 3,,HARLEQUINS 3,2,2,5.2,32,1,23/ 1,0,19,6.00,32.00,32.0,0,0,0,1,0,2024 Titans Second League
,HARLEQUINS 3,,,,,,,,,,,,,,,,,,,,2024 Titans Second League
138,Tiaan Borman,SINOVILLE 4,,SINOVILLE 4,2,2,10.0,64,1,31/ 1,0,35,6.40,64.00,60.0,0,0,0,3,0,2024 Titans Second League
,SINOVILLE 4,,,,,,,,,,,,,,,,,,,,2024 Titans Second League
139,Edwin De Waal,PHSOB 3,,PHSOB 3,1,1,4.0,26,1,26/ 1,0,11,6.50,26.00,24.0,0,0,0,0,0,2024 Titans Second League
,PHSOB 3,,,,,,,,,,,,,,,,,,,,2024 Titans Second League
140,Dustyn Du preez,CENTURION KAVALIERS 3,,CENTURION KAVALIERS 3,1,1,2.0,13,1,13/ 1,0,5,6.50,13.00,12.0,0,0,0,0,0,2024 Titans Second League
,CENTURION KAVALIERS 3,,,,,,,,,,,,,,,,,,,,2024 Titans Second League
141,Mohapi Molete,IRENE VILLAGERS 3,,IRENE VILLAGERS 3,3,2,6.0,40,1,21/ 1,0,19,6.67,40.00,36.0,0,0,0,2,0,2024 Titans Second League
,IRENE VILLAGERS 3,,,,,,,,,,,,,,,,,,,,2024 Titans Second League
142,Hanco Kruger,TUKS 5,,TUKS 5,2,2,10.0,71,1,26/ 1,2,36,7.10,71.00,60.0,0,0,0,8,2,2024 Titans Second League
,TUKS 5,,,,,,,,,,,,,,,,,,,,2024 Titans Second League
143,Kian Hoeuner,CBCOB 3,,CBCOB 3,1,1,7.0,50,1,50/ 1,0,0,7.14,50.00,42.0,0,0,0,0,0,2024 Titans Second League
,CBCOB 3,,,,,,,,,,,,,,,,,,,,2024 Titans Second League
144,Matthew Bottham,CBCOB 3,,CBCOB 3,1,1,7.0,54,1,54/ 1,0,0,7.71,54.00,42.0,0,0,0,0,0,2024 Titans Second League
,CBCOB 3,,,,,,,,,,,,,,,,,,,,2024 Titans Second League
145,Franco Vorster,HARLEQUINS 3,,HARLEQUINS 3,1,1,5.0,39,1,39/ 1,0,14,7.80,39.00,30.0,0,0,0,2,1,2024 Titans Second League
,HARLEQUINS 3,,,,,,,,,,,,,,,,,,,,2024 Titans Second League
146,Gerry Gouws,CBCOB 3,,CBCOB 3,3,2,8.0,63,1,42/ 1,0,20,7.88,63.00,48.0,0,0,0,5,0,2024 Titans Second League
,CBCOB 3,,,,,,,,,,,,,,,,,,,,2024 Titans Second League
147,Albert Myburgh,IRENE VILLAGERS 3,,IRENE VILLAGERS 3,7,4,15.0,120,1,48/ 1,1,55,8.00,120.00,90.0,0,0,0,6,1,2024 Titans Second League
,IRENE VILLAGERS 3,,,,,,,,,,,,,,,,,,,,2024 Titans Second League
148,Keith Slater,CENTURION KAVALIERS 3,,CENTURION KAVALIERS 3,1,1,5.0,40,1,40/ 1,0,15,8.00,40.00,30.0,0,0,0,0,0,2024 Titans Second League
,CENTURION KAVALIERS 3,,,,,,,,,,,,,,,,,,,,2024 Titans Second League
149,JP Roets,SINOVILLE 4,,SINOVILLE 4,3,3,11.0,91,1,44/ 1,0,32,8.27,91.00,66.0,0,0,0,7,0,2024 Titans Second League
,SINOVILLE 4,,,,,,,,,,,,,,,,,,,,2024 Titans Second League
150,Hanco Hertzog,SINOVILLE 3,,SINOVILLE 3,2,2,8.0,72,1,29/ 1,0,30,9.00,72.00,48.0,0,0,0,24,3,2024 Titans Second League
,SINOVILLE 3,,,,,,,,,,,,,,,,,,,,2024 Titans Second League
151,Berno Klopper,SINOVILLE 4,,SINOVILLE 4,2,1,7.0,71,1,71/ 1,0,12,10.14,71.00,42.0,0,0,0,5,0,2024 Titans Second League
,SINOVILLE 4,,,,,,,,,,,,,,,,,,,,2024 Titans Second League
152,Hein Swanepoel,HARLEQUINS 3,,HARLEQUINS 3,2,2,11.0,114,1,75/ 1,0,28,10.36,114.00,66.0,0,0,0,10,1,2024 Titans Second League
,HARLEQUINS 3,,,,,,,,,,,,,,,,,,,,2024 Titans Second League
153,Rowan Plaatjies,CBCOB 3,,CBCOB 3,2,1,1.0,13,1,13/ 1,0,1,13.00,13.00,6.0,0,0,0,0,0,2024 Titans Second League
,CBCOB 3,,,,,,,,,,,,,,,,,,,,2024 Titans Second League
154,Matt Rodgerson,PHSOB 4,,PHSOB 4,1,1,1.0,16,1,16/ 1,0,3,16.00,16.00,6.0,0,0,0,1,1,2024 Titans Second League
,PHSOB 4,,,,,,,,,,,,,,,,,,,,2024 Titans Second League
155,Hanco Hertzog,SINOVILLE 4,,SINOVILLE 4,2,1,1.0,18,1,18/ 1,0,3,18.00,18.00,6.0,0,0,0,9,0,2024 Titans Second League
,SINOVILLE 4,,,,,,,,,,,,,,,,,,,,2024 Titans Second League
156,Echardt Stuwig,SINOVILLE 4,,SINOVILLE 4,1,1,5.0,10,0,10/ 0,2,26,2.00,0,0.0,0,0,0,3,0,2024 Titans Second League
,SINOVILLE 4,,,,,,,,,,,,,,,,,,,,2024 Titans Second League
157,Keaton Steenkamp,SINOVILLE 4,,SINOVILLE 4,1,1,4.0,11,0,11/ 0,0,21,2.75,0,0.0,0,0,0,2,0,2024 Titans Second League
,SINOVILLE 4,,,,,,,,,,,,,,,,,,,,2024 Titans Second League
158,Juan Van den berg,SINOVILLE 4,,SINOVILLE 4,1,1,9.0,26,0,26/ 0,0,38,2.89,0,0.0,0,0,0,4,0,2024 Titans Second League
,SINOVILLE 4,,,,,,,,,,,,,,,,,,,,2024 Titans Second League
159,Zadian Cbc3,CBCOB 3,,CBCOB 3,1,1,9.0,28,0,28/ 0,1,42,3.11,0,0.0,0,0,0,6,0,2024 Titans Second League
,CBCOB 3,,,,,,,,,,,,,,,,,,,,2024 Titans Second League
160,Dian Botha,SINOVILLE 3,,SINOVILLE 3,1,1,6.0,19,0,19/ 0,1,30,3.17,0,0.0,0,0,0,3,0,2024 Titans Second League
,SINOVILLE 3,,,,,,,,,,,,,,,,,,,,2024 Titans Second League
161,Warren Pollard,IRENE VILLAGERS 3,,IRENE VILLAGERS 3,2,1,3.0,10,0,0/ 0,0,13,3.33,0,0.0,0,0,0,0,0,2024 Titans Second League
,IRENE VILLAGERS 3,,,,,,,,,,,,,,,,,,,,2024 Titans Second League
162,Johanco Faihst,TUKS 5,,TUKS 5,1,1,9.0,31,0,31/ 0,1,39,3.44,0,0.0,0,0,0,6,0,2024 Titans Second League
,TUKS 5,,,,,,,,,,,,,,,,,,,,2024 Titans Second League
163,Wian Nel,SINOVILLE 4,,SINOVILLE 4,1,1,5.0,20,0,20/ 0,0,21,4.00,0,0.0,0,0,0,2,0,2024 Titans Second League
,SINOVILLE 4,,,,,,,,,,,,,,,,,,,,2024 Titans Second League
164,Ryan Kruger,SINOVILLE 3,,SINOVILLE 3,1,1,2.0,9,0,9/ 0,0,9,4.50,0,0.0,0,0,0,0,1,2024 Titans Second League
,SINOVILLE 3,,,,,,,,,,,,,,,,,,,,2024 Titans Second League
165,Jayden Smith,TUT 3,,TUT 3,1,1,9.0,43,0,43/ 0,1,28,4.78,0,0.0,0,0,0,3,0,2024 Titans Second League
,TUT 3,,,,,,,,,,,,,,,,,,,,2024 Titans Second League
166,Chanluke Van Niewenhuizen,CBCOB 3,,CBCOB 3,2,2,6.0,29,0,11/ 0,0,21,4.83,0,0.0,0,0,0,1,0,2024 Titans Second League
,CBCOB 3,,,,,,,,,,,,,,,,,,,,2024 Titans Second League
167,Gerrald Gouws,CBCOB 3,,CBCOB 3,2,1,3.0,15,0,0/ 0,0,12,5.00,0,0.0,0,0,0,3,0,2024 Titans Second League
,CBCOB 3,,,,,,,,,,,,,,,,,,,,2024 Titans Second League
168,Brad Goss,PHSOB 3,,PHSOB 3,1,1,9.0,45,0,45/ 0,0,35,5.00,0,0.0,0,0,0,1,0,2024 Titans Second League
,PHSOB 3,,,,,,,,,,,,,,,,,,,,2024 Titans Second League
169,Gerhard Strydom,PHSOB 3,,PHSOB 3,1,1,3.0,15,0,15/ 0,0,13,5.00,0,0.0,0,0,0,2,1,2024 Titans Second League
,PHSOB 3,,,,,,,,,,,,,,,,,,,,2024 Titans Second League
170,Jayden Potgieter,CENTURION KAVALIERS 3,,CENTURION KAVALIERS 3,2,1,3.0,15,0,0/ 0,0,11,5.00,0,0.0,0,0,0,2,2,2024 Titans Second League
,CENTURION KAVALIERS 3,,,,,,,,,,,,,,,,,,,,2024 Titans Second League
171,Liam Van Wyk,CENTURION KAVALIERS 3,,CENTURION KAVALIERS 3,2,2,11.0,55,0,8/ 0,0,44,5.00,0,0.0,0,0,0,6,1,2024 Titans Second League
,CENTURION KAVALIERS 3,,,,,,,,,,,,,,,,,,,,2024 Titans Second League
172,Cj Jordaan,IRENE VILLAGERS 3,,IRENE VILLAGERS 3,1,1,9.0,47,0,47/ 0,0,33,5.22,0,0.0,0,0,0,2,0,2024 Titans Second League
,IRENE VILLAGERS 3,,,,,,,,,,,,,,,,,,,,2024 Titans Second League
173,Divan Cilliers,IRENE VILLAGERS 3,,IRENE VILLAGERS 3,9,2,5.0,30,0,0/ 0,0,17,6.00,0,0.0,0,0,0,8,0,2024 Titans Second League
,IRENE VILLAGERS 3,,,,,,,,,,,,,,,,,,,,2024 Titans Second League
174,Ryno Opperman,IRENE VILLAGERS 3,,IRENE VILLAGERS 3,1,1,1.0,6,0,6/ 0,0,3,6.00,0,0.0,0,0,0,0,0,2024 Titans Second League
,IRENE VILLAGERS 3,,,,,,,,,,,,,,,,,,,,2024 Titans Second League
175,Christo Swanepoel,PHSOB 3,,PHSOB 3,1,1,9.0,55,0,55/ 0,0,30,6.11,0,0.0,0,0,0,4,0,2024 Titans Second League
,PHSOB 3,,,,,,,,,,,,,,,,,,,,2024 Titans Second League
176,Jared Fourie,IRENE VILLAGERS 3,,IRENE VILLAGERS 3,1,1,9.0,56,0,56/ 0,0,36,6.22,0,0.0,0,0,0,5,0,2024 Titans Second League
,IRENE VILLAGERS 3,,,,,,,,,,,,,,,,,,,,2024 Titans Second League
177,Malcolm Lourens,CENTURION KAVALIERS 3,,CENTURION KAVALIERS 3,1,1,2.0,13,0,13/ 0,0,3,6.50,0,0.0,0,0,0,0,0,2024 Titans Second League
,CENTURION KAVALIERS 3,,,,,,,,,,,,,,,,,,,,2024 Titans Second League
178,Grant S,SINOVILLE 3,,SINOVILLE 3,2,1,2.0,13,0,0/ 0,0,7,6.50,0,0.0,0,0,0,2,0,2024 Titans Second League
,SINOVILLE 3,,,,,,,,,,,,,,,,,,,,2024 Titans Second League
179,Lodewyk deJager,PHSOB 4,,PHSOB 4,1,1,3.0,20,0,20/ 0,0,11,6.67,0,0.0,0,0,0,8,0,2024 Titans Second League
,PHSOB 4,,,,,,,,,,,,,,,,,,,,2024 Titans Second League
180,Michael Boyjsens,CENTURION KAVALIERS 3,,CENTURION KAVALIERS 3,1,1,6.0,40,0,40/ 0,0,19,6.67,0,0.0,0,0,0,3,0,2024 Titans Second League
,CENTURION KAVALIERS 3,,,,,,,,,,,,,,,,,,,,2024 Titans Second League
181,Dwayne Kruger,SINOVILLE 4,,SINOVILLE 4,1,1,3.0,20,0,20/ 0,0,13,6.67,0,0.0,0,0,0,0,1,2024 Titans Second League
,SINOVILLE 4,,,,,,,,,,,,,,,,,,,,2024 Titans Second League
182,Rox Marule,SINOVILLE 4,,SINOVILLE 4,1,1,4.0,27,0,27/ 0,0,17,6.75,0,0.0,0,0,0,13,0,2024 Titans Second League
,SINOVILLE 4,,,,,,,,,,,,,,,,,,,,2024 Titans Second League
183,Ewan Erasmus,HARLEQUINS 3,,HARLEQUINS 3,1,1,3.0,21,0,21/ 0,0,11,7.00,0,0.0,0,0,0,3,0,2024 Titans Second League
,HARLEQUINS 3,,,,,,,,,,,,,,,,,,,,2024 Titans Second League
184,Tiaan Du Plessis,SINOVILLE 4,,SINOVILLE 4,1,1,2.0,15,0,15/ 0,0,7,7.50,0,0.0,0,0,0,4,0,2024 Titans Second League
,SINOVILLE 4,,,,,,,,,,,,,,,,,,,,2024 Titans Second League
185,Clayton Brunsdon,IRENE VILLAGERS 3,,IRENE VILLAGERS 3,1,1,4.0,31,0,31/ 0,0,14,7.75,0,0.0,0,0,0,3,0,2024 Titans Second League
,IRENE VILLAGERS 3,,,,,,,,,,,,,,,,,,,,2024 Titans Second League
186,Lester Joseph,CENTURION KAVALIERS 3,,CENTURION KAVALIERS 3,1,1,5.0,39,0,39/ 0,0,13,7.80,0,0.0,0,0,0,2,0,2024 Titans Second League
,CENTURION KAVALIERS 3,,,,,,,,,,,,,,,,,,,,2024 Titans Second League
187,Marius Bornman,TUKS 5,,TUKS 5,6,1,1.0,8,0,0/ 0,0,2,8.00,0,0.0,0,0,0,0,0,2024 Titans Second League
,TUKS 5,,,,,,,,,,,,,,,,,,,,2024 Titans Second League
188,Pietman Voster,CENTURION KAVALIERS 3,,CENTURION KAVALIERS 3,2,1,4.0,33,0,0/ 0,1,11,8.25,0,0.0,0,0,0,0,0,2024 Titans Second League
,CENTURION KAVALIERS 3,,,,,,,,,,,,,,,,,,,,2024 Titans Second League
189,Emil Rolfes,PHSOB 3,,PHSOB 3,3,1,2.0,17,0,0/ 0,0,6,8.50,0,0.0,0,0,0,5,0,2024 Titans Second League
,PHSOB 3,,,,,,,,,,,,,,,,,,,,2024 Titans Second League
190,Johan Pretorius,TUKS 5,,TUKS 5,5,2,5.0,43,0,0/ 0,0,16,8.60,0,0.0,0,0,0,11,1,2024 Titans Second League
,TUKS 5,,,,,,,,,,,,,,,,,,,,2024 Titans Second League
191,Nathi Kundhlande,CENTURION KAVALIERS 3,,CENTURION KAVALIERS 3,4,1,3.0,26,0,0/ 0,0,6,8.67,0,0.0,0,0,0,0,1,2024 Titans Second League
,CENTURION KAVALIERS 3,,,,,,,,,,,,,,,,,,,,2024 Titans Second League
192,Burgert Kloppers,PHSOB 4,,PHSOB 4,1,1,6.0,53,0,53/ 0,0,12,8.83,0,0.0,0,0,0,2,0,2024 Titans Second League
,PHSOB 4,,,,,,,,,,,,,,,,,,,,2024 Titans Second League
193,Andre Schoombee,SINOVILLE 3,,SINOVILLE 3,1,1,5.0,45,0,45/ 0,0,16,9.00,0,0.0,0,0,0,1,1,2024 Titans Second League
,SINOVILLE 3,,,,,,,,,,,,,,,,,,,,2024 Titans Second League
194,Jaco Fourie,PHSOB 3,,PHSOB 3,1,1,3.0,28,0,28/ 0,0,6,9.33,0,0.0,0,0,0,0,0,2024 Titans Second League
,PHSOB 3,,,,,,,,,,,,,,,,,,,,2024 Titans Second League
195,Paul Gouws,CBCOB 3,,CBCOB 3,5,1,2.0,19,0,0/ 0,0,7,9.50,0,0.0,0,0,0,5,0,2024 Titans Second League
,CBCOB 3,,,,,,,,,,,,,,,,,,,,2024 Titans Second League
196,Janus Bronkhorst,CENTURION KAVALIERS 3,,CENTURION KAVALIERS 3,1,1,3.0,30,0,30/ 0,0,7,10.00,0,0.0,0,0,0,2,0,2024 Titans Second League
,CENTURION KAVALIERS 3,,,,,,,,,,,,,,,,,,,,2024 Titans Second League
197,Shane Henery,CENTURION KAVALIERS 3,,CENTURION KAVALIERS 3,1,1,3.0,30,0,30/ 0,0,7,10.00,0,0.0,0,0,0,3,0,2024 Titans Second League
,CENTURION KAVALIERS 3,,,,,,,,,,,,,,,,,,,,2024 Titans Second League
198,Juan Human,HARLEQUINS 3,,HARLEQUINS 3,4,3,7.0,73,0,0/ 0,0,15,10.43,0,0.0,0,0,0,12,0,2024 Titans Second League
,HARLEQUINS 3,,,,,,,,,,,,,,,,,,,,2024 Titans Second League
199,Maans Roubaix,SINOVILLE 3,,SINOVILLE 3,1,1,3.0,33,0,33/ 0,0,8,11.00,0,0.0,0,0,0,3,1,2024 Titans Second League
,SINOVILLE 3,,,,,,,,,,,,,,,,,,,,2024 Titans Second League
200,Aj Jordaan,CENTURION KAVALIERS 3,,CENTURION KAVALIERS 3,2,1,4.0,44,0,0/ 0,0,9,11.00,0,0.0,0,0,0,4,0,2024 Titans Second League
,CENTURION KAVALIERS 3,,,,,,,,,,,,,,,,,,,,2024 Titans Second League
201,Ian Dorfling,SINOVILLE 4,,SINOVILLE 4,4,1,1.0,12,0,0/ 0,0,2,12.00,0,0.0,0,0,0,0,0,2024 Titans Second League
,SINOVILLE 4,,,,,,,,,,,,,,,,,,,,2024 Titans Second League
202,Keppie Kavaliers,CENTURION KAVALIERS 3,,CENTURION KAVALIERS 3,1,1,1.0,12,0,12/ 0,0,1,12.00,0,0.0,0,0,0,1,0,2024 Titans Second League
,CENTURION KAVALIERS 3,,,,,,,,,,,,,,,,,,,,2024 Titans Second League
203,Steffan Putter,SINOVILLE 4,,SINOVILLE 4,1,1,0.4,8,0,8/ 0,0,2,12.00,0,0.0,0,0,0,1,0,2024 Titans Second League
,SINOVILLE 4,,,,,,,,,,,,,,,,,,,,2024 Titans Second League
204,Janco Harholt,CENTURION KAVALIERS 3,,CENTURION KAVALIERS 3,1,1,3.0,36,0,36/ 0,0,4,12.00,0,0.0,0,0,0,1,0,2024 Titans Second League
,CENTURION KAVALIERS 3,,,,,,,,,,,,,,,,,,,,2024 Titans Second League
205,Thato Pege,CENTURION KAVALIERS 3,,CENTURION KAVALIERS 3,5,3,9.0,115,0,0/ 0,0,15,12.78,0,0.0,0,0,0,8,2,2024 Titans Second League
,CENTURION KAVALIERS 3,,,,,,,,,,,,,,,,,,,,2024 Titans Second League
206,Keenan Huebsch,CENTURION KAVALIERS 3,,CENTURION KAVALIERS 3,1,1,1.0,16,0,16/ 0,0,3,16.00,0,0.0,0,0,0,11,1,2024 Titans Second League
,CENTURION KAVALIERS 3,,,,,,,,,,,,,,,,,,,,2024 Titans Second League
207,Dante Meyer,HARLEQUINS 3,,HARLEQUINS 3,3,1,1.0,17,0,0/ 0,0,0,17.00,0,0.0,0,0,0,0,0,2024 Titans Second League
,HARLEQUINS 3,,,,,,,,,,,,,,,,,,,,2024 Titans Second League
208,Stiaan Heymans,IRENE VILLAGERS 3,,IRENE VILLAGERS 3,3,1,2.0,39,0,0/ 0,0,4,19.50,0,0.0,0,0,0,1,0,2024 Titans Second League
,IRENE VILLAGERS 3,,,,,,,,,,,,,,,,,,,,2024 Titans Second League
