SNO,PLAYER,TEAM_IMG,BLANK,MAT,TEAM,INS,OVERS,RUNS,WKTS,BBF,MDNS,DOTS,ECON,AVE,SR,HATTRICK,4W,5W,WIDES,NB,League Name
,CENTURION KAVALIERS 3,,,,,,,,,,,,,,,,,,,,2024 Titans Second League
26,Ettienne Tait,HARLEQUINS 3,,HARLEQUINS 3,3,3,22.4,61,6,25/ 4,4,63,2.69,10.17,22.7,0,1,0,3,0,2024 Titans Second League
,HARLEQUINS 3,,,,,,,,,,,,,,,,,,,,2024 Titans Second League
27,Chris Klopper,IRENE VILLAGERS 3,,IRENE VILLAGERS 3,3,2,12.0,36,6,11/ 5,2,51,3.00,6.00,12.0,0,0,1,5,1,2024 Titans Second League
,IRENE VILLAGERS 3,,,,,,,,,,,,,,,,,,,,2024 Titans Second League
28,Dewald Basson,TUT 3,,TUT 3,3,3,27.0,104,6,28/ 3,2,118,3.85,17.33,27.0,0,0,0,11,1,2024 Titans Second League
,TUT 3,,,,,,,,,,,,,,,,,,,,2024 Titans Second League
29,Donovan du Toit,TUKS 5,,TUKS 5,11,7,43.3,230,6,31/ 3,3,162,5.29,38.33,43.5,0,0,0,7,0,2024 Titans Second League
,TUKS 5,,,,,,,,,,,,,,,,,,,,2024 Titans Second League
30,Shaanthen Thumbiran,IRENE VILLAGERS 3,,IRENE VILLAGERS 3,4,3,10.2,66,6,14/ 5,0,36,6.39,11.00,10.3,0,0,1,4,0,2024 Titans Second League
,IRENE VILLAGERS 3,,,,,,,,,,,,,,,,,,,,2024 Titans Second League
31,Gerhard De Bruin,TUKS 5,,TUKS 5,5,5,22.0,166,6,32/ 2,0,79,7.55,27.67,22.0,0,0,0,18,2,2024 Titans Second League
,TUKS 5,,,,,,,,,,,,,,,,,,,,2024 Titans Second League
32,Gerrie Viljoen,IRENE VILLAGERS 3,,IRENE VILLAGERS 3,2,2,12.1,41,5,15/ 4,0,54,3.37,8.20,14.6,0,1,0,2,1,2024 Titans Second League
,IRENE VILLAGERS 3,,,,,,,,,,,,,,,,,,,,2024 Titans Second League
33,Johan Nel,TUKS 5,,TUKS 5,8,2,9.0,36,5,8/ 4,0,40,4.00,7.20,10.8,0,1,0,4,0,2024 Titans Second League
,TUKS 5,,,,,,,,,,,,,,,,,,,,2024 Titans Second League
34,Neil Jansen,IRENE VILLAGERS 3,,IRENE VILLAGERS 3,3,3,18.0,103,5,33/ 3,3,70,5.72,20.60,21.6,0,0,0,15,0,2024 Titans Second League
,IRENE VILLAGERS 3,,,,,,,,,,,,,,,,,,,,2024 Titans Second League
35,Riaan Davel,SINOVILLE 4,,SINOVILLE 4,2,2,15.0,91,5,24/ 3,4,60,6.07,18.20,18.0,0,0,0,1,0,2024 Titans Second League
,SINOVILLE 4,,,,,,,,,,,,,,,,,,,,2024 Titans Second League
36,Lehlohonolo Moshoati,TUKS 5,,TUKS 5,4,4,27.0,164,5,43/ 2,0,88,6.07,32.80,32.4,0,0,0,15,0,2024 Titans Second League
,TUKS 5,,,,,,,,,,,,,,,,,,,,2024 Titans Second League
37,Andre Van wyk,TUKS 5,,TUKS 5,10,8,20.0,127,5,9/ 2,1,62,6.35,25.40,24.0,0,0,0,12,0,2024 Titans Second League
,TUKS 5,,,,,,,,,,,,,,,,,,,,2024 Titans Second League
