SNO,LEAGUE_ID,CLUB_ID,TEAM,TEAM_URL,TEAM_ID,TEAM_CLUB_ID,MAT,WON,LOST,NR,TIE,PTS,WIN%,NET RR,FOR,AGAINST,FOR_RUNS,FOR_OVERS,AGAINST_RUNS,AGAINST_OVERS,League Name
1,790,32995,PHSOB 3,https://cricclubs.com/TitansCricket/viewTeam.do?teamId=4555&clubId=32995,4555,32995,18,10,4,4,0,48,71.43%,0.4189,1751/455.0,1581/461.0,1751,455.0,1581,461.0,2024 Titans Second League
2,790,32995,IRENE VILLAGERS 3,https://cricclubs.com/TitansCricket/viewTeam.do?teamId=4554&clubId=32995,4554,32995,18,10,5,3,0,46,66.67%,0.6681,2653/549.4,2240/538.4,2653,549.4,2240,538.4,2024 Titans Second League
3,790,32995,HARLEQUINS 3,https://cricclubs.com/TitansCricket/viewTeam.do?teamId=4553&clubId=32995,4553,32995,18,10,5,3,0,46,66.67%,0.5707,2778/576.5,2458/579.0,2778,576.5,2458,579.0,2024 Titans Second League
4,790,32995,SINOVILLE 4,https://cricclubs.com/TitansCricket/viewTeam.do?teamId=4557&clubId=32995,4557,32995,18,8,5,5,0,46,61.54%,-1.2346,1200/376.0,1198/270.4,1200,376.0,1198,270.4,2024 Titans Second League
5,790,32995,TUT 3,https://cricclubs.com/TitansCricket/viewTeam.do?teamId=4559&clubId=32995,4559,32995,18,10,4,4,0,44*,71.43%,1.7243,2529/444.3,1863/469.5,2529,444.3,1863,469.5,2024 Titans Second League
6,790,32995,CBCOB 3,https://cricclubs.com/TitansCricket/viewTeam.do?teamId=4552&clubId=32995,4552,32995,17,7,4,6,0,40,63.64%,1.1874,1912/345.4,1920/442.0,1912,345.4,1920,442.0,2024 Titans Second League
7,790,32995,TUKS 5,https://cricclubs.com/TitansCricket/viewTeam.do?teamId=4558&clubId=32995,4558,32995,18,7,8,3,0,34,46.67%,-0.7393,2055/500.4,2434/502.3,2055,500.4,2434,502.3,2024 Titans Second League
8,790,32995,SINOVILLE 3,https://cricclubs.com/TitansCricket/viewTeam.do?teamId=4556&clubId=32995,4556,32995,18,6,8,4,0,32,42.86%,-1.3204,2478/590.0,3039/550.3,2478,590.0,3039,550.3,2024 Titans Second League
9,790,32995,CENTURION KAVALIERS 3,https://cricclubs.com/TitansCricket/viewTeam.do?teamId=4560&clubId=32995,4560,32995,17,3,11,3,0,18,21.43%,-2.1079,1119/420.0,1442/302.1,1119,420.0,1442,302.1,2024 Titans Second League
10,790,32995,PHSOB 4,https://cricclubs.com/TitansCricket/viewTeam.do?teamId=4561&clubId=32995,4561,32995,18,0,17,1,0,2,0.00%,-5.3993,808/775.0,1108/172.0,808,775.0,1108,172.0,2024 Titans Second League
