SNO,PLAYER,TEAM_IMG,BLANK,TEAM,MAT,INS,NO,RUNS,BALLS,AVG,SR,HS,100s,75s,50s,25s,0s,6s,4s,League Name
,TUKS 5,,,,,,,,,,,,,,,,,,,2024 Titans Second League
28,Reinhardt Engler,HARLEQUINS 3,,HARLEQUINS 3,1,1,0,117,80,117.00,146.25,117,1,0,0,0,0,8,8,2024 Titans Second League
,HARLEQUINS 3,,,,,,,,,,,,,,,,,,,2024 Titans Second League
29,Christian Strydom,TUKS 5,,TUKS 5,10,9,2,114,185,16.29,61.62,60,0,0,1,0,1,1,9,2024 Titans Second League
,TUKS 5,,,,,,,,,,,,,,,,,,,2024 Titans Second League
30,Simion Muller,CBCOB 3,,CBCOB 3,1,1,0,112,86,112.00,130.23,112,1,0,0,0,0,4,16,2024 Titans Second League
,CBCOB 3,,,,,,,,,,,,,,,,,,,2024 Titans Second League
31,Lehlohonolo Moshoati,TUKS 5,,TUKS 5,4,4,0,110,119,27.50,92.44,57,0,0,1,1,0,1,12,2024 Titans Second League
,TUKS 5,,,,,,,,,,,,,,,,,,,2024 Titans Second League
32,Wendell Plaatjies,CBCOB 3,,CBCOB 3,7,7,2,106,165,21.20,64.24,71,0,0,1,0,0,2,12,2024 Titans Second League
,CBCOB 3,,,,,,,,,,,,,,,,,,,2024 Titans Second League
33,Casey Nicholsan,HARLEQUINS 3,,HARLEQUINS 3,2,2,1,104,76,104.00,136.84,102,1,0,0,0,0,4,13,2024 Titans Second League
,HARLEQUINS 3,,,,,,,,,,,,,,,,,,,2024 Titans Second League
34,Jaydwin Venske,CENTURION KAVALIERS 3,,CENTURION KAVALIERS 3,3,3,0,103,110,34.33,93.64,78,0,1,1,0,0,1,14,2024 Titans Second League
,CENTURION KAVALIERS 3,,,,,,,,,,,,,,,,,,,2024 Titans Second League
35,Piet Botha,SINOVILLE 3,,SINOVILLE 3,4,4,1,103,169,34.33,60.95,65,0,0,1,0,0,0,10,2024 Titans Second League
,SINOVILLE 3,,,,,,,,,,,,,,,,,,,2024 Titans Second League
36,Gunter Geyer,IRENE VILLAGERS 3,,IRENE VILLAGERS 3,3,3,0,99,80,33.00,123.75,60,0,0,1,1,0,4,10,2024 Titans Second League
,IRENE VILLAGERS 3,,,,,,,,,,,,,,,,,,,2024 Titans Second League
37,Stanley Fabri,SINOVILLE 3,,SINOVILLE 3,7,7,4,99,139,33.00,71.22,31,0,0,0,1,0,0,8,2024 Titans Second League
,SINOVILLE 3,,,,,,,,,,,,,,,,,,,2024 Titans Second League
38,Ettienne Tait,HARLEQUINS 3,,HARLEQUINS 3,3,3,0,97,92,32.33,105.43,56,0,0,1,0,0,3,3,2024 Titans Second League
,HARLEQUINS 3,,,,,,,,,,,,,,,,,,,2024 Titans Second League
39,Brian Kershaw,PHSOB 3,,PHSOB 3,3,3,1,96,97,48.00,98.97,82,0,1,1,0,0,0,0,2024 Titans Second League
,PHSOB 3,,,,,,,,,,,,,,,,,,,2024 Titans Second League
40,Albert Myburgh,IRENE VILLAGERS 3,,IRENE VILLAGERS 3,7,7,3,96,179,24.00,53.63,48,0,0,0,1,1,1,4,2024 Titans Second League
,IRENE VILLAGERS 3,,,,,,,,,,,,,,,,,,,2024 Titans Second League
41,Hendre Du toit,SINOVILLE 3,,SINOVILLE 3,6,6,0,91,112,15.17,81.25,55,0,0,1,0,2,2,13,2024 Titans Second League
,SINOVILLE 3,,,,,,,,,,,,,,,,,,,2024 Titans Second League
42,Duval Smith,TUT 3,,TUT 3,3,3,0,88,65,29.33,135.38,44,0,0,0,1,0,4,12,2024 Titans Second League
,TUT 3,,,,,,,,,,,,,,,,,,,2024 Titans Second League
43,Ryan Kruger,SINOVILLE 4,,SINOVILLE 4,2,2,0,88,121,44.00,72.73,74,0,0,1,0,0,1,7,2024 Titans Second League
