SNO,PLAYER,TEAM_IMG,BLANK,TEAM,MAT,INS,NO,RUNS,BALLS,AVG,SR,HS,100s,75s,50s,25s,0s,6s,4s,League Name
119,Justin Van Bassen,CBCOB 3,,CBCOB 3,4,2,1,27,30,27.00,90.00,19,0,0,0,0,0,0,3,2024 Titans Second League
,CBCOB 3,,,,,,,,,,,,,,,,,,,2024 Titans Second League
120,Calyle Stolze,HARLEQUINS 3,,HARLEQUINS 3,3,3,0,26,31,8.67,83.87,23,0,0,0,0,0,0,5,2024 Titans Second League
,HARLEQUINS 3,,,,,,,,,,,,,,,,,,,2024 Titans Second League
121,Matthew Thurbon,IRENE VILLAGERS 3,,IRENE VILLAGERS 3,2,2,0,26,47,13.00,55.32,23,0,0,0,0,0,0,4,2024 Titans Second League
,IRENE VILLAGERS 3,,,,,,,,,,,,,,,,,,,2024 Titans Second League
122,Andre Kruyshaar,SINOVILLE 4,,SINOVILLE 4,5,3,0,26,59,8.67,44.07,12,0,0,0,0,0,0,3,2024 Titans Second League
,SINOVILLE 4,,,,,,,,,,,,,,,,,,,2024 Titans Second League
123,Brian Kershaw,PHSOB 4,,PHSOB 4,1,1,0,25,22,25.00,113.64,25,0,0,0,1,0,0,4,2024 Titans Second League
,PHSOB 4,,,,,,,,,,,,,,,,,,,2024 Titans Second League
124,Acelan Pruss,IRENE VILLAGERS 3,,IRENE VILLAGERS 3,2,1,0,25,26,25.00,96.15,25,0,0,0,1,0,0,3,2024 Titans Second League
,IRENE VILLAGERS 3,,,,,,,,,,,,,,,,,,,2024 Titans Second League
125,Gerrald Gouws,CBCOB 3,,CBCOB 3,2,1,0,25,35,25.00,71.43,25,0,0,0,1,0,0,4,2024 Titans Second League
,CBCOB 3,,,,,,,,,,,,,,,,,,,2024 Titans Second League
126,Luke Marshell,HARLEQUINS 3,,HARLEQUINS 3,2,2,0,25,50,12.50,50.00,18,0,0,0,0,0,0,2,2024 Titans Second League
,HARLEQUINS 3,,,,,,,,,,,,,,,,,,,2024 Titans Second League
127,Neil Jansen,IRENE VILLAGERS 3,,IRENE VILLAGERS 3,3,3,1,25,51,12.50,49.02,18,0,0,0,0,0,0,2,2024 Titans Second League
,IRENE VILLAGERS 3,,,,,,,,,,,,,,,,,,,2024 Titans Second League
128,Benjamin Cronje,IRENE VILLAGERS 3,,IRENE VILLAGERS 3,2,1,0,24,13,24.00,184.62,24,0,0,0,0,0,1,3,2024 Titans Second League
,IRENE VILLAGERS 3,,,,,,,,,,,,,,,,,,,2024 Titans Second League
129,Daylan Scheepers,TUT 3,,TUT 3,2,2,2,24,17,--,141.18,15,0,0,0,0,0,1,3,2024 Titans Second League
,TUT 3,,,,,,,,,,,,,,,,,,,2024 Titans Second League
130,Yatin Koul,PHSOB 3,,PHSOB 3,1,1,0,24,22,24.00,109.09,24,0,0,0,0,0,0,4,2024 Titans Second League
,PHSOB 3,,,,,,,,,,,,,,,,,,,2024 Titans Second League
131,Leon Bender,CBCOB 3,,CBCOB 3,5,4,0,24,54,6.00,44.44,9,0,0,0,0,0,0,1,2024 Titans Second League
,CBCOB 3,,,,,,,,,,,,,,,,,,,2024 Titans Second League
132,Hendre Du toit,SINOVILLE 4,,SINOVILLE 4,1,1,0,23,23,23.00,100.00,23,0,0,0,0,0,0,3,2024 Titans Second League
,SINOVILLE 4,,,,,,,,,,,,,,,,,,,2024 Titans Second League
133,Johan van Antwerpen,PHSOB 4,,PHSOB 4,1,1,0,23,24,23.00,95.83,23,0,0,0,0,0,0,4,2024 Titans Second League
,PHSOB 4,,,,,,,,,,,,,,,,,,,2024 Titans Second League
134,Jaco CBC,CBCOB 3,,CBCOB 3,1,1,0,23,65,23.00,35.38,23,0,0,0,0,0,0,1,2024 Titans Second League
,CBCOB 3,,,,,,,,,,,,,,,,,,,2024 Titans Second League
135,Wian van Deventer,SINOVILLE 3,,SINOVILLE 3,1,1,0,22,27,22.00,81.48,22,0,0,0,0,0,0,3,2024 Titans Second League
,SINOVILLE 3,,,,,,,,,,,,,,,,,,,2024 Titans Second League
136,Nico Kruger,TUKS 5,,TUKS 5,2,1,0,22,29,22.00,75.86,22,0,0,0,0,0,0,5,2024 Titans Second League
,TUKS 5,,,,,,,,,,,,,,,,,,,2024 Titans Second League
137,Alec Jordaan,CBCOB 3,,CBCOB 3,4,2,0,22,32,11.00,68.75,13,0,0,0,0,0,1,2,2024 Titans Second League
,CBCOB 3,,,,,,,,,,,,,,,,,,,2024 Titans Second League
138,Lodewyk deJager,PHSOB 4,,PHSOB 4,1,1,0,21,15,21.00,140.00,21,0,0,0,0,0,0,2,2024 Titans Second League
,PHSOB 4,,,,,,,,,,,,,,,,,,,2024 Titans Second League
139,Matt Rodgerson,PHSOB 4,,PHSOB 4,1,1,0,21,24,21.00,87.50,21,0,0,0,0,0,0,4,2024 Titans Second League
,PHSOB 4,,,,,,,,,,,,,,,,,,,2024 Titans Second League
140,Regan Pruss,PHSOB 3,,PHSOB 3,2,2,1,21,41,21.00,51.22,21,0,0,0,0,0,0,0,2024 Titans Second League
,PHSOB 3,,,,,,,,,,,,,,,,,,,2024 Titans Second League
141,Jaden Beukes,CBCOB 3,,CBCOB 3,4,1,0,20,22,20.00,90.91,20,0,0,0,0,0,1,0,2024 Titans Second League
,CBCOB 3,,,,,,,,,,,,,,,,,,,2024 Titans Second League
142,JD van Wyk,SINOVILLE 3,,SINOVILLE 3,2,2,0,19,16,9.50,118.75,19,0,0,0,0,1,0,4,2024 Titans Second League
,SINOVILLE 3,,,,,,,,,,,,,,,,,,,2024 Titans Second League
143,Reinhardt Hamman,SINOVILLE 4,,SINOVILLE 4,1,1,0,19,21,19.00,90.48,19,0,0,0,0,0,1,2,2024 Titans Second League
,SINOVILLE 4,,,,,,,,,,,,,,,,,,,2024 Titans Second League
144,Tiaan Borman,SINOVILLE 3,,SINOVILLE 3,1,1,0,19,21,19.00,90.48,19,0,0,0,0,0,0,2,2024 Titans Second League
,SINOVILLE 3,,,,,,,,,,,,,,,,,,,2024 Titans Second League
145,Gerry Gouws,CBCOB 3,,CBCOB 3,3,3,0,19,22,6.33,86.36,19,0,0,0,0,2,0,4,2024 Titans Second League
,CBCOB 3,,,,,,,,,,,,,,,,,,,2024 Titans Second League
146,Mohapi Molete,IRENE VILLAGERS 3,,IRENE VILLAGERS 3,3,3,2,19,23,19.00,82.61,14,0,0,0,0,0,1,0,2024 Titans Second League
,IRENE VILLAGERS 3,,,,,,,,,,,,,,,,,,,2024 Titans Second League
147,Chad Fortman,PHSOB 3,,PHSOB 3,2,2,0,18,26,9.00,69.23,14,0,0,0,0,0,0,3,2024 Titans Second League
,PHSOB 3,,,,,,,,,,,,,,,,,,,2024 Titans Second League
148,Niel Coetzee,TUT 3,,TUT 3,4,4,1,18,71,6.00,25.35,8,0,0,0,0,0,0,1,2024 Titans Second League
,TUT 3,,,,,,,,,,,,,,,,,,,2024 Titans Second League
149,Pieter Barlow,SINOVILLE 3,,SINOVILLE 3,1,1,0,17,38,17.00,44.74,17,0,0,0,0,0,0,2,2024 Titans Second League
,SINOVILLE 3,,,,,,,,,,,,,,,,,,,2024 Titans Second League
150,Pieter Jansen van Rensburg,SINOVILLE 4,,SINOVILLE 4,1,1,0,16,19,16.00,84.21,16,0,0,0,0,0,1,1,2024 Titans Second League
,SINOVILLE 4,,,,,,,,,,,,,,,,,,,2024 Titans Second League
151,Ivan Bekker,TUKS 5,,TUKS 5,1,1,0,16,37,16.00,43.24,16,0,0,0,0,0,1,0,2024 Titans Second League
,TUKS 5,,,,,,,,,,,,,,,,,,,2024 Titans Second League
152,Andre Van wyk,TUKS 5,,TUKS 5,10,8,1,16,58,2.29,27.59,6,0,0,0,0,4,0,1,2024 Titans Second League
,TUKS 5,,,,,,,,,,,,,,,,,,,2024 Titans Second League
153,Travis Joshua,HARLEQUINS 3,,HARLEQUINS 3,3,2,0,15,15,7.50,100.00,11,0,0,0,0,0,0,0,2024 Titans Second League
,HARLEQUINS 3,,,,,,,,,,,,,,,,,,,2024 Titans Second League
154,Maans Roubaix,SINOVILLE 3,,SINOVILLE 3,1,1,0,15,18,15.00,83.33,15,0,0,0,0,0,0,0,2024 Titans Second League
,SINOVILLE 3,,,,,,,,,,,,,,,,,,,2024 Titans Second League
155,Janu Olivier,SINOVILLE 3,,SINOVILLE 3,3,3,0,15,37,5.00,40.54,9,0,0,0,0,1,0,0,2024 Titans Second League
,SINOVILLE 3,,,,,,,,,,,,,,,,,,,2024 Titans Second League
156,Felix le Roux,PHSOB 3,,PHSOB 3,2,2,0,14,15,7.00,93.33,12,0,0,0,0,0,1,1,2024 Titans Second League
,PHSOB 3,,,,,,,,,,,,,,,,,,,2024 Titans Second League
157,Nevada Jacobs,CBCOB 3,,CBCOB 3,8,3,3,14,16,--,87.50,9,0,0,0,0,0,0,0,2024 Titans Second League
,CBCOB 3,,,,,,,,,,,,,,,,,,,2024 Titans Second League
158,Pieter Oosthuisen,SINOVILLE 4,,SINOVILLE 4,1,1,0,14,18,14.00,77.78,14,0,0,0,0,0,0,2,2024 Titans Second League
,SINOVILLE 4,,,,,,,,,,,,,,,,,,,2024 Titans Second League
159,Shaun Kavaliers,CENTURION KAVALIERS 3,,CENTURION KAVALIERS 3,1,1,0,14,21,14.00,66.67,14,0,0,0,0,0,0,3,2024 Titans Second League
,CENTURION KAVALIERS 3,,,,,,,,,,,,,,,,,,,2024 Titans Second League
160,Hanco Kruger,TUKS 5,,TUKS 5,2,2,0,14,35,7.00,40.00,12,0,0,0,0,0,0,0,2024 Titans Second League
,TUKS 5,,,,,,,,,,,,,,,,,,,2024 Titans Second League
161,Simon Harding,IRENE VILLAGERS 3,,IRENE VILLAGERS 3,2,2,0,14,58,7.00,24.14,12,0,0,0,0,0,0,1,2024 Titans Second League
,IRENE VILLAGERS 3,,,,,,,,,,,,,,,,,,,2024 Titans Second League
162,Lafras Jenkins,PHSOB 3,,PHSOB 3,1,1,0,13,7,13.00,185.71,13,0,0,0,0,0,0,2,2024 Titans Second League
,PHSOB 3,,,,,,,,,,,,,,,,,,,2024 Titans Second League
163,JJ Du Toit,SINOVILLE 4,,SINOVILLE 4,1,1,0,13,14,13.00,92.86,13,0,0,0,0,0,0,1,2024 Titans Second League
,SINOVILLE 4,,,,,,,,,,,,,,,,,,,2024 Titans Second League
164,Tyler Lockhart,PHSOB 3,,PHSOB 3,1,1,0,13,16,13.00,81.25,13,0,0,0,0,0,0,2,2024 Titans Second League
,PHSOB 3,,,,,,,,,,,,,,,,,,,2024 Titans Second League
165,Michael Stoop,PHSOB 3,,PHSOB 3,2,2,1,13,17,13.00,76.47,10,0,0,0,0,0,0,0,2024 Titans Second League
,PHSOB 3,,,,,,,,,,,,,,,,,,,2024 Titans Second League
166,Tiaan Borman,SINOVILLE 4,,SINOVILLE 4,2,1,0,13,19,13.00,68.42,13,0,0,0,0,0,0,2,2024 Titans Second League
,SINOVILLE 4,,,,,,,,,,,,,,,,,,,2024 Titans Second League
167,Grant S,SINOVILLE 3,,SINOVILLE 3,2,2,0,13,22,6.50,59.09,13,0,0,0,0,1,0,2,2024 Titans Second League
,SINOVILLE 3,,,,,,,,,,,,,,,,,,,2024 Titans Second League
168,Zander Jordaan,SINOVILLE 4,,SINOVILLE 4,1,1,0,13,26,13.00,50.00,13,0,0,0,0,0,0,1,2024 Titans Second League
,SINOVILLE 4,,,,,,,,,,,,,,,,,,,2024 Titans Second League
169,Hanco Hertzog,SINOVILLE 3,,SINOVILLE 3,2,1,0,13,30,13.00,43.33,13,0,0,0,0,0,1,1,2024 Titans Second League
,SINOVILLE 3,,,,,,,,,,,,,,,,,,,2024 Titans Second League
170,André Botes,CBCOB 3,,CBCOB 3,1,1,0,13,32,13.00,40.62,13,0,0,0,0,0,0,2,2024 Titans Second League
,CBCOB 3,,,,,,,,,,,,,,,,,,,2024 Titans Second League
171,Kian Hoeuner,CBCOB 3,,CBCOB 3,1,1,0,13,32,13.00,40.62,13,0,0,0,0,0,0,0,2024 Titans Second League
,CBCOB 3,,,,,,,,,,,,,,,,,,,2024 Titans Second League
172,Edwin De Waal,PHSOB 3,,PHSOB 3,1,1,0,12,13,12.00,92.31,12,0,0,0,0,0,0,3,2024 Titans Second League
,PHSOB 3,,,,,,,,,,,,,,,,,,,2024 Titans Second League
173,Oliver Beaclerk,HARLEQUINS 3,,HARLEQUINS 3,3,2,0,12,17,6.00,70.59,10,0,0,0,0,0,0,2,2024 Titans Second League
,HARLEQUINS 3,,,,,,,,,,,,,,,,,,,2024 Titans Second League
174,Dewald Van Der Walt,HARLEQUINS 3,,HARLEQUINS 3,6,5,4,12,34,12.00,35.29,6,0,0,0,0,0,0,0,2024 Titans Second League
,HARLEQUINS 3,,,,,,,,,,,,,,,,,,,2024 Titans Second League
175,Tiaan Du Plessis,SINOVILLE 4,,SINOVILLE 4,1,1,0,11,13,11.00,84.62,11,0,0,0,0,0,0,2,2024 Titans Second League
,SINOVILLE 4,,,,,,,,,,,,,,,,,,,2024 Titans Second League
176,Christo Swanepoel,PHSOB 3,,PHSOB 3,1,1,0,11,14,11.00,78.57,11,0,0,0,0,0,0,0,2024 Titans Second League
,PHSOB 3,,,,,,,,,,,,,,,,,,,2024 Titans Second League
177,Warren Pollard,IRENE VILLAGERS 3,,IRENE VILLAGERS 3,2,2,2,11,19,--,57.89,10,0,0,0,0,0,0,0,2024 Titans Second League
,IRENE VILLAGERS 3,,,,,,,,,,,,,,,,,,,2024 Titans Second League
178,Jp Coetzee,CBCOB 3,,CBCOB 3,1,1,1,10,8,--,125.00,10,0,0,0,0,0,0,2,2024 Titans Second League
,CBCOB 3,,,,,,,,,,,,,,,,,,,2024 Titans Second League
179,Christo Bouwer,CENTURION KAVALIERS 3,,CENTURION KAVALIERS 3,1,1,1,10,10,--,100.00,10,0,0,0,0,0,0,1,2024 Titans Second League
,CENTURION KAVALIERS 3,,,,,,,,,,,,,,,,,,,2024 Titans Second League
180,Heinrich Maraldo,CENTURION KAVALIERS 3,,CENTURION KAVALIERS 3,3,3,0,10,22,3.33,45.45,8,0,0,0,0,0,0,1,2024 Titans Second League
,CENTURION KAVALIERS 3,,,,,,,,,,,,,,,,,,,2024 Titans Second League
181,Pieter Oosthuizen,SINOVILLE 3,,SINOVILLE 3,5,5,1,10,28,2.50,35.71,10,0,0,0,0,4,0,1,2024 Titans Second League
,SINOVILLE 3,,,,,,,,,,,,,,,,,,,2024 Titans Second League
182,Jared Fourie,IRENE VILLAGERS 3,,IRENE VILLAGERS 3,1,1,0,10,38,10.00,26.32,10,0,0,0,0,0,0,2,2024 Titans Second League
,IRENE VILLAGERS 3,,,,,,,,,,,,,,,,,,,2024 Titans Second League
183,Elandré van den Berg,TUKS 5,,TUKS 5,8,7,3,10,72,2.50,13.89,7,0,0,0,0,1,0,0,2024 Titans Second League
,TUKS 5,,,,,,,,,,,,,,,,,,,2024 Titans Second League
184,Werner Pretorius,IRENE VILLAGERS 3,,IRENE VILLAGERS 3,1,1,0,9,9,9.00,100.00,9,0,0,0,0,0,0,2,2024 Titans Second League
,IRENE VILLAGERS 3,,,,,,,,,,,,,,,,,,,2024 Titans Second League
185,Stiaan Heymans,IRENE VILLAGERS 3,,IRENE VILLAGERS 3,3,3,0,9,19,3.00,47.37,5,0,0,0,0,1,0,2,2024 Titans Second League
,IRENE VILLAGERS 3,,,,,,,,,,,,,,,,,,,2024 Titans Second League
186,Regan Pruss,PHSOB 4,,PHSOB 4,1,1,1,8,5,--,160.00,8,0,0,0,0,0,0,0,2024 Titans Second League
,PHSOB 4,,,,,,,,,,,,,,,,,,,2024 Titans Second League
187,Peter Harold,HARLEQUINS 3,,HARLEQUINS 3,2,1,0,8,8,8.00,100.00,8,0,0,0,0,0,0,1,2024 Titans Second League
,HARLEQUINS 3,,,,,,,,,,,,,,,,,,,2024 Titans Second League
188,Gerhard Strydom,PHSOB 3,,PHSOB 3,1,1,1,8,11,--,72.73,8,0,0,0,0,0,0,0,2024 Titans Second League
,PHSOB 3,,,,,,,,,,,,,,,,,,,2024 Titans Second League
189,Rowan Sweetman,HARLEQUINS 3,,HARLEQUINS 3,2,1,0,8,14,8.00,57.14,8,0,0,0,0,0,0,1,2024 Titans Second League
,HARLEQUINS 3,,,,,,,,,,,,,,,,,,,2024 Titans Second League
190,Chris Klopper,IRENE VILLAGERS 3,,IRENE VILLAGERS 3,3,3,0,8,28,2.67,28.57,8,0,0,0,0,2,0,1,2024 Titans Second League
,IRENE VILLAGERS 3,,,,,,,,,,,,,,,,,,,2024 Titans Second League
191,Christopher Volschenk,SINOVILLE 3,,SINOVILLE 3,3,2,0,8,31,4.00,25.81,6,0,0,0,0,0,0,1,2024 Titans Second League
,SINOVILLE 3,,,,,,,,,,,,,,,,,,,2024 Titans Second League
192,Michael Boyjsens,CENTURION KAVALIERS 3,,CENTURION KAVALIERS 3,1,1,0,7,6,7.00,116.67,7,0,0,0,0,0,0,1,2024 Titans Second League
,CENTURION KAVALIERS 3,,,,,,,,,,,,,,,,,,,2024 Titans Second League
193,Roano Oosthuizen,TUKS 5,,TUKS 5,2,1,0,7,8,7.00,87.50,7,0,0,0,0,0,0,1,2024 Titans Second League
,TUKS 5,,,,,,,,,,,,,,,,,,,2024 Titans Second League
194,Duan St Arnaud,PHSOB 3,,PHSOB 3,1,1,0,7,13,7.00,53.85,7,0,0,0,0,0,1,0,2024 Titans Second League
,PHSOB 3,,,,,,,,,,,,,,,,,,,2024 Titans Second League
195,JP Roets,SINOVILLE 4,,SINOVILLE 4,3,2,2,7,13,--,53.85,7,0,0,0,0,0,0,0,2024 Titans Second League
,SINOVILLE 4,,,,,,,,,,,,,,,,,,,2024 Titans Second League
196,Tafadzwa T,CBCOB 3,,CBCOB 3,2,2,2,7,22,--,31.82,5,0,0,0,0,0,0,0,2024 Titans Second League
,CBCOB 3,,,,,,,,,,,,,,,,,,,2024 Titans Second League
197,Reghardt Smit,CBCOB 3,,CBCOB 3,1,1,0,7,33,7.00,21.21,7,0,0,0,0,0,0,0,2024 Titans Second League
,CBCOB 3,,,,,,,,,,,,,,,,,,,2024 Titans Second League
198,Dylan van Wyk,SINOVILLE 3,,SINOVILLE 3,1,1,1,6,5,--,120.00,6,0,0,0,0,0,0,1,2024 Titans Second League
,SINOVILLE 3,,,,,,,,,,,,,,,,,,,2024 Titans Second League
199,Werner Jordaan,SINOVILLE 3,,SINOVILLE 3,1,1,0,6,7,6.00,85.71,6,0,0,0,0,0,0,1,2024 Titans Second League
,SINOVILLE 3,,,,,,,,,,,,,,,,,,,2024 Titans Second League
200,Tiaan Malan,SINOVILLE 4,,SINOVILLE 4,1,1,0,6,13,6.00,46.15,6,0,0,0,0,0,0,1,2024 Titans Second League
,SINOVILLE 4,,,,,,,,,,,,,,,,,,,2024 Titans Second League
201,Keppie Kavaliers,CENTURION KAVALIERS 3,,CENTURION KAVALIERS 3,1,1,0,6,14,6.00,42.86,6,0,0,0,0,0,0,1,2024 Titans Second League
,CENTURION KAVALIERS 3,,,,,,,,,,,,,,,,,,,2024 Titans Second League
202,KC Nicolson,HARLEQUINS 3,,HARLEQUINS 3,1,1,0,6,18,6.00,33.33,6,0,0,0,0,0,0,1,2024 Titans Second League
,HARLEQUINS 3,,,,,,,,,,,,,,,,,,,2024 Titans Second League
203,Werner Marneweck,TUKS 5,,TUKS 5,2,2,0,6,19,3.00,31.58,4,0,0,0,0,0,0,1,2024 Titans Second League
,TUKS 5,,,,,,,,,,,,,,,,,,,2024 Titans Second League
204,Dylan Kotze,CBCOB 3,,CBCOB 3,1,1,0,5,6,5.00,83.33,5,0,0,0,0,0,0,0,2024 Titans Second League
,CBCOB 3,,,,,,,,,,,,,,,,,,,2024 Titans Second League
205,Dian Botha,SINOVILLE 3,,SINOVILLE 3,1,1,0,5,8,5.00,62.50,5,0,0,0,0,0,0,1,2024 Titans Second League
,SINOVILLE 3,,,,,,,,,,,,,,,,,,,2024 Titans Second League
206,Johan Steynberg,CENTURION KAVALIERS 3,,CENTURION KAVALIERS 3,1,1,0,5,10,5.00,50.00,5,0,0,0,0,0,0,0,2024 Titans Second League
,CENTURION KAVALIERS 3,,,,,,,,,,,,,,,,,,,2024 Titans Second League
207,Maans De Roubaix,SINOVILLE 4,,SINOVILLE 4,1,1,0,5,12,5.00,41.67,5,0,0,0,0,0,0,0,2024 Titans Second League
,SINOVILLE 4,,,,,,,,,,,,,,,,,,,2024 Titans Second League
208,Cj Jordaan,IRENE VILLAGERS 3,,IRENE VILLAGERS 3,1,1,0,5,15,5.00,33.33,5,0,0,0,0,0,0,0,2024 Titans Second League
,IRENE VILLAGERS 3,,,,,,,,,,,,,,,,,,,2024 Titans Second League
209,Nicolas Pillay,IRENE VILLAGERS 3,,IRENE VILLAGERS 3,1,1,0,5,21,5.00,23.81,5,0,0,0,0,0,0,0,2024 Titans Second League
,IRENE VILLAGERS 3,,,,,,,,,,,,,,,,,,,2024 Titans Second League
210,Werner Jordaan,SINOVILLE 4,,SINOVILLE 4,1,1,0,4,3,4.00,133.33,4,0,0,0,0,0,0,1,2024 Titans Second League
,SINOVILLE 4,,,,,,,,,,,,,,,,,,,2024 Titans Second League
211,Ryan Kruger,SINOVILLE 3,,SINOVILLE 3,1,1,0,4,7,4.00,57.14,4,0,0,0,0,0,0,1,2024 Titans Second League
,SINOVILLE 3,,,,,,,,,,,,,,,,,,,2024 Titans Second League
212,Andre Schoombee,SINOVILLE 3,,SINOVILLE 3,3,3,2,4,10,4.00,40.00,4,0,0,0,0,0,0,1,2024 Titans Second League
,SINOVILLE 3,,,,,,,,,,,,,,,,,,,2024 Titans Second League
213,Hein Swanepoel,HARLEQUINS 3,,HARLEQUINS 3,2,1,1,4,11,--,36.36,4,0,0,0,0,0,0,0,2024 Titans Second League
,HARLEQUINS 3,,,,,,,,,,,,,,,,,,,2024 Titans Second League
214,Piet Botha,SINOVILLE 4,,SINOVILLE 4,3,2,0,4,13,2.00,30.77,3,0,0,0,0,0,0,0,2024 Titans Second League
,SINOVILLE 4,,,,,,,,,,,,,,,,,,,2024 Titans Second League
215,Shaanthen Thumbiran,IRENE VILLAGERS 3,,IRENE VILLAGERS 3,4,3,2,4,13,4.00,30.77,2,0,0,0,0,0,0,0,2024 Titans Second League
,IRENE VILLAGERS 3,,,,,,,,,,,,,,,,,,,2024 Titans Second League
216,Ian Dorfling,SINOVILLE 4,,SINOVILLE 4,4,2,0,4,15,2.00,26.67,2,0,0,0,0,0,0,0,2024 Titans Second League
,SINOVILLE 4,,,,,,,,,,,,,,,,,,,2024 Titans Second League
217,Rowan Plaatjies,CBCOB 3,,CBCOB 3,2,1,0,4,17,4.00,23.53,4,0,0,0,0,0,0,0,2024 Titans Second League
,CBCOB 3,,,,,,,,,,,,,,,,,,,2024 Titans Second League
218,Thato Pege,CENTURION KAVALIERS 3,,CENTURION KAVALIERS 3,5,4,0,4,21,1.00,19.05,3,0,0,0,0,2,0,0,2024 Titans Second League
,CENTURION KAVALIERS 3,,,,,,,,,,,,,,,,,,,2024 Titans Second League
219,Justin Fourie,PHSOB 3,,PHSOB 3,1,1,0,3,5,3.00,60.00,3,0,0,0,0,0,0,0,2024 Titans Second League
,PHSOB 3,,,,,,,,,,,,,,,,,,,2024 Titans Second League
220,JD Buys,HARLEQUINS 3,,HARLEQUINS 3,1,1,0,3,13,3.00,23.08,3,0,0,0,0,0,0,0,2024 Titans Second League
,HARLEQUINS 3,,,,,,,,,,,,,,,,,,,2024 Titans Second League
221,Kasper Botha,IRENE VILLAGERS 3,,IRENE VILLAGERS 3,1,1,0,3,15,3.00,20.00,3,0,0,0,0,0,0,0,2024 Titans Second League
,IRENE VILLAGERS 3,,,,,,,,,,,,,,,,,,,2024 Titans Second League
222,Andre Klopper,IRENE VILLAGERS 3,,IRENE VILLAGERS 3,2,2,0,3,17,1.50,17.65,2,0,0,0,0,0,0,0,2024 Titans Second League
,IRENE VILLAGERS 3,,,,,,,,,,,,,,,,,,,2024 Titans Second League
223,Burgert Kloppers,PHSOB 4,,PHSOB 4,1,1,1,2,2,--,100.00,2,0,0,0,0,0,0,0,2024 Titans Second League
,PHSOB 4,,,,,,,,,,,,,,,,,,,2024 Titans Second League
224,Dylan Howe Dryer,PHSOB 4,,PHSOB 4,1,1,0,2,4,2.00,50.00,2,0,0,0,0,0,0,0,2024 Titans Second League
,PHSOB 4,,,,,,,,,,,,,,,,,,,2024 Titans Second League
225,Karl Huebsch,CENTURION KAVALIERS 3,,CENTURION KAVALIERS 3,1,1,1,2,4,--,50.00,2,0,0,0,0,0,0,0,2024 Titans Second League
,CENTURION KAVALIERS 3,,,,,,,,,,,,,,,,,,,2024 Titans Second League
226,TK Sinoville,SINOVILLE 3,,SINOVILLE 3,2,2,0,2,4,1.00,50.00,2,0,0,0,0,1,0,0,2024 Titans Second League
,SINOVILLE 3,,,,,,,,,,,,,,,,,,,2024 Titans Second League
227,Adam Zawada,PHSOB 3,,PHSOB 3,1,1,0,2,5,2.00,40.00,2,0,0,0,0,0,0,0,2024 Titans Second League
,PHSOB 3,,,,,,,,,,,,,,,,,,,2024 Titans Second League
228,TK Sinoville,SINOVILLE 4,,SINOVILLE 4,1,1,0,2,5,2.00,40.00,2,0,0,0,0,0,0,0,2024 Titans Second League
,SINOVILLE 4,,,,,,,,,,,,,,,,,,,2024 Titans Second League
229,Khumo Tihocela,HARLEQUINS 3,,HARLEQUINS 3,1,1,0,2,6,2.00,33.33,2,0,0,0,0,0,0,0,2024 Titans Second League
,HARLEQUINS 3,,,,,,,,,,,,,,,,,,,2024 Titans Second League
230,Colin Blom,SINOVILLE 3,,SINOVILLE 3,2,2,1,2,7,2.00,28.57,2,0,0,0,0,1,0,0,2024 Titans Second League
,SINOVILLE 3,,,,,,,,,,,,,,,,,,,2024 Titans Second League
231,Alaistar Legoabe,CBCOB 3,,CBCOB 3,1,1,0,2,7,2.00,28.57,2,0,0,0,0,0,0,0,2024 Titans Second League
,CBCOB 3,,,,,,,,,,,,,,,,,,,2024 Titans Second League
232,Marc van Der Merwe,PHSOB 3,,PHSOB 3,1,1,0,2,8,2.00,25.00,2,0,0,0,0,0,0,0,2024 Titans Second League
,PHSOB 3,,,,,,,,,,,,,,,,,,,2024 Titans Second League
233,Manie De Roubiax,SINOVILLE 3,,SINOVILLE 3,1,1,0,2,12,2.00,16.67,2,0,0,0,0,0,0,0,2024 Titans Second League
,SINOVILLE 3,,,,,,,,,,,,,,,,,,,2024 Titans Second League
234,Janus Bronkhorst,CENTURION KAVALIERS 3,,CENTURION KAVALIERS 3,1,1,0,2,13,2.00,15.38,2,0,0,0,0,0,0,0,2024 Titans Second League
,CENTURION KAVALIERS 3,,,,,,,,,,,,,,,,,,,2024 Titans Second League
235,Ian Dorfling,SINOVILLE 3,,SINOVILLE 3,4,4,0,2,17,0.50,11.76,2,0,0,0,0,3,0,0,2024 Titans Second League
,SINOVILLE 3,,,,,,,,,,,,,,,,,,,2024 Titans Second League
236,Steven Meyburgh,PHSOB 3,,PHSOB 3,2,1,0,2,18,2.00,11.11,2,0,0,0,0,0,0,0,2024 Titans Second League
,PHSOB 3,,,,,,,,,,,,,,,,,,,2024 Titans Second League
237,Juan Van den berg,SINOVILLE 4,,SINOVILLE 4,1,1,0,1,1,1.00,100.00,1,0,0,0,0,0,0,0,2024 Titans Second League
,SINOVILLE 4,,,,,,,,,,,,,,,,,,,2024 Titans Second League
238,Gary Van Blerk,TUT 3,,TUT 3,4,1,1,1,1,--,100.00,1,0,0,0,0,0,0,0,2024 Titans Second League
,TUT 3,,,,,,,,,,,,,,,,,,,2024 Titans Second League
239,Nathan Stryfom,HARLEQUINS 3,,HARLEQUINS 3,2,1,1,1,1,--,100.00,1,0,0,0,0,0,0,0,2024 Titans Second League
