MATCH_ID,LEAGUE_ID,LEAGUE_NAME,LEAGUE_YEAR,CLUB_ID,MATCH_TYPE,MATCH_DATE,MATCH_DATE_KEY,RESULT,INNINGS,BATTING_TEAM_ID,BOWLING_TEAM_ID,BATTING_TEAM_NAME,BOWLING_TEAM_NAME,TOTAL_RUNS,TOTAL_BALLS,BYES,LEG_BYES,WICKETS,WIDES,NO_BALLS,PENALTY
8391,949,2025/2026 TITANS SECOND LEAGUE,2025,32995,League,14/02/2026,20260214,Abandoned.,2,5428,5431,PHSOB 3,TUT 3,0,0,0,0,0,0,0,0
8318,949,2025/2026 TITANS SECOND LEAGUE,2025,32995,League,07/02/2026,20260207,SINOVILLE 3 won by 3 Wickets,1,5426,5429,HARLEQUINS 3,SINOVILLE 3,247,240,0,1,8,28,4,0
8318,949,2025/2026 TITANS SECOND LEAGUE,2025,32995,League,07/02/2026,20260207,SINOVILLE 3 won by 3 Wickets,2,5429,5426,SINOVILLE 3,HARLEQUINS 3,248,240,2,4,7,15,4,0
8313,949,2025/2026 TITANS SECOND LEAGUE,2025,32995,League,07/02/2026,20260207,PHSOB 3 won by 195 Runs,1,5428,5425,PHSOB 3,CBCOB 3,301,270,1,4,9,47,2,0
8313,949,2025/2026 TITANS SECOND LEAGUE,2025,32995,League,07/02/2026,20260207,PHSOB 3 won by 195 Runs,2,5425,5428,CBCOB 3,PHSOB 3,106,151,1,2,9,20,0,0
8311,949,2025/2026 TITANS SECOND LEAGUE,2025,32995,League,07/02/2026,20260207,TUT 3 won by 8 Wickets,1,5430,5431,TUKS 5,TUT 3,168,208,0,1,10,20,2,0
8311,949,2025/2026 TITANS SECOND LEAGUE,2025,32995,League,07/02/2026,20260207,TUT 3 won by 8 Wickets,2,5431,5430,TUT 3,TUKS 5,169,217,4,0,2,16,2,0
8309,949,2025/2026 TITANS SECOND LEAGUE,2025,32995,League,07/02/2026,20260207,IRENE VILLAGERS 3 won by 4 Wickets,1,5432,5427,IRENE VILLAGERS 4,IRENE VILLAGERS 3,175,270,1,0,9,21,0,0
8309,949,2025/2026 TITANS SECOND LEAGUE,2025,32995,League,07/02/2026,20260207,IRENE VILLAGERS 3 won by 4 Wickets,2,5427,5432,IRENE VILLAGERS 3,IRENE VILLAGERS 4,176,181,7,0,6,13,2,0
8733,949,2025/2026 TITANS SECOND LEAGUE,2025,32995,League,31/01/2026,20260131,Abandoned.,1,5425,5429,CBCOB 3,SINOVILLE 3,0,0,0,0,0,0,0,0
8733,949,2025/2026 TITANS SECOND LEAGUE,2025,32995,League,31/01/2026,20260131,Abandoned.,2,5429,5425,SINOVILLE 3,CBCOB 3,0,0,0,0,0,0,0,0
8261,949,2025/2026 TITANS SECOND LEAGUE,2025,32995,League,31/01/2026,20260131,TUT 3 won by 7 Wickets,1,5432,5431,IRENE VILLAGERS 4,TUT 3,187,240,0,2,6,19,1,0
8261,949,2025/2026 TITANS SECOND LEAGUE,2025,32995,League,31/01/2026,20260131,TUT 3 won by 7 Wickets,2,5431,5432,TUT 3,IRENE VILLAGERS 4,189,175,0,0,3,0,0,0
8256,949,2025/2026 TITANS SECOND LEAGUE,2025,32995,League,31/01/2026,20260131,IRENE VILLAGERS 3 won by 295 Runs,1,5427,5426,IRENE VILLAGERS 3,HARLEQUINS 3,389,270,0,0,7,20,4,0
8256,949,2025/2026 TITANS SECOND LEAGUE,2025,32995,League,31/01/2026,20260131,IRENE VILLAGERS 3 won by 295 Runs,2,5426,5427,HARLEQUINS 3,IRENE VILLAGERS 3,94,133,1,1,10,13,0,0
8254,949,2025/2026 TITANS SECOND LEAGUE,2025,32995,League,31/01/2026,20260131,PHSOB 3 won by 2 Wickets,1,5430,5428,TUKS 5,PHSOB 3,216,237,9,0,10,9,2,0
8254,949,2025/2026 TITANS SECOND LEAGUE,2025,32995,League,31/01/2026,20260131,PHSOB 3 won by 2 Wickets,2,5428,5430,PHSOB 3,TUKS 5,218,267,10,2,8,21,0,0
