SNO,LEAGUE_ID,CLUB_ID,PLAYER,PLAYER_ID,TEAM_IMG,BLANK,TEAM,TEAM_ID,MAT,INS,OVERS,RUNS,WKTS,BBF,MDNS,DOTS,ECON,AVE,SR,HATTRICK,4W,5W,WIDES,NB,League Name
81,949,32995,Cj Jordaan,4892048,IRENE VILLAGERS 3,,IRENE VILLAGERS 3,5427,1,1,8.0,33,2,33/ 2,0,33,4.12,16.50,24.0,0,0,0,8,0,2025/2026 TITANS SECOND LEAGUE
,949,32995,IRENE VILLAGERS 3,,,,,,,,,,,,,,,,,,,,,,2025/2026 TITANS SECOND LEAGUE
82,949,32995,Werner Pretorius,4688690,IRENE VILLAGERS 4,,IRENE VILLAGERS 4,5432,3,2,9.0,41,2,19/ 1,1,38,4.56,20.50,27.0,0,0,0,9,0,2025/2026 TITANS SECOND LEAGUE
,949,32995,IRENE VILLAGERS 4,,,,,,,,,,,,,,,,,,,,,,2025/2026 TITANS SECOND LEAGUE
83,949,32995,Nico Minnaar,3713344,TUT 3,,TUT 3,5431,1,1,8.0,37,2,37/ 2,0,33,4.62,18.50,24.0,0,0,0,1,0,2025/2026 TITANS SECOND LEAGUE
,949,32995,TUT 3,,,,,,,,,,,,,,,,,,,,,,2025/2026 TITANS SECOND LEAGUE
84,949,32995,Tristan Beetge,4658060,IRENE VILLAGERS 4,,IRENE VILLAGERS 4,5432,4,2,4.3,21,2,11/ 2,1,17,4.67,10.50,13.5,0,0,0,1,0,2025/2026 TITANS SECOND LEAGUE
,949,32995,IRENE VILLAGERS 4,,,,,,,,,,,,,,,,,,,,,,2025/2026 TITANS SECOND LEAGUE
85,949,32995,Jerry Lesige,6299177,TUKS 5,,TUKS 5,5430,3,2,8.0,39,2,19/ 2,1,35,4.88,19.50,24.0,0,0,0,1,3,2025/2026 TITANS SECOND LEAGUE
,949,32995,TUKS 5,,,,,,,,,,,,,,,,,,,,,,2025/2026 TITANS SECOND LEAGUE
86,949,32995,Arno Kruger,6336327,PHSOB 3,,PHSOB 3,5428,7,1,3.0,15,2,15/ 2,0,12,5.00,7.50,9.0,0,0,0,3,0,2025/2026 TITANS SECOND LEAGUE
,949,32995,PHSOB 3,,,,,,,,,,,,,,,,,,,,,,2025/2026 TITANS SECOND LEAGUE
87,949,32995,Pj Richter,6552362,SINOVILLE 3,,SINOVILLE 3,5429,2,2,10.0,51,2,37/ 2,0,41,5.10,25.50,30.0,0,0,0,4,2,2025/2026 TITANS SECOND LEAGUE
,949,32995,SINOVILLE 3,,,,,,,,,,,,,,,,,,,,,,2025/2026 TITANS SECOND LEAGUE
88,949,32995,Ben Hough,6592585,PHSOB 3,,PHSOB 3,5428,2,2,11.0,60,2,39/ 2,1,48,5.45,30.00,33.0,0,0,0,13,0,2025/2026 TITANS SECOND LEAGUE
,949,32995,PHSOB 3,,,,,,,,,,,,,,,,,,,,,,2025/2026 TITANS SECOND LEAGUE
89,949,32995,Dillon Kotze,3729565,CBCOB 3,,CBCOB 3,5425,2,1,2.0,11,2,11/ 2,0,6,5.50,5.50,6.0,0,0,0,0,0,2025/2026 TITANS SECOND LEAGUE
,949,32995,CBCOB 3,,,,,,,,,,,,,,,,,,,,,,2025/2026 TITANS SECOND LEAGUE
90,949,32995,Dylan Howe-Dreyer,2936902,PHSOB 3,,PHSOB 3,5428,6,3,7.0,40,2,5/ 2,0,28,5.71,20.00,21.0,0,0,0,11,1,2025/2026 TITANS SECOND LEAGUE
,949,32995,PHSOB 3,,,,,,,,,,,,,,,,,,,,,,2025/2026 TITANS SECOND LEAGUE
91,949,32995,Carvel Pillay,6631981,TUKS 5,,TUKS 5,5430,2,1,4.0,23,2,23/ 2,0,13,5.75,11.50,12.0,0,0,0,0,0,2025/2026 TITANS SECOND LEAGUE
,949,32995,TUKS 5,,,,,,,,,,,,,,,,,,,,,,2025/2026 TITANS SECOND LEAGUE
92,949,32995,Devon Horn,6613295,HARLEQUINS 3,,HARLEQUINS 3,5426,1,1,3.3,22,2,22/ 2,0,13,6.29,11.00,10.5,0,0,0,3,0,2025/2026 TITANS SECOND LEAGUE
,949,32995,HARLEQUINS 3,,,,,,,,,,,,,,,,,,,,,,2025/2026 TITANS SECOND LEAGUE
93,949,32995,Dewald Van Der Walt,3276817,HARLEQUINS 3,,HARLEQUINS 3,5426,4,3,8.0,52,2,14/ 2,1,32,6.50,26.00,24.0,0,0,0,10,0,2025/2026 TITANS SECOND LEAGUE
,949,32995,HARLEQUINS 3,,,,,,,,,,,,,,,,,,,,,,2025/2026 TITANS SECOND LEAGUE
94,949,32995,Juan Venter,6552360,SINOVILLE 3,,SINOVILLE 3,5429,1,1,8.0,52,2,52/ 2,0,28,6.50,26.00,24.0,0,0,0,3,0,2025/2026 TITANS SECOND LEAGUE
,949,32995,SINOVILLE 3,,,,,,,,,,,,,,,,,,,,,,2025/2026 TITANS SECOND LEAGUE
95,949,32995,Jason Van Loggenberg,6552363,SINOVILLE 3,,SINOVILLE 3,5429,1,1,8.0,52,2,52/ 2,1,27,6.50,26.00,24.0,0,0,0,9,0,2025/2026 TITANS SECOND LEAGUE
,949,32995,SINOVILLE 3,,,,,,,,,,,,,,,,,,,,,,2025/2026 TITANS SECOND LEAGUE
96,949,32995,JD van Wyk,5000390,SINOVILLE 3,,SINOVILLE 3,5429,1,1,7.0,48,2,48/ 2,0,21,6.86,24.00,21.0,0,0,0,3,0,2025/2026 TITANS SECOND LEAGUE
,949,32995,SINOVILLE 3,,,,,,,,,,,,,,,,,,,,,,2025/2026 TITANS SECOND LEAGUE
97,949,32995,Kholisile Khuzwayo,6407265,HARLEQUINS 3,,HARLEQUINS 3,5426,5,3,19.3,136,2,80/ 2,1,63,6.97,68.00,58.5,0,0,0,4,0,2025/2026 TITANS SECOND LEAGUE
,949,32995,HARLEQUINS 3,,,,,,,,,,,,,,,,,,,,,,2025/2026 TITANS SECOND LEAGUE
98,949,32995,Stefan Ferreira,6552300,CBCOB 3,,CBCOB 3,5425,2,1,7.3,53,2,53/ 2,0,23,7.07,26.50,22.5,0,0,0,2,0,2025/2026 TITANS SECOND LEAGUE
,949,32995,CBCOB 3,,,,,,,,,,,,,,,,,,,,,,2025/2026 TITANS SECOND LEAGUE
99,949,32995,Justin Pretorius,6407259,IRENE VILLAGERS 3,,IRENE VILLAGERS 3,5427,3,3,5.5,43,2,1/ 1,0,23,7.37,21.50,17.5,0,0,0,9,0,2025/2026 TITANS SECOND LEAGUE
,949,32995,IRENE VILLAGERS 3,,,,,,,,,,,,,,,,,,,,,,2025/2026 TITANS SECOND LEAGUE
100,949,32995,Jordan Cbc,6442338,CBCOB 3,,CBCOB 3,5425,1,1,5.0,37,2,37/ 2,0,19,7.40,18.50,15.0,0,0,0,19,0,2025/2026 TITANS SECOND LEAGUE
,949,32995,CBCOB 3,,,,,,,,,,,,,,,,,,,,,,2025/2026 TITANS SECOND LEAGUE
101,949,32995,Senekal Cbc,6442336,CBCOB 3,,CBCOB 3,5425,2,1,9.0,67,2,67/ 2,0,24,7.44,33.50,27.0,0,0,0,13,0,2025/2026 TITANS SECOND LEAGUE
,949,32995,CBCOB 3,,,,,,,,,,,,,,,,,,,,,,2025/2026 TITANS SECOND LEAGUE
102,949,32995,Tiaan Borman,3772082,SINOVILLE 3,,SINOVILLE 3,5429,1,1,8.0,61,2,61/ 2,0,22,7.62,30.50,24.0,0,0,0,1,0,2025/2026 TITANS SECOND LEAGUE
,949,32995,SINOVILLE 3,,,,,,,,,,,,,,,,,,,,,,2025/2026 TITANS SECOND LEAGUE
103,949,32995,Eddie Stephen,6299173,HARLEQUINS 3,,HARLEQUINS 3,5426,7,4,9.0,76,2,24/ 2,0,34,8.44,38.00,27.0,0,0,0,8,5,2025/2026 TITANS SECOND LEAGUE
,949,32995,HARLEQUINS 3,,,,,,,,,,,,,,,,,,,,,,2025/2026 TITANS SECOND LEAGUE
104,949,32995,Eugene Pelzer,6552298,IRENE VILLAGERS 3,,IRENE VILLAGERS 3,5427,1,1,3.0,26,2,26/ 2,0,11,8.67,13.00,9.0,0,0,0,0,0,2025/2026 TITANS SECOND LEAGUE
,949,32995,IRENE VILLAGERS 3,,,,,,,,,,,,,,,,,,,,,,2025/2026 TITANS SECOND LEAGUE
105,949,32995,Matthew Field,6592582,CBCOB 3,,CBCOB 3,5425,1,1,4.0,37,2,37/ 2,0,16,9.25,18.50,12.0,0,0,0,11,1,2025/2026 TITANS SECOND LEAGUE
,949,32995,CBCOB 3,,,,,,,,,,,,,,,,,,,,,,2025/2026 TITANS SECOND LEAGUE
106,949,32995,Zandré Nel,3031806,SINOVILLE 3,,SINOVILLE 3,5429,1,1,3.0,28,2,28/ 2,0,8,9.33,14.00,9.0,0,0,0,1,0,2025/2026 TITANS SECOND LEAGUE
,949,32995,SINOVILLE 3,,,,,,,,,,,,,,,,,,,,,,2025/2026 TITANS SECOND LEAGUE
107,949,32995,Emil Rolfes,2936903,PHSOB 3,,PHSOB 3,5428,8,4,8.0,76,2,15/ 1,0,21,9.50,38.00,24.0,0,0,0,4,0,2025/2026 TITANS SECOND LEAGUE
,949,32995,PHSOB 3,,,,,,,,,,,,,,,,,,,,,,2025/2026 TITANS SECOND LEAGUE
108,949,32995,Hayden Van Den Heever,6372013,PHSOB 3,,PHSOB 3,5428,5,3,4.0,38,2,12/ 1,0,9,9.50,19.00,12.0,0,0,0,3,0,2025/2026 TITANS SECOND LEAGUE
,949,32995,PHSOB 3,,,,,,,,,,,,,,,,,,,,,,2025/2026 TITANS SECOND LEAGUE
109,949,32995,Ruan Coetzer,6336357,HARLEQUINS 3,,HARLEQUINS 3,5426,10,8,17.2,173,2,4/ 1,0,42,9.98,86.50,52.0,0,0,0,14,2,2025/2026 TITANS SECOND LEAGUE
,949,32995,HARLEQUINS 3,,,,,,,,,,,,,,,,,,,,,,2025/2026 TITANS SECOND LEAGUE
110,949,32995,Willie Kamffer,6299174,HARLEQUINS 3,,HARLEQUINS 3,5426,6,4,7.0,89,2,4/ 1,0,14,12.71,44.50,21.0,0,0,0,0,2,2025/2026 TITANS SECOND LEAGUE
,949,32995,HARLEQUINS 3,,,,,,,,,,,,,,,,,,,,,,2025/2026 TITANS SECOND LEAGUE
111,949,32995,Puseletso Mogofe,6631979,TUKS 5,,TUKS 5,5430,1,1,3.0,6,1,6/ 1,1,14,2.00,6.00,18.0,0,0,0,0,0,2025/2026 TITANS SECOND LEAGUE
,949,32995,TUKS 5,,,,,,,,,,,,,,,,,,,,,,2025/2026 TITANS SECOND LEAGUE
112,949,32995,Gunter Geyer,2985804,IRENE VILLAGERS 3,,IRENE VILLAGERS 3,5427,1,1,4.0,10,1,10/ 1,0,19,2.50,10.00,24.0,0,0,0,5,0,2025/2026 TITANS SECOND LEAGUE
,949,32995,IRENE VILLAGERS 3,,,,,,,,,,,,,,,,,,,,,,2025/2026 TITANS SECOND LEAGUE
113,949,32995,Jeandre Pfister,6390081,CBCOB 3,,CBCOB 3,5425,1,1,3.5,10,1,10/ 1,0,18,2.61,10.00,23.0,0,0,0,0,0,2025/2026 TITANS SECOND LEAGUE
,949,32995,CBCOB 3,,,,,,,,,,,,,,,,,,,,,,2025/2026 TITANS SECOND LEAGUE
114,949,32995,Jason Gillard,3003090,SINOVILLE 3,,SINOVILLE 3,5429,1,1,9.0,24,1,24/ 1,1,39,2.67,24.00,54.0,0,0,0,1,0,2025/2026 TITANS SECOND LEAGUE
,949,32995,SINOVILLE 3,,,,,,,,,,,,,,,,,,,,,,2025/2026 TITANS SECOND LEAGUE
115,949,32995,Gerrie Van Rooyen,6592584,PHSOB 3,,PHSOB 3,5428,1,1,3.0,8,1,8/ 1,1,16,2.67,8.00,18.0,0,0,0,2,0,2025/2026 TITANS SECOND LEAGUE
,949,32995,PHSOB 3,,,,,,,,,,,,,,,,,,,,,,2025/2026 TITANS SECOND LEAGUE
116,949,32995,Altys Cbc,6613298,CBCOB 3,,CBCOB 3,5425,1,1,4.0,11,1,11/ 1,1,21,2.75,11.00,24.0,0,0,0,4,0,2025/2026 TITANS SECOND LEAGUE
,949,32995,CBCOB 3,,,,,,,,,,,,,,,,,,,,,,2025/2026 TITANS SECOND LEAGUE
117,949,32995,Reghardt Jordaan,6613299,CBCOB 3,,CBCOB 3,5425,1,1,5.0,16,1,16/ 1,0,21,3.20,16.00,30.0,0,0,0,1,0,2025/2026 TITANS SECOND LEAGUE
,949,32995,CBCOB 3,,,,,,,,,,,,,,,,,,,,,,2025/2026 TITANS SECOND LEAGUE
118,949,32995,Jandre Lotheringen,6629544,CBCOB 3,,CBCOB 3,5425,1,1,5.0,16,1,16/ 1,0,25,3.20,16.00,30.0,0,0,0,7,0,2025/2026 TITANS SECOND LEAGUE
,949,32995,CBCOB 3,,,,,,,,,,,,,,,,,,,,,,2025/2026 TITANS SECOND LEAGUE
119,949,32995,Rigardt Saaiman,3729566,CBCOB 3,,CBCOB 3,5425,2,1,8.0,26,1,26/ 1,2,34,3.25,26.00,48.0,0,0,0,0,0,2025/2026 TITANS SECOND LEAGUE
,949,32995,CBCOB 3,,,,,,,,,,,,,,,,,,,,,,2025/2026 TITANS SECOND LEAGUE
120,949,32995,Henry Knell,6613294,HARLEQUINS 3,,HARLEQUINS 3,5426,1,1,2.0,7,1,7/ 1,0,7,3.50,7.00,12.0,0,0,0,0,0,2025/2026 TITANS SECOND LEAGUE
,949,32995,HARLEQUINS 3,,,,,,,,,,,,,,,,,,,,,,2025/2026 TITANS SECOND LEAGUE
121,949,32995,Jaco de Vos,2936844,TUKS 5,,TUKS 5,5430,2,1,6.0,22,1,22/ 1,1,28,3.67,22.00,36.0,0,0,0,2,0,2025/2026 TITANS SECOND LEAGUE
,949,32995,TUKS 5,,,,,,,,,,,,,,,,,,,,,,2025/2026 TITANS SECOND LEAGUE
122,949,32995,Ryan Blyth,6592525,TUKS 5,,TUKS 5,5430,1,1,4.5,19,1,19/ 1,0,21,3.93,19.00,29.0,0,0,0,3,1,2025/2026 TITANS SECOND LEAGUE
,949,32995,TUKS 5,,,,,,,,,,,,,,,,,,,,,,2025/2026 TITANS SECOND LEAGUE
123,949,32995,Rian Klopper,4769742,IRENE VILLAGERS 4,,IRENE VILLAGERS 4,5432,2,1,5.0,20,1,20/ 1,0,21,4.00,20.00,30.0,0,0,0,0,4,2025/2026 TITANS SECOND LEAGUE
,949,32995,IRENE VILLAGERS 4,,,,,,,,,,,,,,,,,,,,,,2025/2026 TITANS SECOND LEAGUE
124,949,32995,Austin Prins,6590932,IRENE VILLAGERS 4,,IRENE VILLAGERS 4,5432,1,1,5.0,20,1,20/ 1,1,23,4.00,20.00,30.0,0,0,0,2,1,2025/2026 TITANS SECOND LEAGUE
,949,32995,IRENE VILLAGERS 4,,,,,,,,,,,,,,,,,,,,,,2025/2026 TITANS SECOND LEAGUE
125,949,32995,Charl Prinsloo,3018226,TUT 3,,TUT 3,5431,7,2,8.4,36,1,10/ 1,1,36,4.15,36.00,52.0,0,0,0,2,1,2025/2026 TITANS SECOND LEAGUE
,949,32995,TUT 3,,,,,,,,,,,,,,,,,,,,,,2025/2026 TITANS SECOND LEAGUE
126,949,32995,Arno La Cock,6631980,TUKS 5,,TUKS 5,5430,2,1,5.0,21,1,21/ 1,1,25,4.20,21.00,30.0,0,0,0,11,0,2025/2026 TITANS SECOND LEAGUE
,949,32995,TUKS 5,,,,,,,,,,,,,,,,,,,,,,2025/2026 TITANS SECOND LEAGUE
127,949,32995,Jean Cbc,6644490,CBCOB 3,,CBCOB 3,5425,1,1,5.0,21,1,21/ 1,0,21,4.20,21.00,30.0,0,0,0,1,0,2025/2026 TITANS SECOND LEAGUE
,949,32995,CBCOB 3,,,,,,,,,,,,,,,,,,,,,,2025/2026 TITANS SECOND LEAGUE
128,949,32995,Johan Broekman,4756705,IRENE VILLAGERS 3,,IRENE VILLAGERS 3,5427,4,1,7.0,32,1,32/ 1,1,30,4.57,32.00,42.0,0,0,0,8,0,2025/2026 TITANS SECOND LEAGUE
,949,32995,IRENE VILLAGERS 3,,,,,,,,,,,,,,,,,,,,,,2025/2026 TITANS SECOND LEAGUE
129,949,32995,Jaco Fourie,4688790,PHSOB 3,,PHSOB 3,5428,1,1,6.0,28,1,28/ 1,0,24,4.67,28.00,36.0,0,0,0,3,0,2025/2026 TITANS SECOND LEAGUE
,949,32995,PHSOB 3,,,,,,,,,,,,,,,,,,,,,,2025/2026 TITANS SECOND LEAGUE
130,949,32995,Josua Marx,6336355,IRENE VILLAGERS 3,,IRENE VILLAGERS 3,5427,2,1,6.1,29,1,29/ 1,0,23,4.70,29.00,37.0,0,0,0,2,0,2025/2026 TITANS SECOND LEAGUE
,949,32995,IRENE VILLAGERS 3,,,,,,,,,,,,,,,,,,,,,,2025/2026 TITANS SECOND LEAGUE
131,949,32995,Duanne Cbc,6644491,CBCOB 3,,CBCOB 3,5425,1,1,5.0,24,1,24/ 1,0,21,4.80,24.00,30.0,0,0,0,3,0,2025/2026 TITANS SECOND LEAGUE
,949,32995,CBCOB 3,,,,,,,,,,,,,,,,,,,,,,2025/2026 TITANS SECOND LEAGUE
132,949,32995,Devin Almeida,6299636,TUT 3,,TUT 3,5431,2,1,3.0,15,1,15/ 1,0,11,5.00,15.00,18.0,0,0,0,3,0,2025/2026 TITANS SECOND LEAGUE
,949,32995,TUT 3,,,,,,,,,,,,,,,,,,,,,,2025/2026 TITANS SECOND LEAGUE
133,949,32995,Tshepo Molite,4892046,IRENE VILLAGERS 3,,IRENE VILLAGERS 3,5427,4,3,8.0,41,1,17/ 1,1,35,5.12,41.00,48.0,0,0,0,4,3,2025/2026 TITANS SECOND LEAGUE
,949,32995,IRENE VILLAGERS 3,,,,,,,,,,,,,,,,,,,,,,2025/2026 TITANS SECOND LEAGUE
134,949,32995,Andre Schoombee,3772084,SINOVILLE 3,,SINOVILLE 3,5429,1,1,5.0,26,1,26/ 1,0,22,5.20,26.00,30.0,0,0,0,6,1,2025/2026 TITANS SECOND LEAGUE
,949,32995,SINOVILLE 3,,,,,,,,,,,,,,,,,,,,,,2025/2026 TITANS SECOND LEAGUE
135,949,32995,Ricardo Pretorius,6355784,SINOVILLE 3,,SINOVILLE 3,5429,1,1,5.0,26,1,26/ 1,0,24,5.20,26.00,30.0,0,0,0,8,0,2025/2026 TITANS SECOND LEAGUE
,949,32995,SINOVILLE 3,,,,,,,,,,,,,,,,,,,,,,2025/2026 TITANS SECOND LEAGUE
136,949,32995,Leo Pelser,6355782,HARLEQUINS 3,,HARLEQUINS 3,5426,2,2,10.0,53,1,44/ 1,0,38,5.30,53.00,60.0,0,0,0,3,0,2025/2026 TITANS SECOND LEAGUE
,949,32995,HARLEQUINS 3,,,,,,,,,,,,,,,,,,,,,,2025/2026 TITANS SECOND LEAGUE
137,949,32995,Robert Vermeulen,6407267,IRENE VILLAGERS 4,,IRENE VILLAGERS 4,5432,1,1,5.0,27,1,27/ 1,0,21,5.40,27.00,30.0,0,0,0,9,0,2025/2026 TITANS SECOND LEAGUE
,949,32995,IRENE VILLAGERS 4,,,,,,,,,,,,,,,,,,,,,,2025/2026 TITANS SECOND LEAGUE
138,949,32995,Rohan Van Der Walt,6299643,CBCOB 3,,CBCOB 3,5425,4,4,17.0,99,1,26/ 1,0,61,5.82,99.00,102.0,0,0,0,13,0,2025/2026 TITANS SECOND LEAGUE
,949,32995,CBCOB 3,,,,,,,,,,,,,,,,,,,,,,2025/2026 TITANS SECOND LEAGUE
139,949,32995,Alex Brown,6358567,CBCOB 3,,CBCOB 3,5425,1,1,6.0,38,1,38/ 1,0,18,6.33,38.00,36.0,0,0,0,2,0,2025/2026 TITANS SECOND LEAGUE
,949,32995,CBCOB 3,,,,,,,,,,,,,,,,,,,,,,2025/2026 TITANS SECOND LEAGUE
140,949,32995,Sydney Stanley,6389980,TUKS 5,,TUKS 5,5430,2,1,3.0,19,1,19/ 1,0,11,6.33,19.00,18.0,0,0,0,7,0,2025/2026 TITANS SECOND LEAGUE
,949,32995,TUKS 5,,,,,,,,,,,,,,,,,,,,,,2025/2026 TITANS SECOND LEAGUE
141,949,32995,Jeandre Roux,3018228,TUT 3,,TUT 3,5431,5,1,2.0,13,1,13/ 1,0,5,6.50,13.00,12.0,0,0,0,1,0,2025/2026 TITANS SECOND LEAGUE
,949,32995,TUT 3,,,,,,,,,,,,,,,,,,,,,,2025/2026 TITANS SECOND LEAGUE
142,949,32995,Tihardt Kruger,3242942,TUKS 5,,TUKS 5,5430,11,6,18.5,128,1,4/ 1,0,51,6.80,128.00,113.0,0,0,0,12,0,2025/2026 TITANS SECOND LEAGUE
,949,32995,TUKS 5,,,,,,,,,,,,,,,,,,,,,,2025/2026 TITANS SECOND LEAGUE
143,949,32995,Hendrik Ferreira,4891854,TUT 3,,TUT 3,5431,7,4,10.4,76,1,23/ 1,0,35,7.12,76.00,64.0,0,0,0,5,1,2025/2026 TITANS SECOND LEAGUE
,949,32995,TUT 3,,,,,,,,,,,,,,,,,,,,,,2025/2026 TITANS SECOND LEAGUE
144,949,32995,Michael Kershaw,6297242,PHSOB 3,,PHSOB 3,5428,9,2,12.0,87,1,38/ 1,0,44,7.25,87.00,72.0,0,0,0,7,1,2025/2026 TITANS SECOND LEAGUE
,949,32995,PHSOB 3,,,,,,,,,,,,,,,,,,,,,,2025/2026 TITANS SECOND LEAGUE
145,949,32995,PJ McKechnie,3000408,PHSOB 3,,PHSOB 3,5428,3,3,12.0,90,1,37/ 1,0,41,7.50,90.00,72.0,0,0,0,4,2,2025/2026 TITANS SECOND LEAGUE
,949,32995,PHSOB 3,,,,,,,,,,,,,,,,,,,,,,2025/2026 TITANS SECOND LEAGUE
146,949,32995,Adriaan Venter,3673677,CBCOB 3,,CBCOB 3,5425,3,1,7.0,55,1,55/ 1,0,22,7.86,55.00,42.0,0,0,0,1,1,2025/2026 TITANS SECOND LEAGUE
,949,32995,CBCOB 3,,,,,,,,,,,,,,,,,,,,,,2025/2026 TITANS SECOND LEAGUE
147,949,32995,Matt Collett,4081460,PHSOB 3,,PHSOB 3,5428,2,1,1.2,11,1,11/ 1,0,3,8.25,11.00,8.0,0,0,0,0,0,2025/2026 TITANS SECOND LEAGUE
,949,32995,PHSOB 3,,,,,,,,,,,,,,,,,,,,,,2025/2026 TITANS SECOND LEAGUE
148,949,32995,Tristan Voshee,6299555,SINOVILLE 3,,SINOVILLE 3,5429,1,1,3.0,25,1,25/ 1,0,12,8.33,25.00,18.0,0,0,0,1,1,2025/2026 TITANS SECOND LEAGUE
,949,32995,SINOVILLE 3,,,,,,,,,,,,,,,,,,,,,,2025/2026 TITANS SECOND LEAGUE
149,949,32995,JD van Wyk,4688794,SINOVILLE 3,,SINOVILLE 3,5429,4,3,5.0,42,1,15/ 1,0,17,8.40,42.00,30.0,0,0,0,7,0,2025/2026 TITANS SECOND LEAGUE
,949,32995,SINOVILLE 3,,,,,,,,,,,,,,,,,,,,,,2025/2026 TITANS SECOND LEAGUE
150,949,32995,Ian Dorfling,4063612,SINOVILLE 3,,SINOVILLE 3,5429,3,2,7.0,61,1,31/ 1,0,22,8.71,61.00,42.0,0,0,0,5,2,2025/2026 TITANS SECOND LEAGUE
,949,32995,SINOVILLE 3,,,,,,,,,,,,,,,,,,,,,,2025/2026 TITANS SECOND LEAGUE
151,949,32995,Kai Trumplemann,4691512,CBCOB 3,,CBCOB 3,5425,1,1,6.0,55,1,55/ 1,0,21,9.17,55.00,36.0,0,0,0,3,0,2025/2026 TITANS SECOND LEAGUE
,949,32995,CBCOB 3,,,,,,,,,,,,,,,,,,,,,,2025/2026 TITANS SECOND LEAGUE
152,949,32995,Gerhard Bezuidenhout,6570586,PHSOB 3,,PHSOB 3,5428,1,1,4.0,37,1,37/ 1,0,12,9.25,37.00,24.0,0,0,0,2,2,2025/2026 TITANS SECOND LEAGUE
,949,32995,PHSOB 3,,,,,,,,,,,,,,,,,,,,,,2025/2026 TITANS SECOND LEAGUE
153,949,32995,Werner Swart,6592625,SINOVILLE 3,,SINOVILLE 3,5429,1,1,4.0,37,1,37/ 1,0,13,9.25,37.00,24.0,0,0,0,6,2,2025/2026 TITANS SECOND LEAGUE
,949,32995,SINOVILLE 3,,,,,,,,,,,,,,,,,,,,,,2025/2026 TITANS SECOND LEAGUE
154,949,32995,Xavier Dido,6552348,IRENE VILLAGERS 4,,IRENE VILLAGERS 4,5432,2,1,2.2,22,1,22/ 1,0,9,9.43,22.00,14.0,0,0,0,5,0,2025/2026 TITANS SECOND LEAGUE
,949,32995,IRENE VILLAGERS 4,,,,,,,,,,,,,,,,,,,,,,2025/2026 TITANS SECOND LEAGUE
155,949,32995,Jean Botes,6299519,IRENE VILLAGERS 4,,IRENE VILLAGERS 4,5432,2,1,5.0,48,1,48/ 1,0,19,9.60,48.00,30.0,0,0,0,9,0,2025/2026 TITANS SECOND LEAGUE
,949,32995,IRENE VILLAGERS 4,,,,,,,,,,,,,,,,,,,,,,2025/2026 TITANS SECOND LEAGUE
156,949,32995,Karel Vd Walt,6355781,HARLEQUINS 3,,HARLEQUINS 3,5426,6,4,7.0,68,1,5/ 1,0,19,9.71,68.00,42.0,0,0,0,4,0,2025/2026 TITANS SECOND LEAGUE
,949,32995,HARLEQUINS 3,,,,,,,,,,,,,,,,,,,,,,2025/2026 TITANS SECOND LEAGUE
157,949,32995,Brian Panashe,6592586,PHSOB 3,,PHSOB 3,5428,1,1,1.0,14,1,14/ 1,0,4,14.00,14.00,6.0,0,0,0,9,0,2025/2026 TITANS SECOND LEAGUE
,949,32995,PHSOB 3,,,,,,,,,,,,,,,,,,,,,,2025/2026 TITANS SECOND LEAGUE
158,949,32995,MJ Kruger,3056984,TUKS 5,,TUKS 5,5430,1,1,1.0,1,0,1/ 0,0,5,1.00,0,0.0,0,0,0,0,0,2025/2026 TITANS SECOND LEAGUE
,949,32995,TUKS 5,,,,,,,,,,,,,,,,,,,,,,2025/2026 TITANS SECOND LEAGUE
159,949,32995,Stefan Van Jaarsveld,6552292,HARLEQUINS 3,,HARLEQUINS 3,5426,1,1,1.0,1,0,1/ 0,0,5,1.00,0,0.0,0,0,0,0,0,2025/2026 TITANS SECOND LEAGUE
,949,32995,HARLEQUINS 3,,,,,,,,,,,,,,,,,,,,,,2025/2026 TITANS SECOND LEAGUE
160,949,32995,Albert Myburgh,4024779,IRENE VILLAGERS 3,,IRENE VILLAGERS 3,5427,1,1,3.0,9,0,9/ 0,0,13,3.00,0,0.0,0,0,0,0,0,2025/2026 TITANS SECOND LEAGUE
,949,32995,IRENE VILLAGERS 3,,,,,,,,,,,,,,,,,,,,,,2025/2026 TITANS SECOND LEAGUE
161,949,32995,Justin Van Bassen,4673824,CBCOB 3,,CBCOB 3,5425,1,1,1.0,3,0,3/ 0,0,4,3.00,0,0.0,0,0,0,1,0,2025/2026 TITANS SECOND LEAGUE
,949,32995,CBCOB 3,,,,,,,,,,,,,,,,,,,,,,2025/2026 TITANS SECOND LEAGUE
162,949,32995,Henry Van Der Merwe,6389981,TUKS 5,,TUKS 5,5430,2,1,8.0,29,0,0/ 0,0,35,3.62,0,0.0,0,0,0,0,0,2025/2026 TITANS SECOND LEAGUE
,949,32995,TUKS 5,,,,,,,,,,,,,,,,,,,,,,2025/2026 TITANS SECOND LEAGUE
163,949,32995,Barend Pelser,6407260,IRENE VILLAGERS 3,,IRENE VILLAGERS 3,5427,1,1,6.0,26,0,26/ 0,1,25,4.33,0,0.0,0,0,0,2,0,2025/2026 TITANS SECOND LEAGUE
,949,32995,IRENE VILLAGERS 3,,,,,,,,,,,,,,,,,,,,,,2025/2026 TITANS SECOND LEAGUE
