SNO,MATCH_TYPE,DATE,TEAM_ONE,TEAM_ONE_URL,TEAM_ONE_CLUB_ID,TEAM_TWO,TEAM_TWO_URL,TEAM_TWO_CLUB_ID,RESULT,SCORES_SUMMARY_RAW,SCORECARD_URL,POINTS,SCORE_SUMMARY_TEAM_1,SCORE_SUMMARY_TEAM_1_SCORE,SCORE_SUMMARY_TEAM_2,SCORE_SUMMARY_TEAM_2_SCORE
35,League,01/31/2026,TUKS 5,https://cricclubs.com/TitansCricket/viewTeam.do?teamId=5430&clubId=32995,32995,PHSOB 3,https://cricclubs.com/TitansCricket/viewTeam.do?teamId=5428&clubId=32995,32995,PHSOB 3 won by 2 Wickets,TUKS 5: 216/10(39.3) PHSOB 3: 218/8(44.3),https://cricclubs.com/TitansCricket/viewScorecard.do?matchId=8254&clubId=32995,4,TUKS 5,216/10(39.3),PHSOB 3,218/8(44.3)
34,League,01/24/2026,PHSOB 3,https://cricclubs.com/TitansCricket/viewTeam.do?teamId=5428&clubId=32995,32995,SINOVILLE 3,https://cricclubs.com/TitansCricket/viewTeam.do?teamId=5429&clubId=32995,32995,PHSOB 3 won by 138 Runs,PHSOB 3: 284/9(40.0) SINOVILLE 3: 146/10(24.4),https://cricclubs.com/TitansCricket/viewScorecard.do?matchId=8212&clubId=32995,0,PHSOB 3,284/9(40.0),SINOVILLE 3,146/10(24.4)
33,League,01/24/2026,IRENE VILLAGERS 4,https://cricclubs.com/TitansCricket/viewTeam.do?teamId=5432&clubId=32995,32995,TUKS 5,https://cricclubs.com/TitansCricket/viewTeam.do?teamId=5430&clubId=32995,32995,TUKS 5 won by 7 Wickets,IRENE VILLAGERS 4: 147/10(27.4) TUKS 5: 150/3(16.5),https://cricclubs.com/TitansCricket/viewScorecard.do?matchId=8210&clubId=32995,4,IRENE VILLAGERS 4,147/10(27.4),TUKS 5,150/3(16.5)
32,League,01/24/2026,CBCOB 3,https://cricclubs.com/TitansCricket/viewTeam.do?teamId=5425&clubId=32995,32995,IRENE VILLAGERS 3,https://cricclubs.com/TitansCricket/viewTeam.do?teamId=5427&clubId=32995,32995,IRENE VILLAGERS 3 won by 4 Wickets,CBCOB 3: 147/10(32.0) IRENE VILLAGERS 3: 152/6(31.3),https://cricclubs.com/TitansCricket/viewScorecard.do?matchId=8208&clubId=32995,4,CBCOB 3,147/10(32.0),IRENE VILLAGERS 3,152/6(31.3)
31,League,01/24/2026,HARLEQUINS 3,https://cricclubs.com/TitansCricket/viewTeam.do?teamId=5426&clubId=32995,32995,TUT 3,https://cricclubs.com/TitansCricket/viewTeam.do?teamId=5431&clubId=32995,32995,TUT 3 won by 10 Wickets,HARLEQUINS 3: 83/10(25.2) TUT 3: 84/0(18.3),https://cricclubs.com/TitansCricket/viewScorecard.do?matchId=8207&clubId=32995,4,HARLEQUINS 3,83/10(25.2),TUT 3,84/0(18.3)
30,League,12/06/2025,IRENE VILLAGERS 4,https://cricclubs.com/TitansCricket/viewTeam.do?teamId=5432&clubId=32995,32995,PHSOB 3,https://cricclubs.com/TitansCricket/viewTeam.do?teamId=5428&clubId=32995,32995,IRENE VILLAGERS 4 won by 38 Runs,IRENE VILLAGERS 4: 256/9(45.0) PHSOB 3: 218/10(38.3),https://cricclubs.com/TitansCricket/viewScorecard.do?matchId=8170&clubId=32995,0,IRENE VILLAGERS 4,256/9(45.0),PHSOB 3,218/10(38.3)
29,League,12/06/2025,CBCOB 3,https://cricclubs.com/TitansCricket/viewTeam.do?teamId=5425&clubId=32995,32995,SINOVILLE 3,https://cricclubs.com/TitansCricket/viewTeam.do?teamId=5429&clubId=32995,32995,CBCOB 3 won by 22 Runs,CBCOB 3: 177/10(36.5) SINOVILLE 3: 155/10(23.5),https://cricclubs.com/TitansCricket/viewScorecard.do?matchId=8168&clubId=32995,0,CBCOB 3,177/10(36.5),SINOVILLE 3,155/10(23.5)
28,League,11/29/2025,TUT 3,https://cricclubs.com/TitansCricket/viewTeam.do?teamId=5431&clubId=32995,32995,CBCOB 3,https://cricclubs.com/TitansCricket/viewTeam.do?teamId=5425&clubId=32995,32995,TUT 3 won by 109 Runs,TUT 3: 208/7(40.0) CBCOB 3: 99/10(28.2),https://cricclubs.com/TitansCricket/viewScorecard.do?matchId=8127&clubId=32995,0,TUT 3,208/7(40.0),CBCOB 3,99/10(28.2)
27,League,11/29/2025,SINOVILLE 3,https://cricclubs.com/TitansCricket/viewTeam.do?teamId=5429&clubId=32995,32995,IRENE VILLAGERS 3,https://cricclubs.com/TitansCricket/viewTeam.do?teamId=5427&clubId=32995,32995,Abandoned.,SINOVILLE 3: 0/0(0.0),https://cricclubs.com/TitansCricket/viewScorecard.do?matchId=8118&clubId=32995,2,SINOVILLE 3,0/0(0.0),,
26,League,11/29/2025,HARLEQUINS 3,https://cricclubs.com/TitansCricket/viewTeam.do?teamId=5426&clubId=32995,32995,TUKS 5,https://cricclubs.com/TitansCricket/viewTeam.do?teamId=5430&clubId=32995,32995,HARLEQUINS 3 won by 39 Runs,HARLEQUINS 3: 221/5(40.0) TUKS 5: 182/10(31.2),https://cricclubs.com/TitansCricket/viewScorecard.do?matchId=8102&clubId=32995,0,HARLEQUINS 3,221/5(40.0),TUKS 5,182/10(31.2)
25,League,11/22/2025,SINOVILLE 3,https://cricclubs.com/TitansCricket/viewTeam.do?teamId=5429&clubId=32995,32995,TUT 3,https://cricclubs.com/TitansCricket/viewTeam.do?teamId=5431&clubId=32995,32995,TUT 3 won by 7 Wickets,SINOVILLE 3: 150/10(26.4) TUT 3: 155/3(29.2),https://cricclubs.com/TitansCricket/viewScorecard.do?matchId=8035&clubId=32995,4,SINOVILLE 3,150/10(26.4),TUT 3,155/3(29.2)
24,League,11/22/2025,HARLEQUINS 3,https://cricclubs.com/TitansCricket/viewTeam.do?teamId=5426&clubId=32995,32995,IRENE VILLAGERS 4,https://cricclubs.com/TitansCricket/viewTeam.do?teamId=5432&clubId=32995,32995,HARLEQUINS 3 won by 87 Runs,HARLEQUINS 3: 198/10(39.3) IRENE VILLAGERS 4: 111/4(20.0),https://cricclubs.com/TitansCricket/viewScorecard.do?matchId=8012&clubId=32995,0,HARLEQUINS 3,198/10(39.3),IRENE VILLAGERS 4,111/4(20.0)
23,League,11/22/2025,IRENE VILLAGERS 3,https://cricclubs.com/TitansCricket/viewTeam.do?teamId=5427&clubId=32995,32995,PHSOB 3,https://cricclubs.com/TitansCricket/viewTeam.do?teamId=5428&clubId=32995,32995,Winner: PHSOB 3,IRENE VILLAGERS 3: 234/10(42.2) PHSOB 3: 114/4(23.0),https://cricclubs.com/TitansCricket/viewScorecard.do?matchId=8011&clubId=32995,4,IRENE VILLAGERS 3,234/10(42.2),PHSOB 3,114/4(23.0)
22,League,11/15/2025,TUT 3,https://cricclubs.com/TitansCricket/viewTeam.do?teamId=5431&clubId=32995,32995,IRENE VILLAGERS 3,https://cricclubs.com/TitansCricket/viewTeam.do?teamId=5427&clubId=32995,32995,Abandoned.,TUT 3: 0/0(0.0),https://cricclubs.com/TitansCricket/viewScorecard.do?matchId=7967&clubId=32995,2,TUT 3,0/0(0.0),,
21,League,11/15/2025,IRENE VILLAGERS 4,https://cricclubs.com/TitansCricket/viewTeam.do?teamId=5432&clubId=32995,32995,CBCOB 3,https://cricclubs.com/TitansCricket/viewTeam.do?teamId=5425&clubId=32995,32995,Abandoned.,IRENE VILLAGERS 4: 32/2(7.5),https://cricclubs.com/TitansCricket/viewScorecard.do?matchId=7901&clubId=32995,2,IRENE VILLAGERS 4,32/2(7.5),,
20,League,11/15/2025,HARLEQUINS 3,https://cricclubs.com/TitansCricket/viewTeam.do?teamId=5426&clubId=32995,32995,PHSOB 3,https://cricclubs.com/TitansCricket/viewTeam.do?teamId=5428&clubId=32995,32995,PHSOB 3 won by 5 Wickets,HARLEQUINS 3: 53/10(10.5) PHSOB 3: 55/5(13.4),https://cricclubs.com/TitansCricket/viewScorecard.do?matchId=7898&clubId=32995,4,HARLEQUINS 3,53/10(10.5),PHSOB 3,55/5(13.4)
19,League,11/15/2025,SINOVILLE 3,https://cricclubs.com/TitansCricket/viewTeam.do?teamId=5429&clubId=32995,32995,TUKS 5,https://cricclubs.com/TitansCricket/viewTeam.do?teamId=5430&clubId=32995,32995,TUKS 5 won by 8 Wickets,SINOVILLE 3: 64/10(18.3) TUKS 5: 67/2(7.2),https://cricclubs.com/TitansCricket/viewScorecard.do?matchId=7896&clubId=32995,4,SINOVILLE 3,64/10(18.3),TUKS 5,67/2(7.2)
18,League,11/08/2025,CBCOB 3,https://cricclubs.com/TitansCricket/viewTeam.do?teamId=5425&clubId=32995,32995,HARLEQUINS 3,https://cricclubs.com/TitansCricket/viewTeam.do?teamId=5426&clubId=32995,32995,Abandoned.,CBCOB 3: 0/0(0.0),https://cricclubs.com/TitansCricket/viewScorecard.do?matchId=7838&clubId=32995,2,CBCOB 3,0/0(0.0),,
17,League,11/08/2025,TUT 3,https://cricclubs.com/TitansCricket/viewTeam.do?teamId=5431&clubId=32995,32995,PHSOB 3,https://cricclubs.com/TitansCricket/viewTeam.do?teamId=5428&clubId=32995,32995,PHSOB 3 won by 4 Wickets,TUT 3: 205/10(40.0) PHSOB 3: 206/6(31.4),https://cricclubs.com/TitansCricket/viewScorecard.do?matchId=7790&clubId=32995,4,TUT 3,205/10(40.0),PHSOB 3,206/6(31.4)
