League ID,League Name,URL
949,2025/2026 TITANS SECOND LEAGUE,https://cricclubs.com/TitansCricket/viewLeague.do?league=949
790,2024 Titans Second League,https://cricclubs.com/TitansCricket/viewLeague.do?league=790
576,2023 Titans Second League,https://cricclubs.com/TitansCricket/viewLeague.do?league=576
18,Titans Second League,https://cricclubs.com/TitansCricket/viewLeague.do?league=18
