SNO,PLAYER,TEAM_IMG,BLANK,TEAM,MAT,INS,NO,RUNS,BALLS,AVG,SR,HS,100s,75s,50s,25s,0s,6s,4s
,PHSOB 3,,,,,,,,,,,,,,,,,,
144,Christo Weiss,SINOVILLE 3,,SINOVILLE 3,1,1,0,15,9,15.00,166.67,15,0,0,0,0,0,1,1
,SINOVILLE 3,,,,,,,,,,,,,,,,,,
145,Armin Havenga,CBCOB 3,,CBCOB 3,4,4,0,15,22,3.75,68.18,10,0,0,0,0,2,0,3
,CBCOB 3,,,,,,,,,,,,,,,,,,
146,Riccardo Oosthuizen,TUKS 5,,TUKS 5,2,2,1,15,29,15.00,51.72,13,0,0,0,0,0,1,1
,TUKS 5,,,,,,,,,,,,,,,,,,
147,Dewald Van Der Walt,HARLEQUINS 3,,HARLEQUINS 3,4,4,0,15,61,3.75,24.59,14,0,0,0,0,2,0,3
,HARLEQUINS 3,,,,,,,,,,,,,,,,,,
148,Barend Pelser,IRENE VILLAGERS 3,,IRENE VILLAGERS 3,4,1,0,14,14,14.00,100.00,14,0,0,0,0,0,1,1
,IRENE VILLAGERS 3,,,,,,,,,,,,,,,,,,
149,Matthew Thurbon,IRENE VILLAGERS 4,,IRENE VILLAGERS 4,4,3,0,14,15,4.67,93.33,10,0,0,0,0,1,0,3
,IRENE VILLAGERS 4,,,,,,,,,,,,,,,,,,
150,Enrico Hepburn,SINOVILLE 3,,SINOVILLE 3,2,2,0,14,16,7.00,87.50,14,0,0,0,0,1,0,3
,SINOVILLE 3,,,,,,,,,,,,,,,,,,
151,Barend Pelser,IRENE VILLAGERS 4,,IRENE VILLAGERS 4,1,1,1,14,28,--,50.00,14,0,0,0,0,0,0,1
,IRENE VILLAGERS 4,,,,,,,,,,,,,,,,,,
152,Rohann Rossouw,IRENE VILLAGERS 4,,IRENE VILLAGERS 4,1,1,0,13,17,13.00,76.47,13,0,0,0,0,0,1,0
,IRENE VILLAGERS 4,,,,,,,,,,,,,,,,,,
153,Stefan Ferreira,CBCOB 3,,CBCOB 3,2,2,0,13,19,6.50,68.42,12,0,0,0,0,0,0,1
,CBCOB 3,,,,,,,,,,,,,,,,,,
154,Michael Flanagan,HARLEQUINS 3,,HARLEQUINS 3,3,2,0,13,22,6.50,59.09,7,0,0,0,0,0,0,2
,HARLEQUINS 3,,,,,,,,,,,,,,,,,,
155,Tristan Beetge,IRENE VILLAGERS 4,,IRENE VILLAGERS 4,4,3,0,13,39,4.33,33.33,8,0,0,0,0,1,0,1
,IRENE VILLAGERS 4,,,,,,,,,,,,,,,,,,
156,Julian Ato,SINOVILLE 3,,SINOVILLE 3,1,1,0,12,16,12.00,75.00,12,0,0,0,0,0,0,3
,SINOVILLE 3,,,,,,,,,,,,,,,,,,
157,Stefan Strydom,IRENE VILLAGERS 3,,IRENE VILLAGERS 3,1,1,0,12,25,12.00,48.00,12,0,0,0,0,0,0,1
,IRENE VILLAGERS 3,,,,,,,,,,,,,,,,,,
158,Neil Jansen,IRENE VILLAGERS 3,,IRENE VILLAGERS 3,2,1,1,11,5,--,220.00,11,0,0,0,0,0,1,1
,IRENE VILLAGERS 3,,,,,,,,,,,,,,,,,,
159,Hyman Cbc,CBCOB 3,,CBCOB 3,1,1,1,11,16,--,68.75,11,0,0,0,0,0,0,0
,CBCOB 3,,,,,,,,,,,,,,,,,,
160,Juan Van den berg,SINOVILLE 3,,SINOVILLE 3,1,1,0,11,17,11.00,64.71,11,0,0,0,0,0,0,1
,SINOVILLE 3,,,,,,,,,,,,,,,,,,
161,Werner Cbc,CBCOB 3,,CBCOB 3,1,1,0,11,17,11.00,64.71,11,0,0,0,0,0,0,0
,CBCOB 3,,,,,,,,,,,,,,,,,,
162,Andre Kruyshaar,SINOVILLE 3,,SINOVILLE 3,2,2,0,11,21,5.50,52.38,9,0,0,0,0,0,0,1
,SINOVILLE 3,,,,,,,,,,,,,,,,,,
163,Jaco de Vos,TUKS 5,,TUKS 5,2,2,0,11,27,5.50,40.74,6,0,0,0,0,0,0,2
,TUKS 5,,,,,,,,,,,,,,,,,,
164,Andre Van wyk,TUKS 5,,TUKS 5,8,6,2,11,33,2.75,33.33,4,0,0,0,0,0,0,1
,TUKS 5,,,,,,,,,,,,,,,,,,
165,Devin Almeida,TUT 3,,TUT 3,2,2,0,11,34,5.50,32.35,10,0,0,0,0,0,0,1
,TUT 3,,,,,,,,,,,,,,,,,,
166,Reghardt Jordaan,CBCOB 3,,CBCOB 3,1,1,0,10,7,10.00,142.86,10,0,0,0,0,0,1,1
,CBCOB 3,,,,,,,,,,,,,,,,,,
167,David Diemont,HARLEQUINS 3,,HARLEQUINS 3,1,1,0,10,12,10.00,83.33,10,0,0,0,0,0,1,1
,HARLEQUINS 3,,,,,,,,,,,,,,,,,,
168,Franco Ferriera,PHSOB 3,,PHSOB 3,1,1,1,10,19,--,52.63,10,0,0,0,0,0,0,0
,PHSOB 3,,,,,,,,,,,,,,,,,,
169,Kholisile Khuzwayo,HARLEQUINS 3,,HARLEQUINS 3,5,4,2,10,33,5.00,30.30,3,0,0,0,0,0,0,0
,HARLEQUINS 3,,,,,,,,,,,,,,,,,,
170,Carvel Pillay,TUKS 5,,TUKS 5,2,2,0,10,33,5.00,30.30,8,0,0,0,0,0,0,1
,TUKS 5,,,,,,,,,,,,,,,,,,
171,Keegan Pickard,CBCOB 3,,CBCOB 3,1,1,1,10,34,--,29.41,10,0,0,0,0,0,0,1
,CBCOB 3,,,,,,,,,,,,,,,,,,
172,Rickus Engelbrecht,TUKS 5,,TUKS 5,1,1,0,9,11,9.00,81.82,9,0,0,0,0,0,0,2
,TUKS 5,,,,,,,,,,,,,,,,,,
173,Puseletso Mogofe,TUKS 5,,TUKS 5,1,1,0,9,13,9.00,69.23,9,0,0,0,0,0,0,1
,TUKS 5,,,,,,,,,,,,,,,,,,
174,Devon Horn,HARLEQUINS 3,,HARLEQUINS 3,1,1,1,9,22,--,40.91,9,0,0,0,0,0,0,1
,HARLEQUINS 3,,,,,,,,,,,,,,,,,,
175,Neo Ngarize,HARLEQUINS 3,,HARLEQUINS 3,1,1,0,9,52,9.00,17.31,9,0,0,0,0,0,0,1
,HARLEQUINS 3,,,,,,,,,,,,,,,,,,
176,Ivan Snyman,HARLEQUINS 3,,HARLEQUINS 3,1,1,0,8,7,8.00,114.29,8,0,0,0,0,0,0,2
,HARLEQUINS 3,,,,,,,,,,,,,,,,,,
177,Haadi Abdul,HARLEQUINS 3,,HARLEQUINS 3,2,2,0,8,13,4.00,61.54,7,0,0,0,0,0,0,1
,HARLEQUINS 3,,,,,,,,,,,,,,,,,,
178,Jody Buys,HARLEQUINS 3,,HARLEQUINS 3,1,1,0,8,17,8.00,47.06,8,0,0,0,0,0,0,1
,HARLEQUINS 3,,,,,,,,,,,,,,,,,,
179,Ian Dorfling,SINOVILLE 3,,SINOVILLE 3,3,3,1,8,26,4.00,30.77,6,0,0,0,0,0,0,1
,SINOVILLE 3,,,,,,,,,,,,,,,,,,
180,Heinz Hellmann,PHSOB 3,,PHSOB 3,1,1,1,7,14,--,50.00,7,0,0,0,0,0,0,1
,PHSOB 3,,,,,,,,,,,,,,,,,,
181,Christoper Bouwer,PHSOB 3,,PHSOB 3,4,2,0,7,14,3.50,50.00,4,0,0,0,0,0,0,1
,PHSOB 3,,,,,,,,,,,,,,,,,,
182,Braam Sinoville,SINOVILLE 3,,SINOVILLE 3,1,1,0,7,21,7.00,33.33,7,0,0,0,0,0,0,0
,SINOVILLE 3,,,,,,,,,,,,,,,,,,
183,Eben Botha,TUKS 5,,TUKS 5,1,1,0,7,28,7.00,25.00,7,0,0,0,0,0,0,1
,TUKS 5,,,,,,,,,,,,,,,,,,
184,Nico Minnaar,TUT 3,,TUT 3,1,1,0,6,5,6.00,120.00,6,0,0,0,0,0,0,1
,TUT 3,,,,,,,,,,,,,,,,,,
185,Matthew Field,CBCOB 3,,CBCOB 3,1,1,0,6,7,6.00,85.71,6,0,0,0,0,0,1,0
,CBCOB 3,,,,,,,,,,,,,,,,,,
186,Devon Horn,IRENE VILLAGERS 3,,IRENE VILLAGERS 3,2,2,0,6,9,3.00,66.67,6,0,0,0,0,1,0,1
,IRENE VILLAGERS 3,,,,,,,,,,,,,,,,,,
187,Ruben Erasmus,SINOVILLE 3,,SINOVILLE 3,1,1,0,6,10,6.00,60.00,6,0,0,0,0,0,0,1
,SINOVILLE 3,,,,,,,,,,,,,,,,,,
188,Calvin Govender,HARLEQUINS 3,,HARLEQUINS 3,2,2,0,6,12,3.00,50.00,6,0,0,0,0,1,0,1
,HARLEQUINS 3,,,,,,,,,,,,,,,,,,
189,Josua Marx,IRENE VILLAGERS 3,,IRENE VILLAGERS 3,2,1,0,6,24,6.00,25.00,6,0,0,0,0,0,0,0
,IRENE VILLAGERS 3,,,,,,,,,,,,,,,,,,
190,Dewald Basson,TUT 3,,TUT 3,8,3,2,6,26,6.00,23.08,4,0,0,0,0,0,0,0
,TUT 3,,,,,,,,,,,,,,,,,,
191,Daylan Scheepers,TUT 3,,TUT 3,1,1,1,5,2,--,250.00,5,0,0,0,0,0,0,1
,TUT 3,,,,,,,,,,,,,,,,,,
192,Senekal Cbc,CBCOB 3,,CBCOB 3,2,2,0,5,6,2.50,83.33,3,0,0,0,0,0,0,0
,CBCOB 3,,,,,,,,,,,,,,,,,,
193,Antonie Minnaar,SINOVILLE 3,,SINOVILLE 3,1,1,1,5,7,--,71.43,5,0,0,0,0,0,0,0
,SINOVILLE 3,,,,,,,,,,,,,,,,,,
194,Henry Knell,HARLEQUINS 3,,HARLEQUINS 3,1,1,0,5,9,5.00,55.56,5,0,0,0,0,0,0,0
,HARLEQUINS 3,,,,,,,,,,,,,,,,,,
195,James van der Merwe,SINOVILLE 3,,SINOVILLE 3,1,1,0,5,15,5.00,33.33,5,0,0,0,0,0,0,0
,SINOVILLE 3,,,,,,,,,,,,,,,,,,
196,Dillon Kotze,CBCOB 3,,CBCOB 3,2,1,0,5,16,5.00,31.25,5,0,0,0,0,0,0,0
,CBCOB 3,,,,,,,,,,,,,,,,,,
197,Derick Pienaar,CBCOB 3,,CBCOB 3,1,1,0,5,16,5.00,31.25,5,0,0,0,0,0,0,1
,CBCOB 3,,,,,,,,,,,,,,,,,,
198,Rigardt Saaiman,CBCOB 3,,CBCOB 3,2,1,0,5,19,5.00,26.32,5,0,0,0,0,0,0,0
,CBCOB 3,,,,,,,,,,,,,,,,,,
199,Coert du Plessis,PHSOB 3,,PHSOB 3,2,1,0,5,30,5.00,16.67,5,0,0,0,0,0,0,0
,PHSOB 3,,,,,,,,,,,,,,,,,,
200,Nathan Stryfom,HARLEQUINS 3,,HARLEQUINS 3,1,1,0,4,3,4.00,133.33,4,0,0,0,0,0,0,1
,HARLEQUINS 3,,,,,,,,,,,,,,,,,,
201,Kai Trumplemann,CBCOB 3,,CBCOB 3,1,1,0,4,4,4.00,100.00,4,0,0,0,0,0,0,1
,CBCOB 3,,,,,,,,,,,,,,,,,,
202,Dante Meyer,HARLEQUINS 3,,HARLEQUINS 3,1,1,0,4,5,4.00,80.00,4,0,0,0,0,0,0,1
,HARLEQUINS 3,,,,,,,,,,,,,,,,,,
203,Altys Cbc,CBCOB 3,,CBCOB 3,1,1,0,4,6,4.00,66.67,4,0,0,0,0,0,0,0
,CBCOB 3,,,,,,,,,,,,,,,,,,
204,Jock de Jager,TUKS 5,,TUKS 5,1,1,1,4,7,--,57.14,4,0,0,0,0,0,0,1
,TUKS 5,,,,,,,,,,,,,,,,,,
205,Pj Richter,SINOVILLE 3,,SINOVILLE 3,2,2,0,4,11,2.00,36.36,4,0,0,0,0,1,0,1
,SINOVILLE 3,,,,,,,,,,,,,,,,,,
206,Zandré Nel,SINOVILLE 3,,SINOVILLE 3,1,1,0,4,12,4.00,33.33,4,0,0,0,0,0,0,0
,SINOVILLE 3,,,,,,,,,,,,,,,,,,
207,Neil Jansen,IRENE VILLAGERS 3,,IRENE VILLAGERS 3,2,1,0,4,14,4.00,28.57,4,0,0,0,0,0,0,0
,IRENE VILLAGERS 3,,,,,,,,,,,,,,,,,,
208,Ivan Bekker,CBCOB 3,,CBCOB 3,1,1,0,4,16,4.00,25.00,4,0,0,0,0,0,0,1
,CBCOB 3,,,,,,,,,,,,,,,,,,
209,Peet Snyman,HARLEQUINS 3,,HARLEQUINS 3,2,2,0,4,19,2.00,21.05,4,0,0,0,0,1,0,1
,HARLEQUINS 3,,,,,,,,,,,,,,,,,,
210,Wian Van Der Merwe,HARLEQUINS 3,,HARLEQUINS 3,1,1,0,4,19,4.00,21.05,4,0,0,0,0,0,0,0
,HARLEQUINS 3,,,,,,,,,,,,,,,,,,
211,JD van Wyk,SINOVILLE 3,,SINOVILLE 3,1,1,0,3,4,3.00,75.00,3,0,0,0,0,0,0,0
,SINOVILLE 3,,,,,,,,,,,,,,,,,,
212,Richard Bean,CBCOB 3,,CBCOB 3,1,1,0,3,4,3.00,75.00,3,0,0,0,0,0,0,0
,CBCOB 3,,,,,,,,,,,,,,,,,,
213,Gunter Geyer,IRENE VILLAGERS 3,,IRENE VILLAGERS 3,1,1,0,3,5,3.00,60.00,3,0,0,0,0,0,0,0
,IRENE VILLAGERS 3,,,,,,,,,,,,,,,,,,
214,Jordan Cbc,CBCOB 3,,CBCOB 3,1,1,1,3,5,--,60.00,3,0,0,0,0,0,0,0
,CBCOB 3,,,,,,,,,,,,,,,,,,
215,Johann Hattingh,IRENE VILLAGERS 4,,IRENE VILLAGERS 4,1,1,0,3,10,3.00,30.00,3,0,0,0,0,0,0,0
,IRENE VILLAGERS 4,,,,,,,,,,,,,,,,,,
216,Benjamin Coertze,SINOVILLE 3,,SINOVILLE 3,1,1,0,3,11,3.00,27.27,3,0,0,0,0,0,0,0
,SINOVILLE 3,,,,,,,,,,,,,,,,,,
217,Mike Brink,PHSOB 3,,PHSOB 3,1,1,1,3,14,--,21.43,3,0,0,0,0,0,0,0
,PHSOB 3,,,,,,,,,,,,,,,,,,
218,Rian Klopper,IRENE VILLAGERS 4,,IRENE VILLAGERS 4,2,2,1,3,16,3.00,18.75,2,0,0,0,0,0,0,0
,IRENE VILLAGERS 4,,,,,,,,,,,,,,,,,,
219,Mj Maree,TUKS 5,,TUKS 5,1,1,0,3,16,3.00,18.75,3,0,0,0,0,0,0,0
,TUKS 5,,,,,,,,,,,,,,,,,,
220,Rohan Van Der Walt,CBCOB 3,,CBCOB 3,4,3,2,3,22,3.00,13.64,2,0,0,0,0,1,0,0
,CBCOB 3,,,,,,,,,,,,,,,,,,
221,Xavier Dido,IRENE VILLAGERS 4,,IRENE VILLAGERS 4,2,2,2,2,2,--,100.00,2,0,0,0,0,0,0,0
,IRENE VILLAGERS 4,,,,,,,,,,,,,,,,,,
222,Mika Human,SINOVILLE 3,,SINOVILLE 3,1,1,0,2,2,2.00,100.00,2,0,0,0,0,0,0,0
,SINOVILLE 3,,,,,,,,,,,,,,,,,,
223,Mike Cbc,CBCOB 3,,CBCOB 3,1,1,0,2,4,2.00,50.00,2,0,0,0,0,0,0,0
,CBCOB 3,,,,,,,,,,,,,,,,,,
224,Stefan Van Jaarsveld,HARLEQUINS 3,,HARLEQUINS 3,1,1,1,2,5,--,40.00,2,0,0,0,0,0,0,0
,HARLEQUINS 3,,,,,,,,,,,,,,,,,,
225,Jacques Van Rooyen,IRENE VILLAGERS 4,,IRENE VILLAGERS 4,2,1,0,2,6,2.00,33.33,2,0,0,0,0,0,0,0
,IRENE VILLAGERS 4,,,,,,,,,,,,,,,,,,
226,Austin Prins,IRENE VILLAGERS 4,,IRENE VILLAGERS 4,1,1,0,2,6,2.00,33.33,2,0,0,0,0,0,0,0
,IRENE VILLAGERS 4,,,,,,,,,,,,,,,,,,
227,Juan Human,HARLEQUINS 3,,HARLEQUINS 3,1,1,0,2,8,2.00,25.00,2,0,0,0,0,0,0,0
,HARLEQUINS 3,,,,,,,,,,,,,,,,,,
228,Ryan Blyth,TUKS 5,,TUKS 5,1,1,1,2,9,--,22.22,2,0,0,0,0,0,0,0
,TUKS 5,,,,,,,,,,,,,,,,,,
229,Liam Klackers,HARLEQUINS 3,,HARLEQUINS 3,4,3,1,2,16,1.00,12.50,2,0,0,0,0,1,0,0
,HARLEQUINS 3,,,,,,,,,,,,,,,,,,
230,Juan Venter,SINOVILLE 3,,SINOVILLE 3,1,1,1,1,1,--,100.00,1,0,0,0,0,0,0,0
,SINOVILLE 3,,,,,,,,,,,,,,,,,,
231,JD Buys,HARLEQUINS 3,,HARLEQUINS 3,1,1,0,1,2,1.00,50.00,1,0,0,0,0,0,0,0
,HARLEQUINS 3,,,,,,,,,,,,,,,,,,
232,Simeon Jena,HARLEQUINS 3,,HARLEQUINS 3,1,1,1,1,2,--,50.00,1,0,0,0,0,0,0,0
,HARLEQUINS 3,,,,,,,,,,,,,,,,,,
233,Ulrich Louw,SINOVILLE 3,,SINOVILLE 3,1,1,0,1,2,1.00,50.00,1,0,0,0,0,0,0,0
,SINOVILLE 3,,,,,,,,,,,,,,,,,,
234,Mulalo Mavhalane,IRENE VILLAGERS 4,,IRENE VILLAGERS 4,3,1,1,1,2,--,50.00,1,0,0,0,0,0,0,0
,IRENE VILLAGERS 4,,,,,,,,,,,,,,,,,,
235,Henco Erasmus,HARLEQUINS 3,,HARLEQUINS 3,1,1,0,1,2,1.00,50.00,1,0,0,0,0,0,0,0
,HARLEQUINS 3,,,,,,,,,,,,,,,,,,
236,Juandre Schoultz,SINOVILLE 3,,SINOVILLE 3,1,1,0,1,3,1.00,33.33,1,0,0,0,0,0,0,0
,SINOVILLE 3,,,,,,,,,,,,,,,,,,
237,Arno La Cock,TUKS 5,,TUKS 5,2,2,2,1,3,--,33.33,1,0,0,0,0,0,0,0
,TUKS 5,,,,,,,,,,,,,,,,,,
238,Andre Schoombee,SINOVILLE 3,,SINOVILLE 3,1,1,0,1,4,1.00,25.00,1,0,0,0,0,0,0,0
,SINOVILLE 3,,,,,,,,,,,,,,,,,,
239,Ian Diemont,HARLEQUINS 3,,HARLEQUINS 3,1,1,0,1,4,1.00,25.00,1,0,0,0,0,0,0,0
,HARLEQUINS 3,,,,,,,,,,,,,,,,,,
240,Alexander Koekemoer,SINOVILLE 3,,SINOVILLE 3,1,1,1,1,5,--,20.00,1,0,0,0,0,0,0,0
,SINOVILLE 3,,,,,,,,,,,,,,,,,,
241,Fritz De Villiers,HARLEQUINS 3,,HARLEQUINS 3,2,1,0,1,5,1.00,20.00,1,0,0,0,0,0,0,0
,HARLEQUINS 3,,,,,,,,,,,,,,,,,,
242,Franco Vd Mescht,CBCOB 3,,CBCOB 3,1,1,0,1,6,1.00,16.67,1,0,0,0,0,0,0,0
,CBCOB 3,,,,,,,,,,,,,,,,,,
243,Matt Thurbon,IRENE VILLAGERS 3,,IRENE VILLAGERS 3,1,1,0,1,7,1.00,14.29,1,0,0,0,0,0,0,0
,IRENE VILLAGERS 3,,,,,,,,,,,,,,,,,,
244,Tiaan Lotter,SINOVILLE 3,,SINOVILLE 3,1,1,0,1,10,1.00,10.00,1,0,0,0,0,0,0,0
,SINOVILLE 3,,,,,,,,,,,,,,,,,,
245,Hendré van Niekerk,IRENE VILLAGERS 3,,IRENE VILLAGERS 3,1,1,0,1,11,1.00,9.09,1,0,0,0,0,0,0,0
,IRENE VILLAGERS 3,,,,,,,,,,,,,,,,,,
246,Brent Ogle,HARLEQUINS 3,,HARLEQUINS 3,1,1,0,1,12,1.00,8.33,1,0,0,0,0,0,0,0
,HARLEQUINS 3,,,,,,,,,,,,,,,,,,
247,Nico Kruger,TUKS 5,,TUKS 5,2,0,0,0,0,--,0.00,0,0,0,0,0,0,0,0
,TUKS 5,,,,,,,,,,,,,,,,,,
248,Gerrie Viljoen,IRENE VILLAGERS 3,,IRENE VILLAGERS 3,1,0,0,0,0,--,0.00,0,0,0,0,0,0,0,0
,IRENE VILLAGERS 3,,,,,,,,,,,,,,,,,,
249,MJ Kruger,TUKS 5,,TUKS 5,1,0,0,0,0,--,0.00,0,0,0,0,0,0,0,0
,TUKS 5,,,,,,,,,,,,,,,,,,
250,Justin Reynolds,IRENE VILLAGERS 3,,IRENE VILLAGERS 3,1,0,0,0,0,--,0.00,0,0,0,0,0,0,0,0
,IRENE VILLAGERS 3,,,,,,,,,,,,,,,,,,
251,Albert Myburgh,IRENE VILLAGERS 3,,IRENE VILLAGERS 3,1,0,0,0,0,--,0.00,0,0,0,0,0,0,0,0
,IRENE VILLAGERS 3,,,,,,,,,,,,,,,,,,
252,Wendell Plaatjies,CBCOB 3,,CBCOB 3,1,0,0,0,0,--,0.00,0,0,0,0,0,0,0,0
,CBCOB 3,,,,,,,,,,,,,,,,,,
253,Cj Jordaan,IRENE VILLAGERS 3,,IRENE VILLAGERS 3,1,0,0,0,0,--,0.00,0,0,0,0,0,0,0,0
,IRENE VILLAGERS 3,,,,,,,,,,,,,,,,,,
254,Shaanthe Thumbiran,IRENE VILLAGERS 4,,IRENE VILLAGERS 4,1,0,0,0,0,--,0.00,0,0,0,0,0,0,0,0
,IRENE VILLAGERS 4,,,,,,,,,,,,,,,,,,
255,Brian Chataika,PHSOB 3,,PHSOB 3,1,0,0,0,0,--,0.00,0,0,0,0,0,0,0,0
,PHSOB 3,,,,,,,,,,,,,,,,,,
256,Joshua Hall,IRENE VILLAGERS 3,,IRENE VILLAGERS 3,1,0,0,0,0,--,0.00,0,0,0,0,0,0,0,0
,IRENE VILLAGERS 3,,,,,,,,,,,,,,,,,,
257,Pierre Coetzer,IRENE VILLAGERS 3,,IRENE VILLAGERS 3,1,0,0,0,0,--,0.00,0,0,0,0,0,0,0,0
,IRENE VILLAGERS 3,,,,,,,,,,,,,,,,,,
258,Eugene Botha,IRENE VILLAGERS 3,,IRENE VILLAGERS 3,1,0,0,0,0,--,0.00,0,0,0,0,0,0,0,0
,IRENE VILLAGERS 3,,,,,,,,,,,,,,,,,,
259,Rykers Voges,CBCOB 3,,CBCOB 3,2,0,0,0,0,--,0.00,0,0,0,0,0,0,0,0
,CBCOB 3,,,,,,,,,,,,,,,,,,
260,Keegan Skinner,CBCOB 3,,CBCOB 3,1,0,0,0,0,--,0.00,0,0,0,0,0,0,0,0
,CBCOB 3,,,,,,,,,,,,,,,,,,
261,Alex Brown,CBCOB 3,,CBCOB 3,1,0,0,0,0,--,0.00,0,0,0,0,0,0,0,0
,CBCOB 3,,,,,,,,,,,,,,,,,,
262,Philip Orffer,CBCOB 3,,CBCOB 3,1,0,0,0,0,--,0.00,0,0,0,0,0,0,0,0
,CBCOB 3,,,,,,,,,,,,,,,,,,
263,Dean Van Bassen,CBCOB 3,,CBCOB 3,1,0,0,0,0,--,0.00,0,0,0,0,0,0,0,0
,CBCOB 3,,,,,,,,,,,,,,,,,,
264,Wilhelm Best,PHSOB 3,,PHSOB 3,2,0,0,0,0,--,0.00,0,0,0,0,0,0,0,0
,PHSOB 3,,,,,,,,,,,,,,,,,,
265,Louan Nel,CBCOB 3,,CBCOB 3,1,0,0,0,0,--,0.00,0,0,0,0,0,0,0,0
,CBCOB 3,,,,,,,,,,,,,,,,,,
266,Jeandre Pfister,CBCOB 3,,CBCOB 3,1,0,0,0,0,--,0.00,0,0,0,0,0,0,0,0
,CBCOB 3,,,,,,,,,,,,,,,,,,
267,Jp De Viliers,CBCOB 3,,CBCOB 3,1,0,0,0,0,--,0.00,0,0,0,0,0,0,0,0
,CBCOB 3,,,,,,,,,,,,,,,,,,
268,Cieran Roundtree,IRENE VILLAGERS 3,,IRENE VILLAGERS 3,1,0,0,0,0,--,0.00,0,0,0,0,0,0,0,0
,IRENE VILLAGERS 3,,,,,,,,,,,,,,,,,,
269,Barend Pelser,IRENE VILLAGERS 3,,IRENE VILLAGERS 3,1,0,0,0,0,--,0.00,0,0,0,0,0,0,0,0
,IRENE VILLAGERS 3,,,,,,,,,,,,,,,,,,
270,Devon Horn,IRENE VILLAGERS 4,,IRENE VILLAGERS 4,1,0,0,0,0,--,0.00,0,0,0,0,0,0,0,0
,IRENE VILLAGERS 4,,,,,,,,,,,,,,,,,,
271,Robert Vermeulen,IRENE VILLAGERS 4,,IRENE VILLAGERS 4,1,0,0,0,0,--,0.00,0,0,0,0,0,0,0,0
,IRENE VILLAGERS 4,,,,,,,,,,,,,,,,,,
272,Jean Steyn,TUT 3,,TUT 3,2,0,0,0,0,--,0.00,0,0,0,0,0,0,0,0
,TUT 3,,,,,,,,,,,,,,,,,,
273,Eugene Pelzer,IRENE VILLAGERS 3,,IRENE VILLAGERS 3,1,0,0,0,0,--,0.00,0,0,0,0,0,0,0,0
,IRENE VILLAGERS 3,,,,,,,,,,,,,,,,,,
274,Gerhard Bezuidenhout,PHSOB 3,,PHSOB 3,1,0,0,0,0,--,0.00,0,0,0,0,0,0,0,0
,PHSOB 3,,,,,,,,,,,,,,,,,,
275,Nikheel Singh,IRENE VILLAGERS 4,,IRENE VILLAGERS 4,1,0,0,0,0,--,0.00,0,0,0,0,0,0,0,0
,IRENE VILLAGERS 4,,,,,,,,,,,,,,,,,,
276,Cj Jordaan,IRENE VILLAGERS 4,,IRENE VILLAGERS 4,1,0,0,0,0,--,0.00,0,0,0,0,0,0,0,0
,IRENE VILLAGERS 4,,,,,,,,,,,,,,,,,,
277,Elijah De Lucchi,IRENE VILLAGERS 4,,IRENE VILLAGERS 4,1,0,0,0,0,--,0.00,0,0,0,0,0,0,0,0
,IRENE VILLAGERS 4,,,,,,,,,,,,,,,,,,
278,Brian Panashe,PHSOB 3,,PHSOB 3,1,0,0,0,0,--,0.00,0,0,0,0,0,0,0,0
,PHSOB 3,,,,,,,,,,,,,,,,,,
279,Lee Bukes,SINOVILLE 3,,SINOVILLE 3,1,0,0,0,0,--,0.00,0,0,0,0,0,0,0,0
,SINOVILLE 3,,,,,,,,,,,,,,,,,,
280,Jean Cbc,CBCOB 3,,CBCOB 3,1,0,0,0,0,--,0.00,0,0,0,0,0,0,0,0
,CBCOB 3,,,,,,,,,,,,,,,,,,
281,Duanne Cbc,CBCOB 3,,CBCOB 3,1,0,0,0,0,--,0.00,0,0,0,0,0,0,0,0
,CBCOB 3,,,,,,,,,,,,,,,,,,
282,Altus Cbc,CBCOB 3,,CBCOB 3,1,0,0,0,0,--,0.00,0,0,0,0,0,0,0,0
,CBCOB 3,,,,,,,,,,,,,,,,,,
283,Danru Cbc,CBCOB 3,,CBCOB 3,1,0,0,0,0,--,0.00,0,0,0,0,0,0,0,0
,CBCOB 3,,,,,,,,,,,,,,,,,,
284,Aj Annandale,IRENE VILLAGERS 4,,IRENE VILLAGERS 4,1,0,0,0,0,--,0.00,0,0,0,0,0,0,0,0
,IRENE VILLAGERS 4,,,,,,,,,,,,,,,,,,
285,Connor Walker,PHSOB 3,,PHSOB 3,1,0,0,0,0,--,0.00,0,0,0,0,0,0,0,0
,PHSOB 3,,,,,,,,,,,,,,,,,,
286,RUAN PIETERS,SINOVILLE 3,,SINOVILLE 3,2,1,0,0,1,0.00,0.00,0,0,0,0,0,1,0,0
,SINOVILLE 3,,,,,,,,,,,,,,,,,,
287,Regan Pruss,PHSOB 3,,PHSOB 3,3,1,0,0,1,0.00,0.00,0,0,0,0,0,1,0,0
,PHSOB 3,,,,,,,,,,,,,,,,,,
288,Calyle Stolze,HARLEQUINS 3,,HARLEQUINS 3,1,1,0,0,1,0.00,0.00,0,0,0,0,0,1,0,0
,HARLEQUINS 3,,,,,,,,,,,,,,,,,,
289,Kholi Willows,HARLEQUINS 3,,HARLEQUINS 3,2,1,0,0,1,0.00,0.00,0,0,0,0,0,1,0,0
,HARLEQUINS 3,,,,,,,,,,,,,,,,,,
290,Aamir Samaai,HARLEQUINS 3,,HARLEQUINS 3,1,1,0,0,1,0.00,0.00,0,0,0,0,0,1,0,0
