SNO,LEAGUE_ID,CLUB_ID,MATCH_TYPE,DATE,TEAM_ONE,TEAM_ONE_URL,TEAM_ONE_ID,TEAM_ONE_CLUB_ID,TEAM_TWO,TEAM_TWO_URL,TEAM_TWO_ID,TEAM_TWO_CLUB_ID,RESULT,SCORES_SUMMARY_RAW,SCORECARD_URL,POINTS,SCORE_SUMMARY_TEAM_1,SCORE_SUMMARY_TEAM_1_SCORE,SCORE_SUMMARY_TEAM_2,SCORE_SUMMARY_TEAM_2_SCORE,League Name
80,18,32995,League,03/11/2023,TUKS 6,https://cricclubs.com/TitansCricket/viewTeam.do?teamId=1861&clubId=32995,1861,32995,REFILWE 1,https://cricclubs.com/TitansCricket/viewTeam.do?teamId=1192&clubId=32995,1192,32995,Forfeited. Winner: TUKS 6,TUKS 6: 0/0(0.0),https://cricclubs.com/TitansCricket/viewScorecard.do?matchId=2133&clubId=32995,0,TUKS 6,0/0(0.0),,,Titans Second League
79,18,32995,League,03/11/2023,TUT 3,https://cricclubs.com/TitansCricket/viewTeam.do?teamId=1197&clubId=32995,1197,32995,SINOVILLE 4,https://cricclubs.com/TitansCricket/viewTeam.do?teamId=1200&clubId=32995,1200,32995,SINOVILLE 4 won by 9 Wickets,TUT 3: 105/8(20.0) SINOVILLE 4: 106/1(13.1),https://cricclubs.com/TitansCricket/viewScorecard.do?matchId=2104&clubId=32995,4,TUT 3,105/8(20.0),SINOVILLE 4,106/1(13.1),Titans Second League
78,18,32995,League,03/11/2023,IRENE VILLAGERS 3,https://cricclubs.com/TitansCricket/viewTeam.do?teamId=1195&clubId=32995,1195,32995,PHSOB 3,https://cricclubs.com/TitansCricket/viewTeam.do?teamId=1193&clubId=32995,1193,32995,PHSOB 3 won by 5 Wickets,IRENE VILLAGERS 3: 98/4(20.0) PHSOB 3: 101/5(19.0),https://cricclubs.com/TitansCricket/viewScorecard.do?matchId=2101&clubId=32995,4,IRENE VILLAGERS 3,98/4(20.0),PHSOB 3,101/5(19.0),Titans Second League
77,18,32995,League,03/11/2023,TUKS 5,https://cricclubs.com/TitansCricket/viewTeam.do?teamId=1860&clubId=32995,1860,32995,CBCOB 3,https://cricclubs.com/TitansCricket/viewTeam.do?teamId=1196&clubId=32995,1196,32995,CBCOB 3 won by 9 Wickets,TUKS 5: 120/8(20.0) CBCOB 3: 121/1(13.2),https://cricclubs.com/TitansCricket/viewScorecard.do?matchId=2099&clubId=32995,4,TUKS 5,120/8(20.0),CBCOB 3,121/1(13.2),Titans Second League
76,18,32995,League,03/11/2023,POLICE 3,https://cricclubs.com/TitansCricket/viewTeam.do?teamId=1201&clubId=32995,1201,32995,SINOVILLE 3,https://cricclubs.com/TitansCricket/viewTeam.do?teamId=1194&clubId=32995,1194,32995,Forfeited. Winner: SINOVILLE 3,POLICE 3: 0/0(0.0),https://cricclubs.com/TitansCricket/viewScorecard.do?matchId=2077&clubId=32995,4,POLICE 3,0/0(0.0),,,Titans Second League
75,18,32995,League,03/05/2023,PHSOB 3,https://cricclubs.com/TitansCricket/viewTeam.do?teamId=1193&clubId=32995,1193,32995,SINOVILLE 3,https://cricclubs.com/TitansCricket/viewTeam.do?teamId=1194&clubId=32995,1194,32995,PHSOB 3 won by 11 Runs,PHSOB 3: 135/6(20.0) SINOVILLE 3: 124/8(20.0),https://cricclubs.com/TitansCricket/viewScorecard.do?matchId=2009&clubId=32995,0,PHSOB 3,135/6(20.0),SINOVILLE 3,124/8(20.0),Titans Second League
74,18,32995,League,03/04/2023,REFILWE 1,https://cricclubs.com/TitansCricket/viewTeam.do?teamId=1192&clubId=32995,1192,32995,POLICE 3,https://cricclubs.com/TitansCricket/viewTeam.do?teamId=1201&clubId=32995,1201,32995,Abandoned.,REFILWE 1: 0/0(0.0),https://cricclubs.com/TitansCricket/viewScorecard.do?matchId=2365&clubId=32995,0,REFILWE 1,0/0(0.0),,,Titans Second League
73,18,32995,League,03/04/2023,TUKS 6,https://cricclubs.com/TitansCricket/viewTeam.do?teamId=1861&clubId=32995,1861,32995,TUT 3,https://cricclubs.com/TitansCricket/viewTeam.do?teamId=1197&clubId=32995,1197,32995,TUT 3 won by 8 Wickets,TUKS 6: 88/10(18.3) TUT 3: 89/2(16.0),https://cricclubs.com/TitansCricket/viewScorecard.do?matchId=2028&clubId=32995,4,TUKS 6,88/10(18.3),TUT 3,89/2(16.0),Titans Second League
72,18,32995,League,03/04/2023,IRENE VILLAGERS 3,https://cricclubs.com/TitansCricket/viewTeam.do?teamId=1195&clubId=32995,1195,32995,CBCOB 3,https://cricclubs.com/TitansCricket/viewTeam.do?teamId=1196&clubId=32995,1196,32995,CBCOB 3 won by 9 Wickets,IRENE VILLAGERS 3: 107/5(20.0) CBCOB 3: 109/1(16.4),https://cricclubs.com/TitansCricket/viewScorecard.do?matchId=1998&clubId=32995,4,IRENE VILLAGERS 3,107/5(20.0),CBCOB 3,109/1(16.4),Titans Second League
71,18,32995,League,03/04/2023,TUKS 5,https://cricclubs.com/TitansCricket/viewTeam.do?teamId=1860&clubId=32995,1860,32995,SINOVILLE 4,https://cricclubs.com/TitansCricket/viewTeam.do?teamId=1200&clubId=32995,1200,32995,TUKS 5 won by 53 Runs,TUKS 5: 178/5(20.1) SINOVILLE 4: 125/4(20.0),https://cricclubs.com/TitansCricket/viewScorecard.do?matchId=1986&clubId=32995,0,TUKS 5,178/5(20.1),SINOVILLE 4,125/4(20.0),Titans Second League
70,18,32995,League,02/25/2023,SINOVILLE 3,https://cricclubs.com/TitansCricket/viewTeam.do?teamId=1194&clubId=32995,1194,32995,IRENE VILLAGERS 3,https://cricclubs.com/TitansCricket/viewTeam.do?teamId=1195&clubId=32995,1195,32995,Abandoned.,SINOVILLE 3: 0/0(0.0),https://cricclubs.com/TitansCricket/viewScorecard.do?matchId=2366&clubId=32995,0,SINOVILLE 3,0/0(0.0),,,Titans Second League
69,18,32995,League,02/25/2023,TUKS 5,https://cricclubs.com/TitansCricket/viewTeam.do?teamId=1860&clubId=32995,1860,32995,TUKS 6,https://cricclubs.com/TitansCricket/viewTeam.do?teamId=1861&clubId=32995,1861,32995,TUKS 6 won by 4 Wickets,TUKS 5: 175/5(20.0) TUKS 6: 177/6(19.5),https://cricclubs.com/TitansCricket/viewScorecard.do?matchId=1914&clubId=32995,4,TUKS 5,175/5(20.0),TUKS 6,177/6(19.5),Titans Second League
68,18,32995,League,02/25/2023,SINOVILLE 4,https://cricclubs.com/TitansCricket/viewTeam.do?teamId=1200&clubId=32995,1200,32995,CBCOB 3,https://cricclubs.com/TitansCricket/viewTeam.do?teamId=1196&clubId=32995,1196,32995,CBCOB 3 won by 9 Wickets,SINOVILLE 4: 124/8(20.0) CBCOB 3: 125/1(12.2),https://cricclubs.com/TitansCricket/viewScorecard.do?matchId=1910&clubId=32995,4,SINOVILLE 4,124/8(20.0),CBCOB 3,125/1(12.2),Titans Second League
67,18,32995,League,02/25/2023,TUT 3,https://cricclubs.com/TitansCricket/viewTeam.do?teamId=1197&clubId=32995,1197,32995,POLICE 3,https://cricclubs.com/TitansCricket/viewTeam.do?teamId=1201&clubId=32995,1201,32995,Forfeited. Winner: TUT 3,TUT 3: 0/0(0.0),https://cricclubs.com/TitansCricket/viewScorecard.do?matchId=1893&clubId=32995,0,TUT 3,0/0(0.0),,,Titans Second League
