SNO,LEAGUE_ID,CLUB_ID,PLAYER,PLAYER_ID,TEAM_IMG,BLANK,TEAM,TEAM_ID,MAT,BATTING_RANK,BOWLING_RANK,FIELDING_RANK,OTHER_RANK,MOM,TOTAL_RANK,League Name
32,18,32995,Hein Smit,2985797,IRENE VILLAGERS 3,,IRENE VILLAGERS 3,1195,5,66,370,0,0,0,436,Titans Second League
,18,32995,IRENE VILLAGERS 3,,,,,,,,,,,,,Titans Second League
33,18,32995,Adriaan Ferreira,2936919,PHSOB 3,,PHSOB 3,1193,5,10,400,20,0,0,430,Titans Second League
,18,32995,PHSOB 3,,,,,,,,,,,,,Titans Second League
34,18,32995,Felix le Roux,3018176,PHSOB 3,,PHSOB 3,1193,3,368,0,10,50,1,428,Titans Second League
,18,32995,PHSOB 3,,,,,,,,,,,,,Titans Second League
35,18,32995,Emil Rolfes,2936903,PHSOB 3,,PHSOB 3,1193,3,407,0,20,0,0,427,Titans Second League
,18,32995,PHSOB 3,,,,,,,,,,,,,Titans Second League
36,18,32995,Wiehan Nel,2936753,SINOVILLE 3,,SINOVILLE 3,1194,1,352,0,10,50,1,412,Titans Second League
,18,32995,SINOVILLE 3,,,,,,,,,,,,,Titans Second League
37,18,32995,Devon Almeida,3242449,CBCOB 3,,CBCOB 3,1196,3,2,370,40,0,0,412,Titans Second League
,18,32995,CBCOB 3,,,,,,,,,,,,,Titans Second League
38,18,32995,Dewald Basson,3018234,TUT 3,,TUT 3,1197,6,30,370,10,0,0,410,Titans Second League
,18,32995,TUT 3,,,,,,,,,,,,,Titans Second League
39,18,32995,Gunter Geyer,2985804,IRENE VILLAGERS 3,,IRENE VILLAGERS 3,1195,4,360,0,40,0,0,400,Titans Second League
,18,32995,IRENE VILLAGERS 3,,,,,,,,,,,,,Titans Second League
40,18,32995,Jacques Vosloo,2987525,PHSOB 3,,PHSOB 3,1193,4,399,0,0,0,0,399,Titans Second League
,18,32995,PHSOB 3,,,,,,,,,,,,,Titans Second League
41,18,32995,Victor Van Niekerk,2985801,IRENE VILLAGERS 3,,IRENE VILLAGERS 3,1195,6,-13,320,40,50,1,397,Titans Second League
,18,32995,IRENE VILLAGERS 3,,,,,,,,,,,,,Titans Second League
42,18,32995,Keaton Steenkamp,2944947,SINOVILLE 4,,SINOVILLE 4,1200,8,105,270,20,0,0,395,Titans Second League
,18,32995,SINOVILLE 4,,,,,,,,,,,,,Titans Second League
43,18,32995,Kevin Pretorius,2936906,PHSOB 3,,PHSOB 3,1193,3,386,0,0,0,0,386,Titans Second League
,18,32995,PHSOB 3,,,,,,,,,,,,,Titans Second League
44,18,32995,Martin Van Tonder,2840539,TUKS 5,,TUKS 5,1860,12,85,210,90,0,0,385,Titans Second League
,18,32995,TUKS 5,,,,,,,,,,,,,Titans Second League
45,18,32995,Riaan von Bentheim,3018175,TUKS 5,,TUKS 5,1860,7,335,0,50,0,0,385,Titans Second League
,18,32995,TUKS 5,,,,,,,,,,,,,Titans Second League
46,18,32995,Playa2 Cbc,3255331,CBCOB 3,,CBCOB 3,1196,1,249,60,20,50,1,379,Titans Second League
,18,32995,CBCOB 3,,,,,,,,,,,,,Titans Second League
47,18,32995,Want V deventer,3180548,SINOVILLE 4,,SINOVILLE 4,1200,1,325,-10,0,50,1,365,Titans Second League
,18,32995,SINOVILLE 4,,,,,,,,,,,,,Titans Second League
48,18,32995,Samashan Naidoo,2990928,TUKS 5,,TUKS 5,1860,1,29,320,10,0,0,359,Titans Second League
,18,32995,TUKS 5,,,,,,,,,,,,,Titans Second League
49,18,32995,Charl Prinsloo,3018226,TUT 3,,TUT 3,1197,5,344,0,0,0,0,344,Titans Second League
,18,32995,TUT 3,,,,,,,,,,,,,Titans Second League
50,18,32995,Tiaan Dorfling,3693408,IRENE VILLAGERS 3,,IRENE VILLAGERS 3,1195,2,322,0,0,0,0,322,Titans Second League
,18,32995,IRENE VILLAGERS 3,,,,,,,,,,,,,Titans Second League
51,18,32995,Ryan Kruger,2698181,SINOVILLE 4,,SINOVILLE 4,1200,2,250,60,10,0,0,320,Titans Second League
,18,32995,SINOVILLE 4,,,,,,,,,,,,,Titans Second League
52,18,32995,Bruce Crossey,3018342,CBCOB 3,,CBCOB 3,1196,10,277,30,10,0,0,317,Titans Second League
,18,32995,CBCOB 3,,,,,,,,,,,,,Titans Second League
53,18,32995,David Ewen,2987528,TUKS 6,,TUKS 6,1861,5,293,20,0,0,0,313,Titans Second League
,18,32995,TUKS 6,,,,,,,,,,,,,Titans Second League
54,18,32995,JP Goosen,2987481,SINOVILLE 4,,SINOVILLE 4,1200,2,0,240,20,50,1,310,Titans Second League
,18,32995,SINOVILLE 4,,,,,,,,,,,,,Titans Second League
55,18,32995,Pippie Kemm,3033949,PHSOB 3,,PHSOB 3,1193,4,182,40,20,50,1,292,Titans Second League
,18,32995,PHSOB 3,,,,,,,,,,,,,Titans Second League
56,18,32995,Tiaan Lotter,2934784,SINOVILLE 4,,SINOVILLE 4,1200,3,215,50,20,0,0,285,Titans Second League
,18,32995,SINOVILLE 4,,,,,,,,,,,,,Titans Second League
57,18,32995,Dylan Alberts,3018227,TUT 3,,TUT 3,1197,3,25,240,20,0,0,285,Titans Second League
,18,32995,TUT 3,,,,,,,,,,,,,Titans Second League
58,18,32995,Marius Bornman,2936833,TUKS 5,,TUKS 5,1860,9,222,30,30,0,0,282,Titans Second League
,18,32995,TUKS 5,,,,,,,,,,,,,Titans Second League
59,18,32995,Stanley Fabri,3056139,SINOVILLE 4,,SINOVILLE 4,1200,4,72,200,10,0,0,282,Titans Second League
,18,32995,SINOVILLE 4,,,,,,,,,,,,,Titans Second League
60,18,32995,Kofi Essel-mensah,2987529,TUKS 6,,TUKS 6,1861,6,211,50,20,0,0,281,Titans Second League
,18,32995,TUKS 6,,,,,,,,,,,,,Titans Second League
61,18,32995,Rhys Tuks6,3242941,TUKS 6,,TUKS 6,1861,1,216,0,0,50,1,266,Titans Second League
,18,32995,TUKS 6,,,,,,,,,,,,,Titans Second League
62,18,32995,Barend Huyzer,3018233,TUT 3,,TUT 3,1197,6,44,200,20,0,0,264,Titans Second League
,18,32995,TUT 3,,,,,,,,,,,,,Titans Second League
63,18,32995,Rudi Loibner,2935397,CBCOB 3,,CBCOB 3,1196,2,0,200,10,50,1,260,Titans Second League
,18,32995,CBCOB 3,,,,,,,,,,,,,Titans Second League
64,18,32995,Jos Grove,2936905,PHSOB 3,,PHSOB 3,1193,2,68,180,10,0,0,258,Titans Second League
,18,32995,PHSOB 3,,,,,,,,,,,,,Titans Second League
65,18,32995,Wian Nel,2987474,SINOVILLE 4,,SINOVILLE 4,1200,2,220,20,10,0,0,250,Titans Second League
,18,32995,SINOVILLE 4,,,,,,,,,,,,,Titans Second League
66,18,32995,Vernon van de Merwe,2985800,IRENE VILLAGERS 3,,IRENE VILLAGERS 3,1195,7,240,0,0,0,0,240,Titans Second League
,18,32995,IRENE VILLAGERS 3,,,,,,,,,,,,,Titans Second League
67,18,32995,Karel Verhoef,2987576,CBCOB 3,,CBCOB 3,1196,2,47,180,10,0,0,237,Titans Second League
,18,32995,CBCOB 3,,,,,,,,,,,,,Titans Second League
68,18,32995,Wian Ruthven,3267056,SINOVILLE 4,,SINOVILLE 4,1200,2,180,0,0,50,1,230,Titans Second League
,18,32995,SINOVILLE 4,,,,,,,,,,,,,Titans Second League
69,18,32995,Ryno Joubert,2985794,IRENE VILLAGERS 3,,IRENE VILLAGERS 3,1195,10,196,0,30,0,0,226,Titans Second League
,18,32995,IRENE VILLAGERS 3,,,,,,,,,,,,,Titans Second League
70,18,32995,Dieter Sinoville,3255255,SINOVILLE 4,,SINOVILLE 4,1200,1,224,0,0,0,0,224,Titans Second League
,18,32995,SINOVILLE 4,,,,,,,,,,,,,Titans Second League
71,18,32995,Charl Foxcroft,2097177,TUT 3,,TUT 3,1197,5,81,100,40,0,0,221,Titans Second League
,18,32995,TUT 3,,,,,,,,,,,,,Titans Second League
72,18,32995,Zian Stoop,2987574,CBCOB 3,,CBCOB 3,1196,1,219,0,0,0,0,219,Titans Second League
,18,32995,CBCOB 3,,,,,,,,,,,,,Titans Second League
73,18,32995,André Botes,3018347,CBCOB 3,,CBCOB 3,1196,8,14,190,10,0,0,214,Titans Second League
,18,32995,CBCOB 3,,,,,,,,,,,,,Titans Second League
74,18,32995,Kieran Anderson,2936859,TUKS 6,,TUKS 6,1861,6,212,-10,10,0,0,212,Titans Second League
,18,32995,TUKS 6,,,,,,,,,,,,,Titans Second League
75,18,32995,Ivan Venter,2936845,TUKS 5,,TUKS 5,1860,5,150,60,0,0,0,210,Titans Second League
,18,32995,TUKS 5,,,,,,,,,,,,,Titans Second League
76,18,32995,Andreas De Lange,2936853,TUKS 6,,TUKS 6,1861,4,28,180,0,0,0,208,Titans Second League
,18,32995,TUKS 6,,,,,,,,,,,,,Titans Second League
77,18,32995,Wian van Deventer,3257325,SINOVILLE 3,,SINOVILLE 3,1194,2,96,60,0,50,1,206,Titans Second League
,18,32995,SINOVILLE 3,,,,,,,,,,,,,Titans Second League
78,18,32995,Pieter Pretorius,2936910,PHSOB 3,,PHSOB 3,1193,1,22,170,10,0,0,202,Titans Second League
,18,32995,PHSOB 3,,,,,,,,,,,,,Titans Second League
79,18,32995,Martin Childs-Hurn,2936849,TUKS 5,,TUKS 5,1860,4,56,140,0,0,0,196,Titans Second League
,18,32995,TUKS 5,,,,,,,,,,,,,Titans Second League
80,18,32995,Anton Stassen,2936729,SINOVILLE 3,,SINOVILLE 3,1194,5,173,0,10,0,0,183,Titans Second League
,18,32995,SINOVILLE 3,,,,,,,,,,,,,Titans Second League
81,18,32995,Jacques Nel,2987580,CBCOB 3,,CBCOB 3,1196,5,0,160,20,0,0,180,Titans Second League
,18,32995,CBCOB 3,,,,,,,,,,,,,Titans Second League
82,18,32995,Tyron Denton,2936916,PHSOB 3,,PHSOB 3,1193,4,98,50,30,0,0,178,Titans Second League
,18,32995,PHSOB 3,,,,,,,,,,,,,Titans Second League
83,18,32995,Divan Behrens,3257324,SINOVILLE 3,,SINOVILLE 3,1194,2,47,130,0,0,0,177,Titans Second League
,18,32995,SINOVILLE 3,,,,,,,,,,,,,Titans Second League
84,18,32995,Riaan Davel,3163488,SINOVILLE 4,,SINOVILLE 4,1200,5,26,130,20,0,0,176,Titans Second League
,18,32995,SINOVILLE 4,,,,,,,,,,,,,Titans Second League
85,18,32995,Stefan van Staden,3056136,SINOVILLE 4,,SINOVILLE 4,1200,1,59,110,0,0,0,169,Titans Second League
,18,32995,SINOVILLE 4,,,,,,,,,,,,,Titans Second League
86,18,32995,JP Roets,3195753,SINOVILLE 4,,SINOVILLE 4,1200,3,57,110,0,0,0,167,Titans Second League
,18,32995,SINOVILLE 4,,,,,,,,,,,,,Titans Second League
87,18,32995,Frits Snyman,2936846,TUKS 5,,TUKS 5,1860,8,145,0,20,0,0,165,Titans Second League
,18,32995,TUKS 5,,,,,,,,,,,,,Titans Second League
88,18,32995,Erik Van Deventer,3033825,TUT 3,,TUT 3,1197,4,83,80,0,0,0,163,Titans Second League
,18,32995,TUT 3,,,,,,,,,,,,,Titans Second League
89,18,32995,JP Roets,3031810,SINOVILLE 3,,SINOVILLE 3,1194,6,-9,160,10,0,0,161,Titans Second League
,18,32995,SINOVILLE 3,,,,,,,,,,,,,Titans Second League
90,18,32995,Xander Venter,3229695,SINOVILLE 3,,SINOVILLE 3,1194,1,99,40,20,0,0,159,Titans Second League
,18,32995,SINOVILLE 3,,,,,,,,,,,,,Titans Second League
91,18,32995,Paul Gouws,3056110,CBCOB 3,,CBCOB 3,1196,4,107,30,20,0,0,157,Titans Second League
,18,32995,CBCOB 3,,,,,,,,,,,,,Titans Second League
92,18,32995,Hendre Du toit,2987477,SINOVILLE 4,,SINOVILLE 4,1200,5,46,110,0,0,0,156,Titans Second League
