SNO,PLAYER,TEAM_IMG,BLANK,TEAM,MAT,INS,NO,RUNS,BALLS,AVG,SR,HS,100s,75s,50s,25s,0s,6s,4s,League Name
30,David Ewen,TUKS 6,,TUKS 6,5,4,0,107,116,26.75,92.24,75,0,1,1,0,0,1,14,Titans Second League
,TUKS 6,,,,,,,,,,,,,,,,,,,Titans Second League
31,Stefan Grobler,TUT 3,,TUT 3,6,5,0,106,109,21.20,97.25,52,0,0,1,1,1,4,14,Titans Second League
,TUT 3,,,,,,,,,,,,,,,,,,,Titans Second League
32,Luca Tuks 6,TUKS 6,,TUKS 6,1,1,0,103,47,103.00,219.15,103,1,0,0,0,0,1,18,Titans Second League
,TUKS 6,,,,,,,,,,,,,,,,,,,Titans Second League
33,Wiehan Nel,SINOVILLE 3,,SINOVILLE 3,1,1,0,103,69,103.00,149.28,103,1,0,0,0,0,3,17,Titans Second League
,SINOVILLE 3,,,,,,,,,,,,,,,,,,,Titans Second League
34,Andre Meintjes IV,IRENE VILLAGERS 3,,IRENE VILLAGERS 3,6,5,0,102,121,20.40,84.30,55,0,0,1,1,1,0,19,Titans Second League
,IRENE VILLAGERS 3,,,,,,,,,,,,,,,,,,,Titans Second League
35,Kieran Anderson,TUKS 6,,TUKS 6,6,6,0,100,113,16.67,88.50,38,0,0,0,3,0,0,12,Titans Second League
,TUKS 6,,,,,,,,,,,,,,,,,,,Titans Second League
36,Donovan Steinberg,IRENE VILLAGERS 3,,IRENE VILLAGERS 3,7,7,2,95,96,19.00,98.96,38,0,0,0,2,1,2,7,Titans Second League
,IRENE VILLAGERS 3,,,,,,,,,,,,,,,,,,,Titans Second League
37,Vernon van de Merwe,IRENE VILLAGERS 3,,IRENE VILLAGERS 3,7,6,0,94,113,15.67,83.19,38,0,0,0,2,1,0,16,Titans Second League
,IRENE VILLAGERS 3,,,,,,,,,,,,,,,,,,,Titans Second League
