SNO,PLAYER,TEAM_IMG,BLANK,TEAM,MAT,INS,NO,RUNS,BALLS,AVG,SR,HS,100s,75s,50s,25s,0s,6s,4s,League Name
,SINOVILLE 3,,,,,,,,,,,,,,,,,,,Titans Second League
129,Aubery Smit,PHSOB 3,,PHSOB 3,1,1,0,20,21,20.00,95.24,20,0,0,0,0,0,0,4,Titans Second League
,PHSOB 3,,,,,,,,,,,,,,,,,,,Titans Second League
130,Playa3 Cbc,CBCOB 3,,CBCOB 3,1,1,1,20,42,--,47.62,20,0,0,0,0,0,0,1,Titans Second League
,CBCOB 3,,,,,,,,,,,,,,,,,,,Titans Second League
131,Deon Van Huyssteen,CBCOB 3,,CBCOB 3,7,2,0,19,18,9.50,105.56,13,0,0,0,0,0,1,1,Titans Second League
,CBCOB 3,,,,,,,,,,,,,,,,,,,Titans Second League
132,Morgan Potgiter,SINOVILLE 4,,SINOVILLE 4,1,1,1,18,12,--,150.00,18,0,0,0,0,0,1,1,Titans Second League
,SINOVILLE 4,,,,,,,,,,,,,,,,,,,Titans Second League
133,Jahnu Parvataneni,TUKS 6,,TUKS 6,1,1,1,18,17,--,105.88,18,0,0,0,0,0,1,2,Titans Second League
,TUKS 6,,,,,,,,,,,,,,,,,,,Titans Second League
134,Pieter Jansen van Rensburg,SINOVILLE 4,,SINOVILLE 4,1,1,0,18,18,18.00,100.00,18,0,0,0,0,0,0,3,Titans Second League
,SINOVILLE 4,,,,,,,,,,,,,,,,,,,Titans Second League
135,Thoriso Dibatana,TUKS 6,,TUKS 6,5,3,0,18,25,6.00,72.00,18,0,0,0,0,2,0,3,Titans Second League
,TUKS 6,,,,,,,,,,,,,,,,,,,Titans Second League
136,Hendre Du toit,SINOVILLE 3,,SINOVILLE 3,2,2,1,18,33,18.00,54.55,14,0,0,0,0,0,0,2,Titans Second League
,SINOVILLE 3,,,,,,,,,,,,,,,,,,,Titans Second League
137,Zander Jordaan,SINOVILLE 4,,SINOVILLE 4,2,1,0,17,16,17.00,106.25,17,0,0,0,0,0,0,3,Titans Second League
,SINOVILLE 4,,,,,,,,,,,,,,,,,,,Titans Second League
138,Stefan van Staden,SINOVILLE 4,,SINOVILLE 4,1,1,0,16,10,16.00,160.00,16,0,0,0,0,0,1,1,Titans Second League
,SINOVILLE 4,,,,,,,,,,,,,,,,,,,Titans Second League
139,Heinrich Hamman,SINOVILLE 4,,SINOVILLE 4,2,1,0,16,11,16.00,145.45,16,0,0,0,0,0,0,3,Titans Second League
,SINOVILLE 4,,,,,,,,,,,,,,,,,,,Titans Second League
140,Karel Verhoef,CBCOB 3,,CBCOB 3,2,1,0,16,11,16.00,145.45,16,0,0,0,0,0,0,1,Titans Second League
,CBCOB 3,,,,,,,,,,,,,,,,,,,Titans Second League
141,Adriaan Venter,CBCOB 3,,CBCOB 3,6,2,1,16,11,16.00,145.45,16,0,0,0,0,1,1,2,Titans Second League
,CBCOB 3,,,,,,,,,,,,,,,,,,,Titans Second League
142,Ettienne Du Toit,SINOVILLE 4,,SINOVILLE 4,1,1,0,16,16,16.00,100.00,16,0,0,0,0,0,2,0,Titans Second League
,SINOVILLE 4,,,,,,,,,,,,,,,,,,,Titans Second League
143,Samashan Naidoo,TUKS 5,,TUKS 5,1,1,0,16,20,16.00,80.00,16,0,0,0,0,0,0,3,Titans Second League
,TUKS 5,,,,,,,,,,,,,,,,,,,Titans Second League
144,Hancko Vosser,TUKS 5,,TUKS 5,5,4,4,16,23,--,69.57,8,0,0,0,0,0,0,1,Titans Second League
,TUKS 5,,,,,,,,,,,,,,,,,,,Titans Second League
145,Juandre Tuks 6,TUKS 6,,TUKS 6,3,3,0,16,37,5.33,43.24,9,0,0,0,0,0,0,3,Titans Second League
,TUKS 6,,,,,,,,,,,,,,,,,,,Titans Second League
146,Steven Meyburgh,PHSOB 3,,PHSOB 3,7,4,1,15,26,5.00,57.69,10,0,0,0,0,1,1,2,Titans Second League
,PHSOB 3,,,,,,,,,,,,,,,,,,,Titans Second League
147,Victor Van Niekerk,IRENE VILLAGERS 3,,IRENE VILLAGERS 3,6,4,1,15,31,5.00,48.39,8,0,0,0,0,2,1,0,Titans Second League
,IRENE VILLAGERS 3,,,,,,,,,,,,,,,,,,,Titans Second League
148,Riaan Davel,SINOVILLE 4,,SINOVILLE 4,4,1,0,14,19,14.00,73.68,14,0,0,0,0,0,0,2,Titans Second League
,SINOVILLE 4,,,,,,,,,,,,,,,,,,,Titans Second League
149,Jacques Joubert,IRENE VILLAGERS 3,,IRENE VILLAGERS 3,9,3,1,14,33,7.00,42.42,9,0,0,0,0,0,0,1,Titans Second League
,IRENE VILLAGERS 3,,,,,,,,,,,,,,,,,,,Titans Second League
150,Hendre Du toit,SINOVILLE 4,,SINOVILLE 4,3,2,0,14,38,7.00,36.84,11,0,0,0,0,0,0,2,Titans Second League
,SINOVILLE 4,,,,,,,,,,,,,,,,,,,Titans Second League
151,Humayon Baig Mirza,POLICE 3,,POLICE 3,3,2,0,14,83,7.00,16.87,14,0,0,0,0,1,0,1,Titans Second League
,POLICE 3,,,,,,,,,,,,,,,,,,,Titans Second League
152,André Botes,CBCOB 3,,CBCOB 3,8,2,2,13,14,--,92.86,8,0,0,0,0,0,0,1,Titans Second League
,CBCOB 3,,,,,,,,,,,,,,,,,,,Titans Second League
153,Henro Bouwer,SINOVILLE 3,,SINOVILLE 3,1,1,0,13,16,13.00,81.25,13,0,0,0,0,0,1,0,Titans Second League
,SINOVILLE 3,,,,,,,,,,,,,,,,,,,Titans Second League
154,Jorich Van Schalkwyk,SINOVILLE 4,,SINOVILLE 4,1,1,1,12,10,--,120.00,12,0,0,0,0,0,0,2,Titans Second League
,SINOVILLE 4,,,,,,,,,,,,,,,,,,,Titans Second League
155,Louniel Brits,SINOVILLE 4,,SINOVILLE 4,2,1,1,12,13,--,92.31,12,0,0,0,0,0,0,2,Titans Second League
,SINOVILLE 4,,,,,,,,,,,,,,,,,,,Titans Second League
156,Murray White,PHSOB 3,,PHSOB 3,1,1,1,12,17,--,70.59,12,0,0,0,0,0,0,1,Titans Second League
,PHSOB 3,,,,,,,,,,,,,,,,,,,Titans Second League
157,Gian Tuks 6,TUKS 6,,TUKS 6,3,3,1,12,27,6.00,44.44,7,0,0,0,0,1,0,0,Titans Second League
,TUKS 6,,,,,,,,,,,,,,,,,,,Titans Second League
158,MJ Gouws,SINOVILLE 3,,SINOVILLE 3,2,1,0,11,7,11.00,157.14,11,0,0,0,0,0,0,2,Titans Second League
,SINOVILLE 3,,,,,,,,,,,,,,,,,,,Titans Second League
159,Dylan Van wyk,SINOVILLE 4,,SINOVILLE 4,3,1,0,11,12,11.00,91.67,11,0,0,0,0,0,0,2,Titans Second League
,SINOVILLE 4,,,,,,,,,,,,,,,,,,,Titans Second League
160,Stefan Schutte,SINOVILLE 4,,SINOVILLE 4,2,1,0,11,12,11.00,91.67,11,0,0,0,0,0,0,2,Titans Second League
,SINOVILLE 4,,,,,,,,,,,,,,,,,,,Titans Second League
161,Amin Qasim,POLICE 3,,POLICE 3,3,2,0,11,19,5.50,57.89,11,0,0,0,0,1,0,2,Titans Second League
,POLICE 3,,,,,,,,,,,,,,,,,,,Titans Second League
162,Stephan Lotter,SINOVILLE 3,,SINOVILLE 3,1,1,0,10,8,10.00,125.00,10,0,0,0,0,0,1,1,Titans Second League
,SINOVILLE 3,,,,,,,,,,,,,,,,,,,Titans Second League
163,Keaton Steenkamp,SINOVILLE 3,,SINOVILLE 3,1,1,1,10,9,--,111.11,10,0,0,0,0,0,0,2,Titans Second League
,SINOVILLE 3,,,,,,,,,,,,,,,,,,,Titans Second League
164,Pieter Pretorius,PHSOB 3,,PHSOB 3,1,1,0,10,14,10.00,71.43,10,0,0,0,0,0,0,2,Titans Second League
,PHSOB 3,,,,,,,,,,,,,,,,,,,Titans Second League
165,Nico Kruger,TUKS 5,,TUKS 5,3,3,1,10,19,5.00,52.63,6,0,0,0,0,0,0,0,Titans Second League
,TUKS 5,,,,,,,,,,,,,,,,,,,Titans Second League
166,Tiaan Marais,TUKS 6,,TUKS 6,2,2,1,9,7,9.00,128.57,9,0,0,0,0,1,0,1,Titans Second League
,TUKS 6,,,,,,,,,,,,,,,,,,,Titans Second League
167,Adriaan Ferreira,PHSOB 3,,PHSOB 3,5,2,1,9,8,9.00,112.50,8,0,0,0,0,0,0,1,Titans Second League
,PHSOB 3,,,,,,,,,,,,,,,,,,,Titans Second League
168,Jean Caudron,SINOVILLE 4,,SINOVILLE 4,5,2,0,9,16,4.50,56.25,7,0,0,0,0,0,0,0,Titans Second League
,SINOVILLE 4,,,,,,,,,,,,,,,,,,,Titans Second League
169,Justin Mostert,POLICE 3,,POLICE 3,3,2,0,9,30,4.50,30.00,5,0,0,0,0,0,0,1,Titans Second League
,POLICE 3,,,,,,,,,,,,,,,,,,,Titans Second League
170,Hossin Rony,SINOVILLE 4,,SINOVILLE 4,1,1,0,8,9,8.00,88.89,8,0,0,0,0,0,1,0,Titans Second League
,SINOVILLE 4,,,,,,,,,,,,,,,,,,,Titans Second League
171,Jason Gillard,SINOVILLE 4,,SINOVILLE 4,1,1,0,8,11,8.00,72.73,8,0,0,0,0,0,0,0,Titans Second League
,SINOVILLE 4,,,,,,,,,,,,,,,,,,,Titans Second League
172,Zandré Nel,SINOVILLE 3,,SINOVILLE 3,1,1,0,8,16,8.00,50.00,8,0,0,0,0,0,0,2,Titans Second League
,SINOVILLE 3,,,,,,,,,,,,,,,,,,,Titans Second League
173,Louniel Prins,SINOVILLE 4,,SINOVILLE 4,1,1,0,8,18,8.00,44.44,8,0,0,0,0,0,0,1,Titans Second League
,SINOVILLE 4,,,,,,,,,,,,,,,,,,,Titans Second League
174,Joe Vickery,TUKS 6,,TUKS 6,2,1,0,8,20,8.00,40.00,8,0,0,0,0,0,0,1,Titans Second League
,TUKS 6,,,,,,,,,,,,,,,,,,,Titans Second League
175,Bradley Wright,IRENE VILLAGERS 3,,IRENE VILLAGERS 3,4,3,1,8,21,4.00,38.10,7,0,0,0,0,1,0,1,Titans Second League
,IRENE VILLAGERS 3,,,,,,,,,,,,,,,,,,,Titans Second League
176,Jaco de Vos,TUKS 5,,TUKS 5,1,1,1,7,3,--,233.33,7,0,0,0,0,0,0,1,Titans Second League
,TUKS 5,,,,,,,,,,,,,,,,,,,Titans Second League
177,Nicky van Mollendorf,TUT 3,,TUT 3,1,1,1,7,5,--,140.00,7,0,0,0,0,0,1,0,Titans Second League
,TUT 3,,,,,,,,,,,,,,,,,,,Titans Second League
178,Oliver Beauclerk,TUKS 6,,TUKS 6,1,1,0,7,8,7.00,87.50,7,0,0,0,0,0,1,0,Titans Second League
,TUKS 6,,,,,,,,,,,,,,,,,,,Titans Second League
179,Tom Dixon,PHSOB 3,,PHSOB 3,1,1,0,6,5,6.00,120.00,6,0,0,0,0,0,1,0,Titans Second League
,PHSOB 3,,,,,,,,,,,,,,,,,,,Titans Second League
180,Mohammed Arbaz,TUKS 6,,TUKS 6,5,3,0,6,12,2.00,50.00,4,0,0,0,0,1,0,1,Titans Second League
,TUKS 6,,,,,,,,,,,,,,,,,,,Titans Second League
181,Henco Erasmus,SINOVILLE 3,,SINOVILLE 3,1,1,1,6,23,--,26.09,6,0,0,0,0,0,0,1,Titans Second League
,SINOVILLE 3,,,,,,,,,,,,,,,,,,,Titans Second League
182,Henco Pretorius,SINOVILLE 4,,SINOVILLE 4,1,1,0,6,32,6.00,18.75,6,0,0,0,0,0,0,0,Titans Second League
,SINOVILLE 4,,,,,,,,,,,,,,,,,,,Titans Second League
183,Playa1 Cbc,CBCOB 3,,CBCOB 3,1,1,0,5,6,5.00,83.33,5,0,0,0,0,0,0,0,Titans Second League
,CBCOB 3,,,,,,,,,,,,,,,,,,,Titans Second League
184,Marinus Nel,CBCOB 3,,CBCOB 3,3,1,1,5,14,--,35.71,5,0,0,0,0,0,0,1,Titans Second League
,CBCOB 3,,,,,,,,,,,,,,,,,,,Titans Second League
185,Michael Stoop,PHSOB 3,,PHSOB 3,3,1,1,5,16,--,31.25,5,0,0,0,0,0,0,0,Titans Second League
,PHSOB 3,,,,,,,,,,,,,,,,,,,Titans Second League
186,Evert Grove,TUKS 5,,TUKS 5,2,2,0,5,22,2.50,22.73,5,0,0,0,0,1,0,0,Titans Second League
,TUKS 5,,,,,,,,,,,,,,,,,,,Titans Second League
187,Mark Bekker,TUT 3,,TUT 3,3,1,0,4,4,4.00,100.00,4,0,0,0,0,0,0,1,Titans Second League
,TUT 3,,,,,,,,,,,,,,,,,,,Titans Second League
188,Rudi Roets,SINOVILLE 4,,SINOVILLE 4,3,1,0,4,4,4.00,100.00,4,0,0,0,0,0,0,0,Titans Second League
,SINOVILLE 4,,,,,,,,,,,,,,,,,,,Titans Second League
189,Ewan Tuks 6,TUKS 6,,TUKS 6,1,1,0,4,5,4.00,80.00,4,0,0,0,0,0,0,1,Titans Second League
,TUKS 6,,,,,,,,,,,,,,,,,,,Titans Second League
190,Lourens Pieterse,IRENE VILLAGERS 3,,IRENE VILLAGERS 3,4,2,1,4,8,4.00,50.00,4,0,0,0,0,0,0,0,Titans Second League
,IRENE VILLAGERS 3,,,,,,,,,,,,,,,,,,,Titans Second League
191,Maans De Bruin,SINOVILLE 3,,SINOVILLE 3,1,1,0,4,8,4.00,50.00,4,0,0,0,0,0,0,1,Titans Second League
,SINOVILLE 3,,,,,,,,,,,,,,,,,,,Titans Second League
192,Anton Behr,POLICE 3,,POLICE 3,2,1,1,4,9,--,44.44,4,0,0,0,0,0,0,0,Titans Second League
,POLICE 3,,,,,,,,,,,,,,,,,,,Titans Second League
193,Gerrald Gouws,CBCOB 3,,CBCOB 3,2,2,0,4,10,2.00,40.00,4,0,0,0,0,1,0,1,Titans Second League
,CBCOB 3,,,,,,,,,,,,,,,,,,,Titans Second League
194,Hassin Rony,SINOVILLE 3,,SINOVILLE 3,1,1,0,4,10,4.00,40.00,4,0,0,0,0,0,0,0,Titans Second League
,SINOVILLE 3,,,,,,,,,,,,,,,,,,,Titans Second League
195,Bonolo Khuzwayo,TUKS 6,,TUKS 6,1,1,1,3,2,--,150.00,3,0,0,0,0,0,0,0,Titans Second League
,TUKS 6,,,,,,,,,,,,,,,,,,,Titans Second League
196,Dries Van der Lith,SINOVILLE 3,,SINOVILLE 3,2,1,1,3,4,--,75.00,3,0,0,0,0,0,0,0,Titans Second League
,SINOVILLE 3,,,,,,,,,,,,,,,,,,,Titans Second League
197,Tumelo Sinoville,SINOVILLE 4,,SINOVILLE 4,1,1,1,3,4,--,75.00,3,0,0,0,0,0,0,0,Titans Second League
,SINOVILLE 4,,,,,,,,,,,,,,,,,,,Titans Second League
198,Zander Vd Mescht,PHSOB 3,,PHSOB 3,2,2,0,3,5,1.50,60.00,3,0,0,0,0,1,0,0,Titans Second League
,PHSOB 3,,,,,,,,,,,,,,,,,,,Titans Second League
199,Johan Feuth,CBCOB 3,,CBCOB 3,3,1,0,3,5,3.00,60.00,3,0,0,0,0,0,0,0,Titans Second League
,CBCOB 3,,,,,,,,,,,,,,,,,,,Titans Second League
200,Jean Bezuidenhout,TUT 3,,TUT 3,1,1,0,3,13,3.00,23.08,3,0,0,0,0,0,0,0,Titans Second League
,TUT 3,,,,,,,,,,,,,,,,,,,Titans Second League
201,Rudi Roets,SINOVILLE 3,,SINOVILLE 3,3,2,2,2,1,--,200.00,2,0,0,0,0,0,0,0,Titans Second League
,SINOVILLE 3,,,,,,,,,,,,,,,,,,,Titans Second League
202,Botha Irene,IRENE VILLAGERS 3,,IRENE VILLAGERS 3,1,1,0,2,2,2.00,100.00,2,0,0,0,0,0,0,0,Titans Second League
,IRENE VILLAGERS 3,,,,,,,,,,,,,,,,,,,Titans Second League
203,Manie de Beer,SINOVILLE 4,,SINOVILLE 4,1,1,1,2,3,--,66.67,2,0,0,0,0,0,0,0,Titans Second League
,SINOVILLE 4,,,,,,,,,,,,,,,,,,,Titans Second League
204,Zandre Nel,SINOVILLE 4,,SINOVILLE 4,1,1,0,2,3,2.00,66.67,2,0,0,0,0,0,0,0,Titans Second League
,SINOVILLE 4,,,,,,,,,,,,,,,,,,,Titans Second League
205,Devon Almeida,CBCOB 3,,CBCOB 3,3,1,0,2,4,2.00,50.00,2,0,0,0,0,0,0,0,Titans Second League
,CBCOB 3,,,,,,,,,,,,,,,,,,,Titans Second League
206,Jo Veldman,CBCOB 3,,CBCOB 3,2,1,1,2,5,--,40.00,2,0,0,0,0,0,0,0,Titans Second League
,CBCOB 3,,,,,,,,,,,,,,,,,,,Titans Second League
207,Dylan Kotze,CBCOB 3,,CBCOB 3,3,2,2,2,6,--,33.33,1,0,0,0,0,0,0,0,Titans Second League
,CBCOB 3,,,,,,,,,,,,,,,,,,,Titans Second League
208,Frikkie Tuks6,TUKS 6,,TUKS 6,3,3,0,2,8,0.67,25.00,2,0,0,0,0,2,0,0,Titans Second League
,TUKS 6,,,,,,,,,,,,,,,,,,,Titans Second League
209,Dylan Howe-Dreyer,PHSOB 3,,PHSOB 3,1,1,0,2,9,2.00,22.22,2,0,0,0,0,0,0,0,Titans Second League
,PHSOB 3,,,,,,,,,,,,,,,,,,,Titans Second League
210,Luke Mogagene,TUKS 6,,TUKS 6,3,2,1,2,10,2.00,20.00,2,0,0,0,0,0,0,0,Titans Second League
,TUKS 6,,,,,,,,,,,,,,,,,,,Titans Second League
211,Tavish Seebran Ramthol,TUKS 6,,TUKS 6,1,1,0,2,16,2.00,12.50,2,0,0,0,0,0,0,0,Titans Second League
,TUKS 6,,,,,,,,,,,,,,,,,,,Titans Second League
212,Josh Brady,PHSOB 3,,PHSOB 3,1,1,1,1,1,--,100.00,1,0,0,0,0,0,0,0,Titans Second League
,PHSOB 3,,,,,,,,,,,,,,,,,,,Titans Second League
213,Edwin Xx,TUT 3,,TUT 3,2,1,0,1,2,1.00,50.00,1,0,0,0,0,0,0,0,Titans Second League
,TUT 3,,,,,,,,,,,,,,,,,,,Titans Second League
214,Byron Slaughter,SINOVILLE 4,,SINOVILLE 4,3,1,0,1,3,1.00,33.33,1,0,0,0,0,0,0,0,Titans Second League
,SINOVILLE 4,,,,,,,,,,,,,,,,,,,Titans Second League
215,Du Preez Prinsloo,SINOVILLE 3,,SINOVILLE 3,1,1,0,1,3,1.00,33.33,1,0,0,0,0,0,0,0,Titans Second League
,SINOVILLE 3,,,,,,,,,,,,,,,,,,,Titans Second League
216,Jeandre Joubert,SINOVILLE 3,,SINOVILLE 3,1,1,1,1,3,--,33.33,1,0,0,0,0,0,0,0,Titans Second League
,SINOVILLE 3,,,,,,,,,,,,,,,,,,,Titans Second League
217,Mawanda Nzimakhwe,TUKS 6,,TUKS 6,2,2,1,1,4,1.00,25.00,1,0,0,0,0,1,0,0,Titans Second League
,TUKS 6,,,,,,,,,,,,,,,,,,,Titans Second League
218,Sean Povey,SINOVILLE 4,,SINOVILLE 4,3,1,0,1,4,1.00,25.00,1,0,0,0,0,0,0,0,Titans Second League
,SINOVILLE 4,,,,,,,,,,,,,,,,,,,Titans Second League
219,Eddie Robenson,SINOVILLE 4,,SINOVILLE 4,1,1,1,1,4,--,25.00,1,0,0,0,0,0,0,0,Titans Second League
,SINOVILLE 4,,,,,,,,,,,,,,,,,,,Titans Second League
220,Johan Pansegrouw,IRENE VILLAGERS 3,,IRENE VILLAGERS 3,7,3,1,1,5,0.50,20.00,1,0,0,0,0,2,0,0,Titans Second League
,IRENE VILLAGERS 3,,,,,,,,,,,,,,,,,,,Titans Second League
221,Stephan Stoltz,CBCOB 3,,CBCOB 3,1,1,0,1,6,1.00,16.67,1,0,0,0,0,0,0,0,Titans Second League
,CBCOB 3,,,,,,,,,,,,,,,,,,,Titans Second League
222,JP Roets,SINOVILLE 3,,SINOVILLE 3,6,2,0,1,11,0.50,9.09,1,0,0,0,0,1,0,0,Titans Second League
,SINOVILLE 3,,,,,,,,,,,,,,,,,,,Titans Second League
223,Rudi Loibner,CBCOB 3,,CBCOB 3,2,0,0,0,0,--,0.00,0,0,0,0,0,0,0,0,Titans Second League
,CBCOB 3,,,,,,,,,,,,,,,,,,,Titans Second League
224,Jeandre van Molendorff,SINOVILLE 3,,SINOVILLE 3,1,0,0,0,0,--,0.00,0,0,0,0,0,0,0,0,Titans Second League
,SINOVILLE 3,,,,,,,,,,,,,,,,,,,Titans Second League
225,Ruan Breytenbach,SINOVILLE 3,,SINOVILLE 3,1,0,0,0,0,--,0.00,0,0,0,0,0,0,0,0,Titans Second League
,SINOVILLE 3,,,,,,,,,,,,,,,,,,,Titans Second League
226,Kutloano Maseko,TUKS 6,,TUKS 6,1,0,0,0,0,--,0.00,0,0,0,0,0,0,0,0,Titans Second League
,TUKS 6,,,,,,,,,,,,,,,,,,,Titans Second League
227,Dian Van der Walt,CBCOB 3,,CBCOB 3,2,0,0,0,0,--,0.00,0,0,0,0,0,0,0,0,Titans Second League
,CBCOB 3,,,,,,,,,,,,,,,,,,,Titans Second League
228,Hugo Pretorius,PHSOB 3,,PHSOB 3,2,0,0,0,0,--,0.00,0,0,0,0,0,0,0,0,Titans Second League
,PHSOB 3,,,,,,,,,,,,,,,,,,,Titans Second League
229,Manie de Beer,SINOVILLE 3,,SINOVILLE 3,1,0,0,0,0,--,0.00,0,0,0,0,0,0,0,0,Titans Second League
,SINOVILLE 3,,,,,,,,,,,,,,,,,,,Titans Second League
230,Juan Van den berg,SINOVILLE 4,,SINOVILLE 4,3,0,0,0,0,--,0.00,0,0,0,0,0,0,0,0,Titans Second League
,SINOVILLE 4,,,,,,,,,,,,,,,,,,,Titans Second League
231,JP Goosen,SINOVILLE 4,,SINOVILLE 4,2,0,0,0,0,--,0.00,0,0,0,0,0,0,0,0,Titans Second League
,SINOVILLE 4,,,,,,,,,,,,,,,,,,,Titans Second League
232,Jacques Nel,CBCOB 3,,CBCOB 3,5,0,0,0,0,--,0.00,0,0,0,0,0,0,0,0,Titans Second League
,CBCOB 3,,,,,,,,,,,,,,,,,,,Titans Second League
233,Matthew Bottham,CBCOB 3,,CBCOB 3,1,0,0,0,0,--,0.00,0,0,0,0,0,0,0,0,Titans Second League
,CBCOB 3,,,,,,,,,,,,,,,,,,,Titans Second League
234,Stephan Van Der Berg,CBCOB 3,,CBCOB 3,2,0,0,0,0,--,0.00,0,0,0,0,0,0,0,0,Titans Second League
,CBCOB 3,,,,,,,,,,,,,,,,,,,Titans Second League
235,Royes Auret,TUKS 5,,TUKS 5,2,0,0,0,0,--,0.00,0,0,0,0,0,0,0,0,Titans Second League
,TUKS 5,,,,,,,,,,,,,,,,,,,Titans Second League
236,Ethan McMean,IRENE VILLAGERS 3,,IRENE VILLAGERS 3,1,0,0,0,0,--,0.00,0,0,0,0,0,0,0,0,Titans Second League
,IRENE VILLAGERS 3,,,,,,,,,,,,,,,,,,,Titans Second League
237,Jason Gillard,SINOVILLE 3,,SINOVILLE 3,1,0,0,0,0,--,0.00,0,0,0,0,0,0,0,0,Titans Second League
,SINOVILLE 3,,,,,,,,,,,,,,,,,,,Titans Second League
238,David Fourie,CBCOB 3,,CBCOB 3,2,0,0,0,0,--,0.00,0,0,0,0,0,0,0,0,Titans Second League
,CBCOB 3,,,,,,,,,,,,,,,,,,,Titans Second League
239,Eddie Ndlovu,CBCOB 3,,CBCOB 3,2,0,0,0,0,--,0.00,0,0,0,0,0,0,0,0,Titans Second League
,CBCOB 3,,,,,,,,,,,,,,,,,,,Titans Second League
240,Gregg Gilson,CBCOB 3,,CBCOB 3,2,0,0,0,0,--,0.00,0,0,0,0,0,0,0,0,Titans Second League
,CBCOB 3,,,,,,,,,,,,,,,,,,,Titans Second League
241,Francios Botha,SINOVILLE 3,,SINOVILLE 3,1,0,0,0,0,--,0.00,0,0,0,0,0,0,0,0,Titans Second League
,SINOVILLE 3,,,,,,,,,,,,,,,,,,,Titans Second League
242,Maans Roubaix,SINOVILLE 3,,SINOVILLE 3,1,0,0,0,0,--,0.00,0,0,0,0,0,0,0,0,Titans Second League
,SINOVILLE 3,,,,,,,,,,,,,,,,,,,Titans Second League
243,Lucky Moshoati,TUKS 5,,TUKS 5,1,1,1,0,0,--,0.00,0,0,0,0,0,0,0,0,Titans Second League
,TUKS 5,,,,,,,,,,,,,,,,,,,Titans Second League
244,Stan Skinner,TUKS 5,,TUKS 5,1,0,0,0,0,--,0.00,0,0,0,0,0,0,0,0,Titans Second League
,TUKS 5,,,,,,,,,,,,,,,,,,,Titans Second League
245,Sana ullah Ula,POLICE 3,,POLICE 3,1,0,0,0,0,--,0.00,0,0,0,0,0,0,0,0,Titans Second League
,POLICE 3,,,,,,,,,,,,,,,,,,,Titans Second League
246,Preston Tuks6,TUKS 6,,TUKS 6,1,0,0,0,0,--,0.00,0,0,0,0,0,0,0,0,Titans Second League
,TUKS 6,,,,,,,,,,,,,,,,,,,Titans Second League
247,Stanley Fabri,SINOVILLE 3,,SINOVILLE 3,1,0,0,0,0,--,0.00,0,0,0,0,0,0,0,0,Titans Second League
,SINOVILLE 3,,,,,,,,,,,,,,,,,,,Titans Second League
248,Nicolai Bester,SINOVILLE 4,,SINOVILLE 4,1,0,0,0,0,--,0.00,0,0,0,0,0,0,0,0,Titans Second League
,SINOVILLE 4,,,,,,,,,,,,,,,,,,,Titans Second League
249,Johan Broekman,CBCOB 3,,CBCOB 3,1,0,0,0,0,--,0.00,0,0,0,0,0,0,0,0,Titans Second League
,CBCOB 3,,,,,,,,,,,,,,,,,,,Titans Second League
250,Franco Ferns,CBCOB 3,,CBCOB 3,1,0,0,0,0,--,0.00,0,0,0,0,0,0,0,0,Titans Second League
,CBCOB 3,,,,,,,,,,,,,,,,,,,Titans Second League
251,Brendan Freiser,CBCOB 3,,CBCOB 3,2,0,0,0,0,--,0.00,0,0,0,0,0,0,0,0,Titans Second League
,CBCOB 3,,,,,,,,,,,,,,,,,,,Titans Second League
252,Micheal van der Westhuizen,CBCOB 3,,CBCOB 3,5,0,0,0,0,--,0.00,0,0,0,0,0,0,0,0,Titans Second League
,CBCOB 3,,,,,,,,,,,,,,,,,,,Titans Second League
253,Jonson Cbc,CBCOB 3,,CBCOB 3,1,0,0,0,0,--,0.00,0,0,0,0,0,0,0,0,Titans Second League
,CBCOB 3,,,,,,,,,,,,,,,,,,,Titans Second League
254,Pieter Smit,CBCOB 3,,CBCOB 3,1,0,0,0,0,--,0.00,0,0,0,0,0,0,0,0,Titans Second League
,CBCOB 3,,,,,,,,,,,,,,,,,,,Titans Second League
255,Khumo Tlhoaela,CBCOB 3,,CBCOB 3,1,0,0,0,0,--,0.00,0,0,0,0,0,0,0,0,Titans Second League
,CBCOB 3,,,,,,,,,,,,,,,,,,,Titans Second League
256,Riaan Davel,SINOVILLE 3,,SINOVILLE 3,1,0,0,0,0,--,0.00,0,0,0,0,0,0,0,0,Titans Second League
,SINOVILLE 3,,,,,,,,,,,,,,,,,,,Titans Second League
257,Kai Trimpelmann,SINOVILLE 4,,SINOVILLE 4,1,0,0,0,0,--,0.00,0,0,0,0,0,0,0,0,Titans Second League
,SINOVILLE 4,,,,,,,,,,,,,,,,,,,Titans Second League
258,Berno Klopper,SINOVILLE 4,,SINOVILLE 4,1,0,0,0,0,--,0.00,0,0,0,0,0,0,0,0,Titans Second League
,SINOVILLE 4,,,,,,,,,,,,,,,,,,,Titans Second League
259,Maritz Bezuidenhout,SINOVILLE 4,,SINOVILLE 4,2,0,0,0,0,--,0.00,0,0,0,0,0,0,0,0,Titans Second League
,SINOVILLE 4,,,,,,,,,,,,,,,,,,,Titans Second League
260,Brenden PHSOB 3,PHSOB 3,,PHSOB 3,1,0,0,0,0,--,0.00,0,0,0,0,0,0,0,0,Titans Second League
,PHSOB 3,,,,,,,,,,,,,,,,,,,Titans Second League
