SNO,LEAGUE_ID,CLUB_ID,PLAYER,PLAYER_ID,TEAM_IMG,BLANK,MAT,TEAM,TEAM_ID,INS,OVERS,RUNS,WKTS,BBF,MDNS,DOTS,ECON,AVE,SR,HATTRICK,4W,5W,WIDES,NB,League Name
,18,32995,IRENE VILLAGERS 3,,,,,,,,,,,,,,,,,,,,,,Titans Second League
24,18,32995,Jos Grove,2936905,PHSOB 3,,PHSOB 3,2,,2,11.0,66,6,46/ 4,0,43,6.00,11.00,11.0,0,1,0,6,1,Titans Second League
,18,32995,PHSOB 3,,,,,,,,,,,,,,,,,,,,,,Titans Second League
25,18,32995,Hein Smit,2985797,IRENE VILLAGERS 3,,IRENE VILLAGERS 3,5,,5,29.4,178,6,46/ 3,5,107,6.00,29.67,29.7,0,0,0,10,1,Titans Second League
,18,32995,IRENE VILLAGERS 3,,,,,,,,,,,,,,,,,,,,,,Titans Second League
26,18,32995,Rudi Loibner,2935397,CBCOB 3,,CBCOB 3,2,,1,4.5,15,5,15/ 5,0,21,3.10,3.00,5.8,0,0,1,1,0,Titans Second League
,18,32995,CBCOB 3,,,,,,,,,,,,,,,,,,,,,,Titans Second League
27,18,32995,JP Goosen,2987481,SINOVILLE 4,,SINOVILLE 4,2,,1,8.0,29,5,29/ 5,1,32,3.62,5.80,9.6,0,0,1,2,0,Titans Second League
,18,32995,SINOVILLE 4,,,,,,,,,,,,,,,,,,,,,,Titans Second League
28,18,32995,Keaton Steenkamp,2944947,SINOVILLE 4,,SINOVILLE 4,7,,5,21.5,103,5,21/ 3,2,82,4.72,20.60,26.2,0,0,0,10,1,Titans Second League
,18,32995,SINOVILLE 4,,,,,,,,,,,,,,,,,,,,,,Titans Second League
29,18,32995,Andreas De Lange,2936853,TUKS 6,,TUKS 6,4,,3,14.1,75,5,25/ 3,1,45,5.29,15.00,17.0,0,0,0,8,0,Titans Second League
,18,32995,TUKS 6,,,,,,,,,,,,,,,,,,,,,,Titans Second League
30,18,32995,Barend Huyzer,3018233,TUT 3,,TUT 3,6,,5,25.0,138,5,23/ 2,1,78,5.52,27.60,30.0,0,0,0,10,0,Titans Second League
,18,32995,TUT 3,,,,,,,,,,,,,,,,,,,,,,Titans Second League
31,18,32995,Chad Fortman,2936899,PHSOB 3,,PHSOB 3,7,,2,5.5,33,5,17/ 5,0,19,5.66,6.60,7.0,0,0,1,2,0,Titans Second League
,18,32995,PHSOB 3,,,,,,,,,,,,,,,,,,,,,,Titans Second League
32,18,32995,Juan Van den berg,2987480,SINOVILLE 4,,SINOVILLE 4,3,,2,13.0,49,4,21/ 2,5,61,3.77,12.25,19.5,0,0,0,10,0,Titans Second League
,18,32995,SINOVILLE 4,,,,,,,,,,,,,,,,,,,,,,Titans Second League
33,18,32995,Divan Behrens,3257324,SINOVILLE 3,,SINOVILLE 3,2,,2,7.0,35,4,31/ 3,0,33,5.00,8.75,10.5,0,0,0,10,3,Titans Second League
,18,32995,SINOVILLE 3,,,,,,,,,,,,,,,,,,,,,,Titans Second League
34,18,32995,Mark Bekker,3146406,TUT 3,,TUT 3,3,,2,10.3,54,4,26/ 2,0,40,5.14,13.50,15.8,0,0,0,10,0,Titans Second League
,18,32995,TUT 3,,,,,,,,,,,,,,,,,,,,,,Titans Second League
35,18,32995,Juan Van den berg,2987480,SINOVILLE 3,,SINOVILLE 3,3,,2,13.0,73,4,59/ 3,1,55,5.62,18.25,19.5,0,0,0,2,0,Titans Second League
,18,32995,SINOVILLE 3,,,,,,,,,,,,,,,,,,,,,,Titans Second League
36,18,32995,Pieter Pretorius,2936910,PHSOB 3,,PHSOB 3,1,,1,9.0,51,4,51/ 4,1,35,5.67,12.75,13.5,0,1,0,0,0,Titans Second League
,18,32995,PHSOB 3,,,,,,,,,,,,,,,,,,,,,,Titans Second League
37,18,32995,Charl Foxcroft,2097177,TUT 3,,TUT 3,5,,4,12.0,77,4,15/ 2,0,34,6.42,19.25,18.0,0,0,0,6,0,Titans Second League
,18,32995,TUT 3,,,,,,,,,,,,,,,,,,,,,,Titans Second League
38,18,32995,Caleb Eckard,3018344,CBCOB 3,,CBCOB 3,6,,5,17.0,113,4,22/ 2,1,60,6.65,28.25,25.5,0,0,0,18,0,Titans Second League
,18,32995,CBCOB 3,,,,,,,,,,,,,,,,,,,,,,Titans Second League
39,18,32995,Martin Childs-Hurn,2936849,TUKS 5,,TUKS 5,4,,4,10.0,69,4,10/ 3,1,32,6.90,17.25,15.0,0,0,0,18,0,Titans Second League
,18,32995,TUKS 5,,,,,,,,,,,,,,,,,,,,,,Titans Second League
40,18,32995,Andre Van wyk,3266939,TUKS 5,,TUKS 5,12,,10,27.2,189,4,10/ 2,1,90,6.91,47.25,41.0,0,0,0,26,0,Titans Second League
,18,32995,TUKS 5,,,,,,,,,,,,,,,,,,,,,,Titans Second League
41,18,32995,Jean Caudron,3180555,SINOVILLE 4,,SINOVILLE 4,5,,3,5.0,40,4,13/ 2,0,14,8.00,10.00,7.5,0,0,0,2,1,Titans Second League
,18,32995,SINOVILLE 4,,,,,,,,,,,,,,,,,,,,,,Titans Second League
42,18,32995,Karel Verhoef,2987576,CBCOB 3,,CBCOB 3,2,,1,9.0,26,3,26/ 3,2,36,2.89,8.67,18.0,0,0,0,2,0,Titans Second League
,18,32995,CBCOB 3,,,,,,,,,,,,,,,,,,,,,,Titans Second League
43,18,32995,Jacques Nel,2987580,CBCOB 3,,CBCOB 3,5,,3,14.0,46,3,17/ 2,1,65,3.29,15.33,28.0,0,0,0,6,0,Titans Second League
,18,32995,CBCOB 3,,,,,,,,,,,,,,,,,,,,,,Titans Second League
44,18,32995,Khumo Tlhoaela,3145213,CBCOB 3,,CBCOB 3,1,,1,6.0,26,3,26/ 3,1,27,4.33,8.67,12.0,0,0,0,1,0,Titans Second League
,18,32995,CBCOB 3,,,,,,,,,,,,,,,,,,,,,,Titans Second League
45,18,32995,Lourens Pieterse,3003046,IRENE VILLAGERS 3,,IRENE VILLAGERS 3,4,,4,23.4,116,3,16/ 2,1,90,4.90,38.67,47.3,0,0,0,5,0,Titans Second League
,18,32995,IRENE VILLAGERS 3,,,,,,,,,,,,,,,,,,,,,,Titans Second League
