SNO,LEAGUE_ID,CLUB_ID,PLAYER,PLAYER_ID,TEAM_IMG,BLANK,TEAM,TEAM_ID,MAT,INS,NO,RUNS,BALLS,AVG,SR,HS,100s,75s,50s,25s,0s,6s,4s,League Name
13,576,32995,Stefan Grobler,3018230,TUT 3,,TUT 3,3305,7,7,1,202,150,33.67,134.67,106,1,0,1,1,2,15,13,2023 Titans Second League
,576,32995,TUT 3,,,,,,,,,,,,,,,,,,,,,2023 Titans Second League
14,576,32995,Johan Pretorius,3255251,TUKS 5,,TUKS 5,3304,6,6,0,196,285,32.67,68.77,73,0,0,1,3,0,4,17,2023 Titans Second League
,576,32995,TUKS 5,,,,,,,,,,,,,,,,,,,,,2023 Titans Second League
15,576,32995,Brad Goss,4081458,PHSOB 3,,PHSOB 3,3300,5,5,1,191,167,47.75,114.37,88,0,1,2,1,0,3,29,2023 Titans Second League
,576,32995,PHSOB 3,,,,,,,,,,,,,,,,,,,,,2023 Titans Second League
16,576,32995,Tiaan Engelbrecht,2936837,TUKS 5,,TUKS 5,3304,13,12,1,191,210,17.36,90.95,64,0,0,2,0,3,3,16,2023 Titans Second League
,576,32995,TUKS 5,,,,,,,,,,,,,,,,,,,,,2023 Titans Second League
17,576,32995,Henco Murphy,3771718,IRENE VILLAGERS 3,,IRENE VILLAGERS 3,3299,8,8,2,186,263,31.00,70.72,52,0,0,1,3,0,6,14,2023 Titans Second League
,576,32995,IRENE VILLAGERS 3,,,,,,,,,,,,,,,,,,,,,2023 Titans Second League
18,576,32995,Gerhard De Bruin,2936835,TUKS 5,,TUKS 5,3304,12,11,2,174,213,19.33,81.69,53,0,0,1,2,3,5,15,2023 Titans Second League
,576,32995,TUKS 5,,,,,,,,,,,,,,,,,,,,,2023 Titans Second League
19,576,32995,Jason Weiss,4198489,SINOVILLE 4,,SINOVILLE 4,3303,1,1,1,168,64,--,262.50,168,1,0,0,0,0,13,17,2023 Titans Second League
,576,32995,SINOVILLE 4,,,,,,,,,,,,,,,,,,,,,2023 Titans Second League
20,576,32995,Gerhard Swanepoel,3713453,IRENE VILLAGERS 3,,IRENE VILLAGERS 3,3299,9,8,1,165,163,23.57,101.23,51,0,0,1,2,0,7,13,2023 Titans Second League
,576,32995,IRENE VILLAGERS 3,,,,,,,,,,,,,,,,,,,,,2023 Titans Second League
21,576,32995,Martin Van Tonder,2840539,TUKS 5,,TUKS 5,3304,16,15,2,164,200,12.62,82.00,38,0,0,0,2,1,0,22,2023 Titans Second League
,576,32995,TUKS 5,,,,,,,,,,,,,,,,,,,,,2023 Titans Second League
22,576,32995,Pieter Pretorius,4116054,HARLEQUINS 3,,HARLEQUINS 3,3306,3,3,2,163,148,163.00,110.14,112,1,0,1,0,0,4,15,2023 Titans Second League
,576,32995,HARLEQUINS 3,,,,,,,,,,,,,,,,,,,,,2023 Titans Second League
23,576,32995,Duan St Arnaud,3145215,PHSOB 3,,PHSOB 3,3300,4,4,0,160,179,40.00,89.39,104,1,0,1,0,2,8,17,2023 Titans Second League
,576,32995,PHSOB 3,,,,,,,,,,,,,,,,,,,,,2023 Titans Second League
24,576,32995,Quintin Pretorius,3745417,SINOVILLE 3,,SINOVILLE 3,3302,2,2,1,155,105,155.00,147.62,87,0,1,2,0,0,9,16,2023 Titans Second League
,576,32995,SINOVILLE 3,,,,,,,,,,,,,,,,,,,,,2023 Titans Second League
25,576,32995,Ruan Ebersohn,2985830,IRENE VILLAGERS 4,,IRENE VILLAGERS 4,3307,11,11,3,144,247,18.00,58.30,38,0,0,0,3,2,0,15,2023 Titans Second League
,576,32995,IRENE VILLAGERS 4,,,,,,,,,,,,,,,,,,,,,2023 Titans Second League
26,576,32995,Nico de Bruyn,3180581,TUKS 5,,TUKS 5,3304,12,12,0,141,261,11.75,54.02,25,0,0,0,1,1,3,14,2023 Titans Second League
,576,32995,TUKS 5,,,,,,,,,,,,,,,,,,,,,2023 Titans Second League
27,576,32995,Brent Hartley,2985828,IRENE VILLAGERS 4,,IRENE VILLAGERS 4,3307,13,13,2,133,266,12.09,50.00,43,0,0,0,1,1,0,17,2023 Titans Second League
,576,32995,IRENE VILLAGERS 4,,,,,,,,,,,,,,,,,,,,,2023 Titans Second League
28,576,32995,Jeandre Roux,3018228,TUT 3,,TUT 3,3305,5,5,1,132,192,33.00,68.75,76,0,1,1,1,2,1,10,2023 Titans Second League
,576,32995,TUT 3,,,,,,,,,,,,,,,,,,,,,2023 Titans Second League
29,576,32995,Gunter Geyser,3771717,IRENE VILLAGERS 4,,IRENE VILLAGERS 4,3307,2,2,0,129,120,64.50,107.50,65,0,0,2,0,0,9,13,2023 Titans Second League
,576,32995,IRENE VILLAGERS 4,,,,,,,,,,,,,,,,,,,,,2023 Titans Second League
30,576,32995,Ruan Brenner,3180560,PHSOB 3,,PHSOB 3,3300,4,3,1,122,127,61.00,96.06,54,0,0,1,2,0,6,14,2023 Titans Second League
,576,32995,PHSOB 3,,,,,,,,,,,,,,,,,,,,,2023 Titans Second League
31,576,32995,Ab Rasool,4116168,IRENE VILLAGERS 3,,IRENE VILLAGERS 3,3299,4,4,0,121,156,30.25,77.56,54,0,0,1,1,1,2,13,2023 Titans Second League
,576,32995,IRENE VILLAGERS 3,,,,,,,,,,,,,,,,,,,,,2023 Titans Second League
32,576,32995,Nico Minnaar,3713344,TUT 3,,TUT 3,3305,5,5,0,120,89,24.00,134.83,40,0,0,0,2,0,8,13,2023 Titans Second League
,576,32995,TUT 3,,,,,,,,,,,,,,,,,,,,,2023 Titans Second League
33,576,32995,Rigardt Saaiman,3729566,CBCOB 3,,CBCOB 3,3298,7,6,0,116,193,19.33,60.10,35,0,0,0,2,0,0,11,2023 Titans Second League
,576,32995,CBCOB 3,,,,,,,,,,,,,,,,,,,,,2023 Titans Second League
34,576,32995,Christoff  Pompie Helm,2985831,IRENE VILLAGERS 4,,IRENE VILLAGERS 4,3307,13,13,2,113,276,10.27,40.94,27,0,0,0,2,3,0,11,2023 Titans Second League
,576,32995,IRENE VILLAGERS 4,,,,,,,,,,,,,,,,,,,,,2023 Titans Second League
35,576,32995,Kyle Kunneke,2985826,IRENE VILLAGERS 3,,IRENE VILLAGERS 3,3299,14,8,8,110,149,--,73.83,44,0,0,0,2,0,1,7,2023 Titans Second League
,576,32995,IRENE VILLAGERS 3,,,,,,,,,,,,,,,,,,,,,2023 Titans Second League
36,576,32995,Pieter Janse van Rensburg,2934773,SINOVILLE 3,,SINOVILLE 3,3302,1,1,0,109,97,109.00,112.37,109,1,0,0,0,0,0,0,2023 Titans Second League
,576,32995,SINOVILLE 3,,,,,,,,,,,,,,,,,,,,,2023 Titans Second League
37,576,32995,Tiaan Lotter,2934784,SINOVILLE 3,,SINOVILLE 3,3302,5,5,0,109,107,21.80,101.87,48,0,0,0,2,0,4,9,2023 Titans Second League
,576,32995,SINOVILLE 3,,,,,,,,,,,,,,,,,,,,,2023 Titans Second League
38,576,32995,Jacques Van Rooyen,3795662,IRENE VILLAGERS 3,,IRENE VILLAGERS 3,3299,8,7,2,107,105,21.40,101.90,61,0,0,1,0,1,7,7,2023 Titans Second League
,576,32995,IRENE VILLAGERS 3,,,,,,,,,,,,,,,,,,,,,2023 Titans Second League
39,576,32995,Justin Van Bassen,2936896,PHSOB 3,,PHSOB 3,3300,9,8,0,106,97,13.25,109.28,36,0,0,0,1,1,3,16,2023 Titans Second League
,576,32995,PHSOB 3,,,,,,,,,,,,,,,,,,,,,2023 Titans Second League
40,576,32995,Bennie Viljoen,3745424,IRENE VILLAGERS 4,,IRENE VILLAGERS 4,3307,3,3,0,106,105,35.33,100.95,64,0,0,1,1,0,1,13,2023 Titans Second League
,576,32995,IRENE VILLAGERS 4,,,,,,,,,,,,,,,,,,,,,2023 Titans Second League
41,576,32995,Dillon Kotze,3729565,CBCOB 3,,CBCOB 3,3298,2,2,1,106,155,106.00,68.39,100,1,0,0,0,0,0,18,2023 Titans Second League
,576,32995,CBCOB 3,,,,,,,,,,,,,,,,,,,,,2023 Titans Second League
42,576,32995,Rowan Sweetman,4196332,HARLEQUINS 3,,HARLEQUINS 3,3306,2,2,0,104,118,52.00,88.14,63,0,0,1,1,0,3,8,2023 Titans Second League
,576,32995,HARLEQUINS 3,,,,,,,,,,,,,,,,,,,,,2023 Titans Second League
43,576,32995,Zandre Jordaan,2934760,SINOVILLE 3,,SINOVILLE 3,3302,1,1,1,103,62,--,166.13,103,1,0,0,0,0,0,0,2023 Titans Second League
,576,32995,SINOVILLE 3,,,,,,,,,,,,,,,,,,,,,2023 Titans Second League
44,576,32995,Pete Harlequins 3,3783175,HARLEQUINS 3,,HARLEQUINS 3,3306,1,1,0,103,120,103.00,85.83,103,1,0,0,0,0,1,14,2023 Titans Second League
,576,32995,HARLEQUINS 3,,,,,,,,,,,,,,,,,,,,,2023 Titans Second League
45,576,32995,Berno Klopper,3180553,SINOVILLE 3,,SINOVILLE 3,3302,7,7,2,97,123,19.40,78.86,24,0,0,0,0,1,1,7,2023 Titans Second League
,576,32995,SINOVILLE 3,,,,,,,,,,,,,,,,,,,,,2023 Titans Second League
46,576,32995,Lessego Teffo,4196334,HARLEQUINS 3,,HARLEQUINS 3,3306,2,2,0,95,89,47.50,106.74,54,0,0,1,1,0,2,12,2023 Titans Second League
,576,32995,HARLEQUINS 3,,,,,,,,,,,,,,,,,,,,,2023 Titans Second League
47,576,32995,Niel Coetzee,3018224,TUT 3,,TUT 3,3305,7,7,0,89,172,12.71,51.74,31,0,0,0,2,1,0,10,2023 Titans Second League
,576,32995,TUT 3,,,,,,,,,,,,,,,,,,,,,2023 Titans Second League
48,576,32995,Gerbrandt Viviers,3018253,IRENE VILLAGERS 4,,IRENE VILLAGERS 4,3307,4,4,0,88,85,22.00,103.53,43,0,0,0,1,0,4,12,2023 Titans Second League
,576,32995,IRENE VILLAGERS 4,,,,,,,,,,,,,,,,,,,,,2023 Titans Second League
49,576,32995,Pippie Kemm,3033949,PHSOB 3,,PHSOB 3,3300,2,2,1,87,120,87.00,72.50,58,0,0,1,1,0,1,11,2023 Titans Second League
,576,32995,PHSOB 3,,,,,,,,,,,,,,,,,,,,,2023 Titans Second League
50,576,32995,Jan Verwas,3795657,SINOVILLE 3,,SINOVILLE 3,3302,3,3,0,84,80,28.00,105.00,38,0,0,0,2,0,0,5,2023 Titans Second League
,576,32995,SINOVILLE 3,,,,,,,,,,,,,,,,,,,,,2023 Titans Second League
51,576,32995,Matthew Collins,3729933,IRENE VILLAGERS 3,,IRENE VILLAGERS 3,3299,8,6,0,83,91,13.83,91.21,20,0,0,0,0,0,0,10,2023 Titans Second League
,576,32995,IRENE VILLAGERS 3,,,,,,,,,,,,,,,,,,,,,2023 Titans Second League
52,576,32995,Adriaan Venter,3673677,CBCOB 3,,CBCOB 3,3298,2,2,0,81,83,40.50,97.59,56,0,0,1,1,0,3,7,2023 Titans Second League
,576,32995,CBCOB 3,,,,,,,,,,,,,,,,,,,,,2023 Titans Second League
53,576,32995,Sam Wearne,4163812,IRENE VILLAGERS 3,,IRENE VILLAGERS 3,3299,2,2,0,80,84,40.00,95.24,47,0,0,0,2,0,1,11,2023 Titans Second League
,576,32995,IRENE VILLAGERS 3,,,,,,,,,,,,,,,,,,,,,2023 Titans Second League
54,576,32995,Armin Havenga,3729570,CBCOB 3,,CBCOB 3,3298,5,4,0,80,108,20.00,74.07,41,0,0,0,1,1,2,11,2023 Titans Second League
,576,32995,CBCOB 3,,,,,,,,,,,,,,,,,,,,,2023 Titans Second League
55,576,32995,Christo Swanepoel,2936900,PHSOB 3,,PHSOB 3,3300,8,6,0,79,138,13.17,57.25,35,0,0,0,1,0,1,10,2023 Titans Second League
,576,32995,PHSOB 3,,,,,,,,,,,,,,,,,,,,,2023 Titans Second League
56,576,32995,JG Adendorff,4198488,SINOVILLE 4,,SINOVILLE 4,3303,1,1,0,78,62,78.00,125.81,78,0,1,1,0,0,1,8,2023 Titans Second League
,576,32995,SINOVILLE 4,,,,,,,,,,,,,,,,,,,,,2023 Titans Second League
57,576,32995,Donovan du Toit,3713457,TUKS 5,,TUKS 5,3304,13,11,3,77,120,9.62,64.17,14,0,0,0,0,0,2,6,2023 Titans Second League
,576,32995,TUKS 5,,,,,,,,,,,,,,,,,,,,,2023 Titans Second League
58,576,32995,Sheldon Meiring,3772079,PHSOB 3,,PHSOB 3,3300,4,4,1,76,80,25.33,95.00,48,0,0,0,1,0,2,7,2023 Titans Second League
,576,32995,PHSOB 3,,,,,,,,,,,,,,,,,,,,,2023 Titans Second League
59,576,32995,Christoff van Rooyen,3783173,HARLEQUINS 3,,HARLEQUINS 3,3306,1,1,1,76,88,--,86.36,76,0,1,1,0,0,1,5,2023 Titans Second League
,576,32995,HARLEQUINS 3,,,,,,,,,,,,,,,,,,,,,2023 Titans Second League
60,576,32995,Divan Behrens,3257324,SINOVILLE 3,,SINOVILLE 3,3302,1,1,0,75,86,75.00,87.21,75,0,1,1,0,0,2,6,2023 Titans Second League
,576,32995,SINOVILLE 3,,,,,,,,,,,,,,,,,,,,,2023 Titans Second League
61,576,32995,Callen Stephen,3782749,PHSOB 3,,PHSOB 3,3300,4,4,1,75,94,25.00,79.79,71,0,0,1,0,2,5,9,2023 Titans Second League
,576,32995,PHSOB 3,,,,,,,,,,,,,,,,,,,,,2023 Titans Second League
62,576,32995,Paul Gouws,3056110,CBCOB 3,,CBCOB 3,3298,3,2,0,74,69,37.00,107.25,52,0,0,1,0,0,0,4,2023 Titans Second League
,576,32995,CBCOB 3,,,,,,,,,,,,,,,,,,,,,2023 Titans Second League
63,576,32995,Stefan Strydom,2985833,IRENE VILLAGERS 4,,IRENE VILLAGERS 4,3307,6,6,0,74,72,12.33,102.78,30,0,0,0,1,2,0,15,2023 Titans Second League
,576,32995,IRENE VILLAGERS 4,,,,,,,,,,,,,,,,,,,,,2023 Titans Second League
64,576,32995,Dylan Kotze,2987579,CBCOB 3,,CBCOB 3,3298,5,5,0,74,107,14.80,69.16,46,0,0,0,1,0,0,11,2023 Titans Second League
,576,32995,CBCOB 3,,,,,,,,,,,,,,,,,,,,,2023 Titans Second League
65,576,32995,Louis van Zyl,3003071,CBCOB 3,,CBCOB 3,3298,3,3,1,70,72,35.00,97.22,39,0,0,0,1,0,2,11,2023 Titans Second League
,576,32995,CBCOB 3,,,,,,,,,,,,,,,,,,,,,2023 Titans Second League
66,576,32995,Papi Cbf,4143516,CBCOB 3,,CBCOB 3,3298,2,2,0,69,88,34.50,78.41,41,0,0,0,2,0,1,9,2023 Titans Second League
,576,32995,CBCOB 3,,,,,,,,,,,,,,,,,,,,,2023 Titans Second League
67,576,32995,Marco Rudolph,3795245,SINOVILLE 4,,SINOVILLE 4,3303,2,2,0,68,75,34.00,90.67,54,0,0,1,0,0,1,2,2023 Titans Second League
,576,32995,SINOVILLE 4,,,,,,,,,,,,,,,,,,,,,2023 Titans Second League
68,576,32995,Nicolas Conradie,4163790,IRENE VILLAGERS 4,,IRENE VILLAGERS 4,3307,2,2,0,67,76,33.50,88.16,38,0,0,0,2,0,2,9,2023 Titans Second League
,576,32995,IRENE VILLAGERS 4,,,,,,,,,,,,,,,,,,,,,2023 Titans Second League
69,576,32995,Jonathan Barwick,3745435,HARLEQUINS 3,,HARLEQUINS 3,3306,1,1,0,66,66,66.00,100.00,66,0,0,1,0,0,2,10,2023 Titans Second League
,576,32995,HARLEQUINS 3,,,,,,,,,,,,,,,,,,,,,2023 Titans Second League
70,576,32995,Lafras Jenkins,4143518,PHSOB 3,,PHSOB 3,3300,3,3,2,66,114,66.00,57.89,40,0,0,0,1,0,1,9,2023 Titans Second League
,576,32995,PHSOB 3,,,,,,,,,,,,,,,,,,,,,2023 Titans Second League
71,576,32995,Tristan De Klerk,3912805,IRENE VILLAGERS 3,,IRENE VILLAGERS 3,3299,5,4,1,62,86,20.67,72.09,38,0,0,0,1,1,4,5,2023 Titans Second League
,576,32995,IRENE VILLAGERS 3,,,,,,,,,,,,,,,,,,,,,2023 Titans Second League
72,576,32995,Niel Britz,3745418,SINOVILLE 3,,SINOVILLE 3,3302,1,1,0,60,31,60.00,193.55,60,0,0,1,0,0,1,10,2023 Titans Second League
,576,32995,SINOVILLE 3,,,,,,,,,,,,,,,,,,,,,2023 Titans Second League
73,576,32995,Dewald Basson,3018234,TUT 3,,TUT 3,3305,7,5,2,60,101,20.00,59.41,27,0,0,0,1,0,0,7,2023 Titans Second League
,576,32995,TUT 3,,,,,,,,,,,,,,,,,,,,,2023 Titans Second League
74,576,32995,Jacques Van Rooyen,3745426,IRENE VILLAGERS 4,,IRENE VILLAGERS 4,3307,4,4,1,59,43,19.67,137.21,34,0,0,0,1,1,5,4,2023 Titans Second League
,576,32995,IRENE VILLAGERS 4,,,,,,,,,,,,,,,,,,,,,2023 Titans Second League
75,576,32995,Bennie Viljoen,3713450,IRENE VILLAGERS 3,,IRENE VILLAGERS 3,3299,4,4,0,59,52,14.75,113.46,47,0,0,0,1,1,0,9,2023 Titans Second League
,576,32995,IRENE VILLAGERS 3,,,,,,,,,,,,,,,,,,,,,2023 Titans Second League
76,576,32995,Peter Harold,4116053,HARLEQUINS 3,,HARLEQUINS 3,3306,2,2,0,59,61,29.50,96.72,40,0,0,0,1,0,1,6,2023 Titans Second League
,576,32995,HARLEQUINS 3,,,,,,,,,,,,,,,,,,,,,2023 Titans Second League
77,576,32995,Leon Bender,3730114,CBCOB 3,,CBCOB 3,3298,4,2,0,58,92,29.00,63.04,45,0,0,0,1,0,0,7,2023 Titans Second League
,576,32995,CBCOB 3,,,,,,,,,,,,,,,,,,,,,2023 Titans Second League
78,576,32995,Clayton Brunsdon,4100291,IRENE VILLAGERS 4,,IRENE VILLAGERS 4,3307,5,5,0,58,113,11.60,51.33,19,0,0,0,0,1,0,4,2023 Titans Second League
,576,32995,IRENE VILLAGERS 4,,,,,,,,,,,,,,,,,,,,,2023 Titans Second League
79,576,32995,Willem Sevenster,2049746,CBCOB 3,,CBCOB 3,3298,2,2,0,57,35,28.50,162.86,30,0,0,0,2,0,4,5,2023 Titans Second League
,576,32995,CBCOB 3,,,,,,,,,,,,,,,,,,,,,2023 Titans Second League
80,576,32995,Dewan Bohmer,4116166,PHSOB 3,,PHSOB 3,3300,4,3,2,57,36,57.00,158.33,40,0,0,0,1,1,4,6,2023 Titans Second League
,576,32995,PHSOB 3,,,,,,,,,,,,,,,,,,,,,2023 Titans Second League
81,576,32995,Gerbrant Vivers,3729931,IRENE VILLAGERS 3,,IRENE VILLAGERS 3,3299,2,2,0,56,86,28.00,65.12,29,0,0,0,2,0,1,5,2023 Titans Second League
,576,32995,IRENE VILLAGERS 3,,,,,,,,,,,,,,,,,,,,,2023 Titans Second League
82,576,32995,Emile Van de Merwe,4063606,IRENE VILLAGERS 4,,IRENE VILLAGERS 4,3307,4,4,0,55,91,13.75,60.44,24,0,0,0,0,0,0,4,2023 Titans Second League
,576,32995,IRENE VILLAGERS 4,,,,,,,,,,,,,,,,,,,,,2023 Titans Second League
83,576,32995,Leon Tut3,4186420,TUT 3,,TUT 3,3305,1,1,0,53,58,53.00,91.38,53,0,0,1,0,0,0,7,2023 Titans Second League
,576,32995,TUT 3,,,,,,,,,,,,,,,,,,,,,2023 Titans Second League
84,576,32995,Travis Joshua,3678955,HARLEQUINS 3,,HARLEQUINS 3,3306,4,2,1,53,101,53.00,52.48,45,0,0,0,1,0,0,5,2023 Titans Second League
,576,32995,HARLEQUINS 3,,,,,,,,,,,,,,,,,,,,,2023 Titans Second League
85,576,32995,Keaton Steenkamp,2944947,SINOVILLE 3,,SINOVILLE 3,3302,5,5,2,52,47,17.33,110.64,14,0,0,0,0,0,2,1,2023 Titans Second League
,576,32995,SINOVILLE 3,,,,,,,,,,,,,,,,,,,,,2023 Titans Second League
86,576,32995,Pieter Jansen van Rensburg,3198240,SINOVILLE 4,,SINOVILLE 4,3303,1,1,0,51,48,51.00,106.25,51,0,0,1,0,0,1,10,2023 Titans Second League
,576,32995,SINOVILLE 4,,,,,,,,,,,,,,,,,,,,,2023 Titans Second League
87,576,32995,Ruan Prinsloo,3795251,SINOVILLE 4,,SINOVILLE 4,3303,1,1,0,51,48,51.00,106.25,51,0,0,1,0,0,0,4,2023 Titans Second League
,576,32995,SINOVILLE 4,,,,,,,,,,,,,,,,,,,,,2023 Titans Second League
88,576,32995,Piet Botha,4063611,SINOVILLE 3,,SINOVILLE 3,3302,2,2,0,50,102,25.00,49.02,42,0,0,0,1,0,0,6,2023 Titans Second League
,576,32995,SINOVILLE 3,,,,,,,,,,,,,,,,,,,,,2023 Titans Second League
89,576,32995,Ryan Thurbon,3771716,IRENE VILLAGERS 4,,IRENE VILLAGERS 4,3307,6,6,0,50,148,8.33,33.78,14,0,0,0,0,1,0,4,2023 Titans Second League
,576,32995,IRENE VILLAGERS 4,,,,,,,,,,,,,,,,,,,,,2023 Titans Second League
90,576,32995,Steven Meyburgh,2937220,PHSOB 3,,PHSOB 3,3300,6,5,0,49,54,9.80,90.74,40,0,0,0,1,2,4,3,2023 Titans Second League
,576,32995,PHSOB 3,,,,,,,,,,,,,,,,,,,,,2023 Titans Second League
91,576,32995,Jaco de Vos,2936844,TUKS 5,,TUKS 5,3304,1,1,1,47,30,--,156.67,47,0,0,0,1,0,1,7,2023 Titans Second League
,576,32995,TUKS 5,,,,,,,,,,,,,,,,,,,,,2023 Titans Second League
92,576,32995,Joshua Isaacs,4063607,IRENE VILLAGERS 4,,IRENE VILLAGERS 4,3307,6,6,1,47,60,9.40,78.33,14,0,0,0,0,1,1,3,2023 Titans Second League
,576,32995,IRENE VILLAGERS 4,,,,,,,,,,,,,,,,,,,,,2023 Titans Second League
93,576,32995,Stefan Olivier,3729935,TUT 3,,TUT 3,3305,2,2,0,46,39,23.00,117.95,37,0,0,0,1,0,2,6,2023 Titans Second League
,576,32995,TUT 3,,,,,,,,,,,,,,,,,,,,,2023 Titans Second League
94,576,32995,Matt Collett,4081460,PHSOB 3,,PHSOB 3,3300,3,3,0,46,62,15.33,74.19,35,0,0,0,1,1,0,6,2023 Titans Second League
,576,32995,PHSOB 3,,,,,,,,,,,,,,,,,,,,,2023 Titans Second League
95,576,32995,Manie De Roubiax,4186422,SINOVILLE 4,,SINOVILLE 4,3303,2,1,1,46,68,--,67.65,46,0,0,0,1,0,0,7,2023 Titans Second League
,576,32995,SINOVILLE 4,,,,,,,,,,,,,,,,,,,,,2023 Titans Second League
96,576,32995,Ruben van Vuuren,3713452,IRENE VILLAGERS 3,,IRENE VILLAGERS 3,3299,3,3,1,45,57,22.50,78.95,30,0,0,0,1,0,1,4,2023 Titans Second League
,576,32995,IRENE VILLAGERS 3,,,,,,,,,,,,,,,,,,,,,2023 Titans Second League
97,576,32995,Tiaan Lotter,2934784,SINOVILLE 4,,SINOVILLE 4,3303,1,1,0,44,31,44.00,141.94,44,0,0,0,1,0,0,7,2023 Titans Second League
,576,32995,SINOVILLE 4,,,,,,,,,,,,,,,,,,,,,2023 Titans Second League
98,576,32995,Christo Bornman,4165764,SINOVILLE 4,,SINOVILLE 4,3303,1,1,0,43,53,43.00,81.13,43,0,0,0,1,0,0,6,2023 Titans Second League
,576,32995,SINOVILLE 4,,,,,,,,,,,,,,,,,,,,,2023 Titans Second League
99,576,32995,Stefan Strydom,2985833,IRENE VILLAGERS 3,,IRENE VILLAGERS 3,3299,2,2,0,42,40,21.00,105.00,24,0,0,0,0,0,1,6,2023 Titans Second League
,576,32995,IRENE VILLAGERS 3,,,,,,,,,,,,,,,,,,,,,2023 Titans Second League
100,576,32995,Walli Vayani,4081461,PHSOB 3,,PHSOB 3,3300,2,2,0,42,43,21.00,97.67,36,0,0,0,1,0,3,3,2023 Titans Second League
,576,32995,PHSOB 3,,,,,,,,,,,,,,,,,,,,,2023 Titans Second League
101,576,32995,Marius Bornman,2936833,TUKS 5,,TUKS 5,3304,5,5,1,41,27,10.25,151.85,18,0,0,0,0,2,0,9,2023 Titans Second League
,576,32995,TUKS 5,,,,,,,,,,,,,,,,,,,,,2023 Titans Second League
102,576,32995,Andre Schoombee,3745389,SINOVILLE 4,,SINOVILLE 4,3303,4,3,1,41,39,20.50,105.13,19,0,0,0,0,0,1,4,2023 Titans Second League
,576,32995,SINOVILLE 4,,,,,,,,,,,,,,,,,,,,,2023 Titans Second League
