SNO,LEAGUE_ID,CLUB_ID,MATCH_TYPE,DATE,TEAM_ONE,TEAM_ONE_URL,TEAM_ONE_ID,TEAM_ONE_CLUB_ID,TEAM_TWO,TEAM_TWO_URL,TEAM_TWO_ID,TEAM_TWO_CLUB_ID,RESULT,SCORES_SUMMARY_RAW,SCORECARD_URL,POINTS,SCORE_SUMMARY_TEAM_1,SCORE_SUMMARY_TEAM_1_SCORE,SCORE_SUMMARY_TEAM_2,SCORE_SUMMARY_TEAM_2_SCORE,League Name
16,576,32995,League,11/11/2023,IRENE VILLAGERS 4,https://cricclubs.com/TitansCricket/viewTeam.do?teamId=3307&clubId=32995,3307,32995,IRENE VILLAGERS 3,https://cricclubs.com/TitansCricket/viewTeam.do?teamId=3299&clubId=32995,3299,32995,IRENE VILLAGERS 3 won by 4 Wickets,IRENE VILLAGERS 4: 201/10(39.0) IRENE VILLAGERS 3: 202/6(33.5),https://cricclubs.com/TitansCricket/viewScorecard.do?matchId=3683&clubId=32995,4,IRENE VILLAGERS 4,201/10(39.0),IRENE VILLAGERS 3,202/6(33.5),2023 Titans Second League
15,576,32995,League,11/04/2023,IRENE VILLAGERS 4,https://cricclubs.com/TitansCricket/viewTeam.do?teamId=3307&clubId=32995,3307,32995,PHSOB 3,https://cricclubs.com/TitansCricket/viewTeam.do?teamId=3300&clubId=32995,3300,32995,IRENE VILLAGERS 4 won by 80 Runs,IRENE VILLAGERS 4: 339/8(45.0) PHSOB 3: 259/10(38.1),https://cricclubs.com/TitansCricket/viewScorecard.do?matchId=3625&clubId=32995,0,IRENE VILLAGERS 4,339/8(45.0),PHSOB 3,259/10(38.1),2023 Titans Second League
14,576,32995,League,11/04/2023,CBCOB 3,https://cricclubs.com/TitansCricket/viewTeam.do?teamId=3298&clubId=32995,3298,32995,HARLEQUINS 3,https://cricclubs.com/TitansCricket/viewTeam.do?teamId=3306&clubId=32995,3306,32995,CBCOB 3 won by 19 Runs,CBCOB 3: 218/9(45.0) HARLEQUINS 3: 199/10(39.2),https://cricclubs.com/TitansCricket/viewScorecard.do?matchId=3620&clubId=32995,0,CBCOB 3,218/9(45.0),HARLEQUINS 3,199/10(39.2),2023 Titans Second League
13,576,32995,League,11/04/2023,SINOVILLE 4,https://cricclubs.com/TitansCricket/viewTeam.do?teamId=3303&clubId=32995,3303,32995,TUT 3,https://cricclubs.com/TitansCricket/viewTeam.do?teamId=3305&clubId=32995,3305,32995,TUT 3 won by 6 Wickets,SINOVILLE 4: 225/9(45.0) TUT 3: 226/4(18.3),https://cricclubs.com/TitansCricket/viewScorecard.do?matchId=3604&clubId=32995,4,SINOVILLE 4,225/9(45.0),TUT 3,226/4(18.3),2023 Titans Second League
12,576,32995,League,11/04/2023,SINOVILLE 3,https://cricclubs.com/TitansCricket/viewTeam.do?teamId=3302&clubId=32995,3302,32995,TUKS 5,https://cricclubs.com/TitansCricket/viewTeam.do?teamId=3304&clubId=32995,3304,32995,SINOVILLE 3 won by 7 Runs,SINOVILLE 3: 159/10(30.1) TUKS 5: 152/10(33.5),https://cricclubs.com/TitansCricket/viewScorecard.do?matchId=3581&clubId=32995,0,SINOVILLE 3,159/10(30.1),TUKS 5,152/10(33.5),2023 Titans Second League
11,576,32995,League,10/28/2023,CBCOB 3,https://cricclubs.com/TitansCricket/viewTeam.do?teamId=3298&clubId=32995,3298,32995,TUT 3,https://cricclubs.com/TitansCricket/viewTeam.do?teamId=3305&clubId=32995,3305,32995,TUT 3 won by 7 Wickets,CBCOB 3: 209/10(45.0) TUT 3: 150/3(35.0),https://cricclubs.com/TitansCricket/viewScorecard.do?matchId=3448&clubId=32995,4,CBCOB 3,209/10(45.0),TUT 3,150/3(35.0),2023 Titans Second League
10,576,32995,League,10/28/2023,IRENE VILLAGERS 3,https://cricclubs.com/TitansCricket/viewTeam.do?teamId=3299&clubId=32995,3299,32995,HARLEQUINS 3,https://cricclubs.com/TitansCricket/viewTeam.do?teamId=3306&clubId=32995,3306,32995,HARLEQUINS 3 won by 3 Wickets,IRENE VILLAGERS 3: 154/10(30.5) HARLEQUINS 3: 155/7(32.3),https://cricclubs.com/TitansCricket/viewScorecard.do?matchId=3428&clubId=32995,4,IRENE VILLAGERS 3,154/10(30.5),HARLEQUINS 3,155/7(32.3),2023 Titans Second League
9,576,32995,League,10/28/2023,IRENE VILLAGERS 4,https://cricclubs.com/TitansCricket/viewTeam.do?teamId=3307&clubId=32995,3307,32995,SINOVILLE 3,https://cricclubs.com/TitansCricket/viewTeam.do?teamId=3302&clubId=32995,3302,32995,SINOVILLE 3 won by 4 Wickets,IRENE VILLAGERS 4: 210/8(40.0) SINOVILLE 3: 211/6(24.1),https://cricclubs.com/TitansCricket/viewScorecard.do?matchId=3426&clubId=32995,4,IRENE VILLAGERS 4,210/8(40.0),SINOVILLE 3,211/6(24.1),2023 Titans Second League
8,576,32995,League,10/28/2023,SINOVILLE 4,https://cricclubs.com/TitansCricket/viewTeam.do?teamId=3303&clubId=32995,3303,32995,TUKS 5,https://cricclubs.com/TitansCricket/viewTeam.do?teamId=3304&clubId=32995,3304,32995,SINOVILLE 4 won by 112 Runs,SINOVILLE 4: 270/9(42.0) TUKS 5: 158/10(28.0),https://cricclubs.com/TitansCricket/viewScorecard.do?matchId=3425&clubId=32995,0,SINOVILLE 4,270/9(42.0),TUKS 5,158/10(28.0),2023 Titans Second League
7,576,32995,League,10/21/2023,PHSOB 3,https://cricclubs.com/TitansCricket/viewTeam.do?teamId=3300&clubId=32995,3300,32995,HARLEQUINS 3,https://cricclubs.com/TitansCricket/viewTeam.do?teamId=3306&clubId=32995,3306,32995,PHSOB 3 won by 88 Runs,PHSOB 3: 296/9(45.0) HARLEQUINS 3: 208/10(45.0),https://cricclubs.com/TitansCricket/viewScorecard.do?matchId=3327&clubId=32995,0,PHSOB 3,296/9(45.0),HARLEQUINS 3,208/10(45.0),2023 Titans Second League
6,576,32995,League,10/21/2023,IRENE VILLAGERS 3,https://cricclubs.com/TitansCricket/viewTeam.do?teamId=3299&clubId=32995,3299,32995,TUT 3,https://cricclubs.com/TitansCricket/viewTeam.do?teamId=3305&clubId=32995,3305,32995,IRENE VILLAGERS 3 won by 50 Runs,IRENE VILLAGERS 3: 195/10(38.1) TUT 3: 145/10(32.1),https://cricclubs.com/TitansCricket/viewScorecard.do?matchId=3281&clubId=32995,0,IRENE VILLAGERS 3,195/10(38.1),TUT 3,145/10(32.1),2023 Titans Second League
5,576,32995,League,10/21/2023,TUKS 5,https://cricclubs.com/TitansCricket/viewTeam.do?teamId=3304&clubId=32995,3304,32995,CBCOB 3,https://cricclubs.com/TitansCricket/viewTeam.do?teamId=3298&clubId=32995,3298,32995,CBCOB 3 won by 8 Wickets,TUKS 5: 193/10(41.4) CBCOB 3: 197/2(36.2),https://cricclubs.com/TitansCricket/viewScorecard.do?matchId=3278&clubId=32995,4,TUKS 5,193/10(41.4),CBCOB 3,197/2(36.2),2023 Titans Second League
4,576,32995,League,10/14/2023,SINOVILLE 4,https://cricclubs.com/TitansCricket/viewTeam.do?teamId=3303&clubId=32995,3303,32995,CBCOB 3,https://cricclubs.com/TitansCricket/viewTeam.do?teamId=3298&clubId=32995,3298,32995,SINOVILLE 4 won by 34 Runs,SINOVILLE 4: 283/9(45.0) CBCOB 3: 249/10(44.0),https://cricclubs.com/TitansCricket/viewScorecard.do?matchId=3210&clubId=32995,0,SINOVILLE 4,283/9(45.0),CBCOB 3,249/10(44.0),2023 Titans Second League
3,576,32995,League,10/14/2023,HARLEQUINS 3,https://cricclubs.com/TitansCricket/viewTeam.do?teamId=3306&clubId=32995,3306,32995,IRENE VILLAGERS 4,https://cricclubs.com/TitansCricket/viewTeam.do?teamId=3307&clubId=32995,3307,32995,HARLEQUINS 3 won by 67 Runs,HARLEQUINS 3: 252/7(40.0) IRENE VILLAGERS 4: 185/10(35.4),https://cricclubs.com/TitansCricket/viewScorecard.do?matchId=3202&clubId=32995,0,HARLEQUINS 3,252/7(40.0),IRENE VILLAGERS 4,185/10(35.4),2023 Titans Second League
2,576,32995,League,10/14/2023,TUKS 5,https://cricclubs.com/TitansCricket/viewTeam.do?teamId=3304&clubId=32995,3304,32995,IRENE VILLAGERS 3,https://cricclubs.com/TitansCricket/viewTeam.do?teamId=3299&clubId=32995,3299,32995,IRENE VILLAGERS 3 won by 4 Wickets,TUKS 5: 91/10(18.5) IRENE VILLAGERS 3: 95/6(15.4),https://cricclubs.com/TitansCricket/viewScorecard.do?matchId=3157&clubId=32995,4,TUKS 5,91/10(18.5),IRENE VILLAGERS 3,95/6(15.4),2023 Titans Second League
1,576,32995,League,10/14/2023,PHSOB 3,https://cricclubs.com/TitansCricket/viewTeam.do?teamId=3300&clubId=32995,3300,32995,TUT 3,https://cricclubs.com/TitansCricket/viewTeam.do?teamId=3305&clubId=32995,3305,32995,TUT 3 won by 4 Wickets,PHSOB 3: 145/10(39.2) TUT 3: 147/6(24.2),https://cricclubs.com/TitansCricket/viewScorecard.do?matchId=3155&clubId=32995,4,PHSOB 3,145/10(39.2),TUT 3,147/6(24.2),2023 Titans Second League
