SNO,LEAGUE_ID,CLUB_ID,PLAYER,PLAYER_ID,TEAM_IMG,BLANK,MAT,TEAM,TEAM_ID,INS,OVERS,RUNS,WKTS,BBF,MDNS,DOTS,ECON,AVE,SR,HATTRICK,4W,5W,WIDES,NB,League Name
22,576,32995,Andre Kruyshaar,3795248,SINOVILLE 4,,SINOVILLE 4,5,,2,18.0,88,7,34/ 4,0,38,4.89,12.57,15.4,0,1,0,11,0,2023 Titans Second League
,576,32995,SINOVILLE 4,,,,,,,,,,,,,,,,,,,,,,2023 Titans Second League
23,576,32995,Stefan Grobler,3018230,TUT 3,,TUT 3,7,,7,38.2,223,7,17/ 2,2,139,5.82,31.86,32.9,0,0,0,20,5,2023 Titans Second League
,576,32995,TUT 3,,,,,,,,,,,,,,,,,,,,,,2023 Titans Second League
24,576,32995,Andre Schoombee,3745389,SINOVILLE 4,,SINOVILLE 4,4,,4,23.0,170,7,45/ 3,0,83,7.39,24.29,19.7,0,0,0,17,0,2023 Titans Second League
,576,32995,SINOVILLE 4,,,,,,,,,,,,,,,,,,,,,,2023 Titans Second League
25,576,32995,Piet Botha,4063611,SINOVILLE 3,,SINOVILLE 3,2,,2,15.4,53,6,19/ 3,3,66,3.38,8.83,15.7,0,0,0,2,0,2023 Titans Second League
,576,32995,SINOVILLE 3,,,,,,,,,,,,,,,,,,,,,,2023 Titans Second League
26,576,32995,Nico Minnaar,3713344,TUT 3,,TUT 3,5,,5,36.0,145,6,21/ 2,5,162,4.03,24.17,36.0,0,0,0,23,0,2023 Titans Second League
,576,32995,TUT 3,,,,,,,,,,,,,,,,,,,,,,2023 Titans Second League
27,576,32995,Clayton Brunsdon,4100291,IRENE VILLAGERS 4,,IRENE VILLAGERS 4,5,,5,27.1,139,6,39/ 2,1,99,5.12,23.17,27.2,0,0,0,4,0,2023 Titans Second League
,576,32995,IRENE VILLAGERS 4,,,,,,,,,,,,,,,,,,,,,,2023 Titans Second League
28,576,32995,Jacques Van Rooyen,3745426,IRENE VILLAGERS 4,,IRENE VILLAGERS 4,4,,4,30.3,159,6,50/ 5,0,110,5.21,26.50,30.5,0,0,1,12,0,2023 Titans Second League
,576,32995,IRENE VILLAGERS 4,,,,,,,,,,,,,,,,,,,,,,2023 Titans Second League
29,576,32995,Regan Pruss,3713341,PHSOB 3,,PHSOB 3,7,,6,32.0,175,6,15/ 2,3,132,5.47,29.17,32.0,0,0,0,13,2,2023 Titans Second League
,576,32995,PHSOB 3,,,,,,,,,,,,,,,,,,,,,,2023 Titans Second League
30,576,32995,Ruan Brenner,3180560,PHSOB 3,,PHSOB 3,4,,3,18.2,101,6,10/ 2,2,79,5.51,16.83,18.3,0,0,0,22,0,2023 Titans Second League
,576,32995,PHSOB 3,,,,,,,,,,,,,,,,,,,,,,2023 Titans Second League
31,576,32995,Elandré van den Berg,3713456,TUKS 5,,TUKS 5,11,,9,24.2,150,6,23/ 2,2,88,6.16,25.00,24.3,0,0,0,15,1,2023 Titans Second League
,576,32995,TUKS 5,,,,,,,,,,,,,,,,,,,,,,2023 Titans Second League
32,576,32995,Danie Kruger,3745390,SINOVILLE 4,,SINOVILLE 4,2,,2,11.0,77,6,41/ 6,1,33,7.00,12.83,11.0,0,0,1,11,0,2023 Titans Second League
,576,32995,SINOVILLE 4,,,,,,,,,,,,,,,,,,,,,,2023 Titans Second League
33,576,32995,Micheal TUT3,3772114,TUT 3,,TUT 3,5,,4,15.0,107,6,51/ 4,0,45,7.13,17.83,15.0,0,1,0,6,0,2023 Titans Second League
,576,32995,TUT 3,,,,,,,,,,,,,,,,,,,,,,2023 Titans Second League
34,576,32995,Johanco Faihst,3255252,TUKS 5,,TUKS 5,5,,3,16.4,56,5,14/ 2,2,67,3.36,11.20,20.0,0,0,0,0,0,2023 Titans Second League
,576,32995,TUKS 5,,,,,,,,,,,,,,,,,,,,,,2023 Titans Second League
35,576,32995,Matthew Collins,3729933,IRENE VILLAGERS 3,,IRENE VILLAGERS 3,8,,7,57.0,220,5,33/ 3,4,249,3.86,44.00,68.4,0,0,0,10,0,2023 Titans Second League
,576,32995,IRENE VILLAGERS 3,,,,,,,,,,,,,,,,,,,,,,2023 Titans Second League
36,576,32995,Dylan Kotze,2987579,CBCOB 3,,CBCOB 3,5,,3,24.0,104,5,21/ 2,0,85,4.33,20.80,28.8,0,0,0,1,0,2023 Titans Second League
,576,32995,CBCOB 3,,,,,,,,,,,,,,,,,,,,,,2023 Titans Second League
37,576,32995,Hendre Du toit,2987477,SINOVILLE 3,,SINOVILLE 3,2,,2,17.0,80,5,34/ 3,0,66,4.71,16.00,20.4,0,0,0,2,0,2023 Titans Second League
,576,32995,SINOVILLE 3,,,,,,,,,,,,,,,,,,,,,,2023 Titans Second League
38,576,32995,Pieter Pretorius,4116054,HARLEQUINS 3,,HARLEQUINS 3,3,,3,24.0,119,5,40/ 3,3,89,4.96,23.80,28.8,0,0,0,18,0,2023 Titans Second League
,576,32995,HARLEQUINS 3,,,,,,,,,,,,,,,,,,,,,,2023 Titans Second League
39,576,32995,Ruben van Vuuren,3713452,IRENE VILLAGERS 3,,IRENE VILLAGERS 3,3,,3,16.0,84,5,39/ 3,1,69,5.25,16.80,19.2,0,0,0,17,0,2023 Titans Second League
,576,32995,IRENE VILLAGERS 3,,,,,,,,,,,,,,,,,,,,,,2023 Titans Second League
40,576,32995,Justin Van Bassen,2936896,PHSOB 3,,PHSOB 3,9,,3,12.0,64,5,38/ 5,1,44,5.33,12.80,14.4,0,0,1,0,1,2023 Titans Second League
,576,32995,PHSOB 3,,,,,,,,,,,,,,,,,,,,,,2023 Titans Second League
41,576,32995,Tyler Lockhart,4185928,PHSOB 3,,PHSOB 3,2,,1,9.0,50,5,50/ 5,0,37,5.56,10.00,10.8,0,0,1,3,0,2023 Titans Second League
,576,32995,PHSOB 3,,,,,,,,,,,,,,,,,,,,,,2023 Titans Second League
42,576,32995,Devon Almeida,3242449,CBCOB 3,,CBCOB 3,2,,2,10.0,58,5,44/ 3,0,36,5.80,11.60,12.0,0,0,0,13,3,2023 Titans Second League
,576,32995,CBCOB 3,,,,,,,,,,,,,,,,,,,,,,2023 Titans Second League
43,576,32995,Heinrich Hamman,2987472,SINOVILLE 4,,SINOVILLE 4,2,,2,12.1,72,5,30/ 3,1,36,5.92,14.40,14.6,0,0,0,1,0,2023 Titans Second League
,576,32995,SINOVILLE 4,,,,,,,,,,,,,,,,,,,,,,2023 Titans Second League
