SNO,LEAGUE_ID,CLUB_ID,PLAYER,PLAYER_ID,TEAM_IMG,BLANK,TEAM,TEAM_ID,CATCHES,WK_CATCHES,DIRECT_RO,INDIRECT_RO,STUMPINGS,TOTAL,League Name
13,576,32995,Andro Vosloo,3713342,PHSOB 3,,PHSOB 3,3300,4,0,2,0,0,6,2023 Titans Second League
,576,32995,PHSOB 3,,,,,,,,,,,,2023 Titans Second League
14,576,32995,Christian Strydom,2936847,TUKS 5,,TUKS 5,3304,4,1,0,0,0,5,2023 Titans Second League
,576,32995,TUKS 5,,,,,,,,,,,,2023 Titans Second League
15,576,32995,Niel Coetzee,3018224,TUT 3,,TUT 3,3305,0,5,0,0,0,5,2023 Titans Second League
,576,32995,TUT 3,,,,,,,,,,,,2023 Titans Second League
16,576,32995,Dewald Basson,3018234,TUT 3,,TUT 3,3305,5,0,0,0,0,5,2023 Titans Second League
,576,32995,TUT 3,,,,,,,,,,,,2023 Titans Second League
17,576,32995,Berno Klopper,3180553,SINOVILLE 3,,SINOVILLE 3,3302,4,1,0,0,0,5,2023 Titans Second League
,576,32995,SINOVILLE 3,,,,,,,,,,,,2023 Titans Second League
18,576,32995,Chris van Niekerk,3713451,IRENE VILLAGERS 3,,IRENE VILLAGERS 3,3299,5,0,0,0,0,5,2023 Titans Second League
,576,32995,IRENE VILLAGERS 3,,,,,,,,,,,,2023 Titans Second League
19,576,32995,Donovan du Toit,3713457,TUKS 5,,TUKS 5,3304,5,0,0,0,0,5,2023 Titans Second League
,576,32995,TUKS 5,,,,,,,,,,,,2023 Titans Second League
20,576,32995,Elro Van der Heever,3745425,IRENE VILLAGERS 4,,IRENE VILLAGERS 4,3307,4,1,0,0,0,5,2023 Titans Second League
,576,32995,IRENE VILLAGERS 4,,,,,,,,,,,,2023 Titans Second League
21,576,32995,Jason Weiss,4198489,SINOVILLE 4,,SINOVILLE 4,3303,5,0,0,0,0,5,2023 Titans Second League
,576,32995,SINOVILLE 4,,,,,,,,,,,,2023 Titans Second League
22,576,32995,JP Roets,3031810,SINOVILLE 3,,SINOVILLE 3,3302,4,0,0,0,0,4,2023 Titans Second League
,576,32995,SINOVILLE 3,,,,,,,,,,,,2023 Titans Second League
23,576,32995,Johan Pretorius,3255251,TUKS 5,,TUKS 5,3304,4,0,0,0,0,4,2023 Titans Second League
,576,32995,TUKS 5,,,,,,,,,,,,2023 Titans Second League
24,576,32995,Rigardt Saaiman,3729566,CBCOB 3,,CBCOB 3,3298,4,0,0,0,0,4,2023 Titans Second League
,576,32995,CBCOB 3,,,,,,,,,,,,2023 Titans Second League
25,576,32995,Martin Faber,3795250,SINOVILLE 4,,SINOVILLE 4,3303,4,0,0,0,0,4,2023 Titans Second League
,576,32995,SINOVILLE 4,,,,,,,,,,,,2023 Titans Second League
26,576,32995,Stefan Grobler,3018230,TUT 3,,TUT 3,3305,3,0,1,0,0,4,2023 Titans Second League
,576,32995,TUT 3,,,,,,,,,,,,2023 Titans Second League
27,576,32995,Albert Myburgh,4024779,IRENE VILLAGERS 3,,IRENE VILLAGERS 3,3299,3,0,1,0,0,4,2023 Titans Second League
,576,32995,IRENE VILLAGERS 3,,,,,,,,,,,,2023 Titans Second League
28,576,32995,Steven Meyburgh,2937220,PHSOB 3,,PHSOB 3,3300,3,0,0,0,0,3,2023 Titans Second League
,576,32995,PHSOB 3,,,,,,,,,,,,2023 Titans Second League
29,576,32995,Mohapi Molete,2985827,IRENE VILLAGERS 4,,IRENE VILLAGERS 4,3307,3,0,0,0,0,3,2023 Titans Second League
,576,32995,IRENE VILLAGERS 4,,,,,,,,,,,,2023 Titans Second League
30,576,32995,Ruan Ebersohn,2985830,IRENE VILLAGERS 4,,IRENE VILLAGERS 4,3307,1,2,0,0,0,3,2023 Titans Second League
,576,32995,IRENE VILLAGERS 4,,,,,,,,,,,,2023 Titans Second League
31,576,32995,Christoff  Pompie Helm,2985831,IRENE VILLAGERS 4,,IRENE VILLAGERS 4,3307,0,3,0,0,0,3,2023 Titans Second League
,576,32995,IRENE VILLAGERS 4,,,,,,,,,,,,2023 Titans Second League
32,576,32995,Paul Gouws,3056110,CBCOB 3,,CBCOB 3,3298,3,0,0,0,0,3,2023 Titans Second League
,576,32995,CBCOB 3,,,,,,,,,,,,2023 Titans Second League
33,576,32995,Andre Van wyk,3266939,TUKS 5,,TUKS 5,3304,3,0,0,0,0,3,2023 Titans Second League
,576,32995,TUKS 5,,,,,,,,,,,,2023 Titans Second League
34,576,32995,Barry Van Nieuwenhuize,3713345,TUT 3,,TUT 3,3305,2,1,0,0,0,3,2023 Titans Second League
,576,32995,TUT 3,,,,,,,,,,,,2023 Titans Second League
35,576,32995,Riaan Scheepers,3713347,TUT 3,,TUT 3,3305,3,0,0,0,0,3,2023 Titans Second League
,576,32995,TUT 3,,,,,,,,,,,,2023 Titans Second League
36,576,32995,Elandré van den Berg,3713456,TUKS 5,,TUKS 5,3304,3,0,0,0,0,3,2023 Titans Second League
,576,32995,TUKS 5,,,,,,,,,,,,2023 Titans Second League
37,576,32995,Tyler Miller,3729934,IRENE VILLAGERS 3,,IRENE VILLAGERS 3,3299,3,0,0,0,0,3,2023 Titans Second League
,576,32995,IRENE VILLAGERS 3,,,,,,,,,,,,2023 Titans Second League
38,576,32995,Darren Seale,3759640,SINOVILLE 3,,SINOVILLE 3,3302,0,3,0,0,0,3,2023 Titans Second League
,576,32995,SINOVILLE 3,,,,,,,,,,,,2023 Titans Second League
39,576,32995,Jared Fourie,3783167,IRENE VILLAGERS 4,,IRENE VILLAGERS 4,3307,3,0,0,0,0,3,2023 Titans Second League
,576,32995,IRENE VILLAGERS 4,,,,,,,,,,,,2023 Titans Second League
40,576,32995,Josh Botes,3795663,IRENE VILLAGERS 3,,IRENE VILLAGERS 3,3299,3,0,0,0,0,3,2023 Titans Second League
,576,32995,IRENE VILLAGERS 3,,,,,,,,,,,,2023 Titans Second League
41,576,32995,Rudi Loibner,2935397,CBCOB 3,,CBCOB 3,3298,0,2,0,0,1,3,2023 Titans Second League
,576,32995,CBCOB 3,,,,,,,,,,,,2023 Titans Second League
42,576,32995,Brent Hartley,2985828,IRENE VILLAGERS 4,,IRENE VILLAGERS 4,3307,2,0,0,0,1,3,2023 Titans Second League
,576,32995,IRENE VILLAGERS 4,,,,,,,,,,,,2023 Titans Second League
43,576,32995,Matthew Thurbon,2985834,IRENE VILLAGERS 4,,IRENE VILLAGERS 4,3307,2,0,1,0,0,3,2023 Titans Second League
,576,32995,IRENE VILLAGERS 4,,,,,,,,,,,,2023 Titans Second League
44,576,32995,Christie Klopper,3772083,SINOVILLE 3,,SINOVILLE 3,3302,0,2,0,0,1,3,2023 Titans Second League
,576,32995,SINOVILLE 3,,,,,,,,,,,,2023 Titans Second League
45,576,32995,Willem Sevenster,2049746,CBCOB 3,,CBCOB 3,3298,1,1,0,0,0,2,2023 Titans Second League
,576,32995,CBCOB 3,,,,,,,,,,,,2023 Titans Second League
46,576,32995,Hein Loggenberg,2929078,SINOVILLE 4,,SINOVILLE 4,3303,2,0,0,0,0,2,2023 Titans Second League
,576,32995,SINOVILLE 4,,,,,,,,,,,,2023 Titans Second League
47,576,32995,Tiaan Lotter,2934784,SINOVILLE 3,,SINOVILLE 3,3302,2,0,0,0,0,2,2023 Titans Second League
,576,32995,SINOVILLE 3,,,,,,,,,,,,2023 Titans Second League
48,576,32995,Marius Bornman,2936833,TUKS 5,,TUKS 5,3304,2,0,0,0,0,2,2023 Titans Second League
,576,32995,TUKS 5,,,,,,,,,,,,2023 Titans Second League
49,576,32995,Riccardo Oosthuizen,2936842,TUKS 5,,TUKS 5,3304,2,0,0,0,0,2,2023 Titans Second League
,576,32995,TUKS 5,,,,,,,,,,,,2023 Titans Second League
50,576,32995,Martin Childs-Hurn,2936849,TUKS 5,,TUKS 5,3304,2,0,0,0,0,2,2023 Titans Second League
,576,32995,TUKS 5,,,,,,,,,,,,2023 Titans Second League
51,576,32995,James Twycross,2936917,PHSOB 3,,PHSOB 3,3300,2,0,0,0,0,2,2023 Titans Second League
,576,32995,PHSOB 3,,,,,,,,,,,,2023 Titans Second League
52,576,32995,Heinrich Hamman,2987472,SINOVILLE 4,,SINOVILLE 4,3303,0,2,0,0,0,2,2023 Titans Second League
,576,32995,SINOVILLE 4,,,,,,,,,,,,2023 Titans Second League
53,576,32995,Dylan Kotze,2987579,CBCOB 3,,CBCOB 3,3298,2,0,0,0,0,2,2023 Titans Second League
,576,32995,CBCOB 3,,,,,,,,,,,,2023 Titans Second League
54,576,32995,Louis van Zyl,3003071,CBCOB 3,,CBCOB 3,3298,2,0,0,0,0,2,2023 Titans Second League
,576,32995,CBCOB 3,,,,,,,,,,,,2023 Titans Second League
55,576,32995,Ruan Brenner,3180560,PHSOB 3,,PHSOB 3,3300,1,1,0,0,0,2,2023 Titans Second League
,576,32995,PHSOB 3,,,,,,,,,,,,2023 Titans Second League
56,576,32995,Nico de Bruyn,3180581,TUKS 5,,TUKS 5,3304,2,0,0,0,0,2,2023 Titans Second League
,576,32995,TUKS 5,,,,,,,,,,,,2023 Titans Second League
57,576,32995,Marco Rudolph,3229694,SINOVILLE 3,,SINOVILLE 3,3302,0,2,0,0,0,2,2023 Titans Second League
,576,32995,SINOVILLE 3,,,,,,,,,,,,2023 Titans Second League
58,576,32995,Divan Behrens,3257324,SINOVILLE 3,,SINOVILLE 3,3302,2,0,0,0,0,2,2023 Titans Second League
,576,32995,SINOVILLE 3,,,,,,,,,,,,2023 Titans Second League
59,576,32995,Adriaan Venter,3673677,CBCOB 3,,CBCOB 3,3298,1,1,0,0,0,2,2023 Titans Second League
,576,32995,CBCOB 3,,,,,,,,,,,,2023 Titans Second League
60,576,32995,Marcel Cilliers,3713449,IRENE VILLAGERS 3,,IRENE VILLAGERS 3,3299,2,0,0,0,0,2,2023 Titans Second League
,576,32995,IRENE VILLAGERS 3,,,,,,,,,,,,2023 Titans Second League
61,576,32995,Bennie Viljoen,3713450,IRENE VILLAGERS 3,,IRENE VILLAGERS 3,3299,2,0,0,0,0,2,2023 Titans Second League
,576,32995,IRENE VILLAGERS 3,,,,,,,,,,,,2023 Titans Second League
62,576,32995,Duncan Ackerman,3745419,SINOVILLE 3,,SINOVILLE 3,3302,2,0,0,0,0,2,2023 Titans Second League
,576,32995,SINOVILLE 3,,,,,,,,,,,,2023 Titans Second League
63,576,32995,Jacques Van Rooyen,3745426,IRENE VILLAGERS 4,,IRENE VILLAGERS 4,3307,1,1,0,0,0,2,2023 Titans Second League
,576,32995,IRENE VILLAGERS 4,,,,,,,,,,,,2023 Titans Second League
64,576,32995,Nick Brook,3745432,IRENE VILLAGERS 3,,IRENE VILLAGERS 3,3299,2,0,0,0,0,2,2023 Titans Second League
,576,32995,IRENE VILLAGERS 3,,,,,,,,,,,,2023 Titans Second League
65,576,32995,Etienne Tait,3745434,HARLEQUINS 3,,HARLEQUINS 3,3306,2,0,0,0,0,2,2023 Titans Second League
,576,32995,HARLEQUINS 3,,,,,,,,,,,,2023 Titans Second League
66,576,32995,Niel Alberts,3745436,HARLEQUINS 3,,HARLEQUINS 3,3306,2,0,0,0,0,2,2023 Titans Second League
,576,32995,HARLEQUINS 3,,,,,,,,,,,,2023 Titans Second League
67,576,32995,Micheal TUT3,3772114,TUT 3,,TUT 3,3305,2,0,0,0,0,2,2023 Titans Second League
,576,32995,TUT 3,,,,,,,,,,,,2023 Titans Second League
68,576,32995,Botha Geldenhuis,3795241,IRENE VILLAGERS 4,,IRENE VILLAGERS 4,3307,2,0,0,0,0,2,2023 Titans Second League
,576,32995,IRENE VILLAGERS 4,,,,,,,,,,,,2023 Titans Second League
69,576,32995,Amohelang Sebati,3795244,IRENE VILLAGERS 4,,IRENE VILLAGERS 4,3307,2,0,0,0,0,2,2023 Titans Second League
,576,32995,IRENE VILLAGERS 4,,,,,,,,,,,,2023 Titans Second League
70,576,32995,Jacques Van Rooyen,3795662,IRENE VILLAGERS 3,,IRENE VILLAGERS 3,3299,2,0,0,0,0,2,2023 Titans Second League
,576,32995,IRENE VILLAGERS 3,,,,,,,,,,,,2023 Titans Second League
71,576,32995,Gerhard Scheepers,3927337,IRENE VILLAGERS 4,,IRENE VILLAGERS 4,3307,2,0,0,0,0,2,2023 Titans Second League
,576,32995,IRENE VILLAGERS 4,,,,,,,,,,,,2023 Titans Second League
72,576,32995,Emile Van de Merwe,4063606,IRENE VILLAGERS 4,,IRENE VILLAGERS 4,3307,2,0,0,0,0,2,2023 Titans Second League
,576,32995,IRENE VILLAGERS 4,,,,,,,,,,,,2023 Titans Second League
73,576,32995,Joshua Isaacs,4063607,IRENE VILLAGERS 4,,IRENE VILLAGERS 4,3307,1,1,0,0,0,2,2023 Titans Second League
,576,32995,IRENE VILLAGERS 4,,,,,,,,,,,,2023 Titans Second League
74,576,32995,Trent Hardie,4116169,IRENE VILLAGERS 3,,IRENE VILLAGERS 3,3299,2,0,0,0,0,2,2023 Titans Second League
,576,32995,IRENE VILLAGERS 3,,,,,,,,,,,,2023 Titans Second League
75,576,32995,Sam Wearne,4163812,IRENE VILLAGERS 3,,IRENE VILLAGERS 3,3299,2,0,0,0,0,2,2023 Titans Second League
,576,32995,IRENE VILLAGERS 3,,,,,,,,,,,,2023 Titans Second League
76,576,32995,Mark Bekker,3146406,TUT 3,,TUT 3,3305,1,0,1,0,0,2,2023 Titans Second League
,576,32995,TUT 3,,,,,,,,,,,,2023 Titans Second League
77,576,32995,JP Roets,3195753,SINOVILLE 4,,SINOVILLE 4,3303,1,0,1,0,0,2,2023 Titans Second League
,576,32995,SINOVILLE 4,,,,,,,,,,,,2023 Titans Second League
78,576,32995,Ivan Havenga,3729571,CBCOB 3,,CBCOB 3,3298,1,0,1,0,0,2,2023 Titans Second League
,576,32995,CBCOB 3,,,,,,,,,,,,2023 Titans Second League
79,576,32995,Gunter Geyser,3771717,IRENE VILLAGERS 4,,IRENE VILLAGERS 4,3307,0,0,2,0,0,2,2023 Titans Second League
,576,32995,IRENE VILLAGERS 4,,,,,,,,,,,,2023 Titans Second League
80,576,32995,Tyler Lockhart,4185928,PHSOB 3,,PHSOB 3,3300,0,0,2,0,0,2,2023 Titans Second League
,576,32995,PHSOB 3,,,,,,,,,,,,2023 Titans Second League
81,576,32995,Charl Foxcroft,2097177,TUT 3,,TUT 3,3305,1,0,0,0,0,1,2023 Titans Second League
,576,32995,TUT 3,,,,,,,,,,,,2023 Titans Second League
82,576,32995,Tiaan Lotter,2934784,SINOVILLE 4,,SINOVILLE 4,3303,0,1,0,0,0,1,2023 Titans Second League
,576,32995,SINOVILLE 4,,,,,,,,,,,,2023 Titans Second League
83,576,32995,Oliver Beauclerk,2934812,HARLEQUINS 3,,HARLEQUINS 3,3306,1,0,0,0,0,1,2023 Titans Second League
,576,32995,HARLEQUINS 3,,,,,,,,,,,,2023 Titans Second League
84,576,32995,Ivan Venter,2936845,TUKS 5,,TUKS 5,3304,1,0,0,0,0,1,2023 Titans Second League
,576,32995,TUKS 5,,,,,,,,,,,,2023 Titans Second League
85,576,32995,Emil Rolfes,2936903,PHSOB 3,,PHSOB 3,3300,1,0,0,0,0,1,2023 Titans Second League
,576,32995,PHSOB 3,,,,,,,,,,,,2023 Titans Second League
86,576,32995,Heinrich Bisschoff,2936904,PHSOB 3,,PHSOB 3,3300,0,1,0,0,0,1,2023 Titans Second League
,576,32995,PHSOB 3,,,,,,,,,,,,2023 Titans Second League
87,576,32995,Jade Richter,2936920,PHSOB 3,,PHSOB 3,3300,1,0,0,0,0,1,2023 Titans Second League
,576,32995,PHSOB 3,,,,,,,,,,,,2023 Titans Second League
88,576,32995,Juan Van den berg,2987480,SINOVILLE 3,,SINOVILLE 3,3302,1,0,0,0,0,1,2023 Titans Second League
,576,32995,SINOVILLE 3,,,,,,,,,,,,2023 Titans Second League
89,576,32995,Juan Van den berg,2987480,SINOVILLE 4,,SINOVILLE 4,3303,1,0,0,0,0,1,2023 Titans Second League
,576,32995,SINOVILLE 4,,,,,,,,,,,,2023 Titans Second League
90,576,32995,Stephan Lotter,2990921,SINOVILLE 3,,SINOVILLE 3,3302,1,0,0,0,0,1,2023 Titans Second League
,576,32995,SINOVILLE 3,,,,,,,,,,,,2023 Titans Second League
91,576,32995,Erik Van Deventer,3033825,TUT 3,,TUT 3,3305,1,0,0,0,0,1,2023 Titans Second League
,576,32995,TUT 3,,,,,,,,,,,,2023 Titans Second League
92,576,32995,Gerrald Gouws,3056111,CBCOB 3,,CBCOB 3,3298,1,0,0,0,0,1,2023 Titans Second League
,576,32995,CBCOB 3,,,,,,,,,,,,2023 Titans Second League
93,576,32995,Stanley Fabri,3056139,SINOVILLE 3,,SINOVILLE 3,3302,1,0,0,0,0,1,2023 Titans Second League
,576,32995,SINOVILLE 3,,,,,,,,,,,,2023 Titans Second League
94,576,32995,Stanley Fabri,3056139,SINOVILLE 4,,SINOVILLE 4,3303,1,0,0,0,0,1,2023 Titans Second League
,576,32995,SINOVILLE 4,,,,,,,,,,,,2023 Titans Second League
95,576,32995,Johan Broekman,3069548,CBCOB 3,,CBCOB 3,3298,1,0,0,0,0,1,2023 Titans Second League
,576,32995,CBCOB 3,,,,,,,,,,,,2023 Titans Second League
96,576,32995,Gunter Geyer,3146508,IRENE VILLAGERS 4,,IRENE VILLAGERS 4,3307,1,0,0,0,0,1,2023 Titans Second League
,576,32995,IRENE VILLAGERS 4,,,,,,,,,,,,2023 Titans Second League
97,576,32995,Koketjo Moselenyane,3163476,HARLEQUINS 3,,HARLEQUINS 3,3306,1,0,0,0,0,1,2023 Titans Second League
,576,32995,HARLEQUINS 3,,,,,,,,,,,,2023 Titans Second League
98,576,32995,Devon Almeida,3242449,CBCOB 3,,CBCOB 3,3298,1,0,0,0,0,1,2023 Titans Second League
,576,32995,CBCOB 3,,,,,,,,,,,,2023 Titans Second League
99,576,32995,Lehlohonolo Moshoati,3266899,TUKS 5,,TUKS 5,3304,1,0,0,0,0,1,2023 Titans Second League
,576,32995,TUKS 5,,,,,,,,,,,,2023 Titans Second League
100,576,32995,Davie Fabri,3277437,SINOVILLE 3,,SINOVILLE 3,3302,1,0,0,0,0,1,2023 Titans Second League
,576,32995,SINOVILLE 3,,,,,,,,,,,,2023 Titans Second League
101,576,32995,Keegan Holmwood,3713339,PHSOB 3,,PHSOB 3,3300,1,0,0,0,0,1,2023 Titans Second League
,576,32995,PHSOB 3,,,,,,,,,,,,2023 Titans Second League
102,576,32995,Regan Pruss,3713341,PHSOB 3,,PHSOB 3,3300,1,0,0,0,0,1,2023 Titans Second League
,576,32995,PHSOB 3,,,,,,,,,,,,2023 Titans Second League
103,576,32995,Dirkie Kruger,3713346,TUT 3,,TUT 3,3305,1,0,0,0,0,1,2023 Titans Second League
,576,32995,TUT 3,,,,,,,,,,,,2023 Titans Second League
104,576,32995,Ryan Thurbon,3713447,IRENE VILLAGERS 3,,IRENE VILLAGERS 3,3299,1,0,0,0,0,1,2023 Titans Second League
,576,32995,IRENE VILLAGERS 3,,,,,,,,,,,,2023 Titans Second League
105,576,32995,Ruben van Vuuren,3713452,IRENE VILLAGERS 3,,IRENE VILLAGERS 3,3299,1,0,0,0,0,1,2023 Titans Second League
,576,32995,IRENE VILLAGERS 3,,,,,,,,,,,,2023 Titans Second League
106,576,32995,Hendré van Niekerk,3713455,IRENE VILLAGERS 3,,IRENE VILLAGERS 3,3299,1,0,0,0,0,1,2023 Titans Second League
,576,32995,IRENE VILLAGERS 3,,,,,,,,,,,,2023 Titans Second League
107,576,32995,Francke Botha,3716534,HARLEQUINS 3,,HARLEQUINS 3,3306,1,0,0,0,0,1,2023 Titans Second League
,576,32995,HARLEQUINS 3,,,,,,,,,,,,2023 Titans Second League
108,576,32995,Mandilulane Cbc3,3729567,CBCOB 3,,CBCOB 3,3298,1,0,0,0,0,1,2023 Titans Second League
,576,32995,CBCOB 3,,,,,,,,,,,,2023 Titans Second League
109,576,32995,Ruben Potgieter,3729568,CBCOB 3,,CBCOB 3,3298,1,0,0,0,0,1,2023 Titans Second League
,576,32995,CBCOB 3,,,,,,,,,,,,2023 Titans Second League
110,576,32995,Gerbrant Vivers,3729931,IRENE VILLAGERS 3,,IRENE VILLAGERS 3,3299,0,1,0,0,0,1,2023 Titans Second League
,576,32995,IRENE VILLAGERS 3,,,,,,,,,,,,2023 Titans Second League
111,576,32995,Mikky Hudson,3745386,TUKS 5,,TUKS 5,3304,1,0,0,0,0,1,2023 Titans Second League
,576,32995,TUKS 5,,,,,,,,,,,,2023 Titans Second League
112,576,32995,Reinhardt Hamman,3745388,SINOVILLE 4,,SINOVILLE 4,3303,1,0,0,0,0,1,2023 Titans Second League
,576,32995,SINOVILLE 4,,,,,,,,,,,,2023 Titans Second League
113,576,32995,Quintin Pretorius,3745417,SINOVILLE 3,,SINOVILLE 3,3302,1,0,0,0,0,1,2023 Titans Second League
,576,32995,SINOVILLE 3,,,,,,,,,,,,2023 Titans Second League
114,576,32995,Tiaan Botha,3745420,SINOVILLE 3,,SINOVILLE 3,3302,1,0,0,0,0,1,2023 Titans Second League
,576,32995,SINOVILLE 3,,,,,,,,,,,,2023 Titans Second League
115,576,32995,Zian De Jager,3745433,IRENE VILLAGERS 3,,IRENE VILLAGERS 3,3299,1,0,0,0,0,1,2023 Titans Second League
,576,32995,IRENE VILLAGERS 3,,,,,,,,,,,,2023 Titans Second League
116,576,32995,JJ Lesolang,3772080,PHSOB 3,,PHSOB 3,3300,1,0,0,0,0,1,2023 Titans Second League
,576,32995,PHSOB 3,,,,,,,,,,,,2023 Titans Second League
117,576,32995,Callen Stephen,3782749,PHSOB 3,,PHSOB 3,3300,1,0,0,0,0,1,2023 Titans Second League
,576,32995,PHSOB 3,,,,,,,,,,,,2023 Titans Second League
118,576,32995,Wessel Herbst,3783166,CBCOB 3,,CBCOB 3,3298,1,0,0,0,0,1,2023 Titans Second League
,576,32995,CBCOB 3,,,,,,,,,,,,2023 Titans Second League
119,576,32995,Gerrie Marais,3783169,HARLEQUINS 3,,HARLEQUINS 3,3306,1,0,0,0,0,1,2023 Titans Second League
,576,32995,HARLEQUINS 3,,,,,,,,,,,,2023 Titans Second League
120,576,32995,Logan Claasen,3795243,IRENE VILLAGERS 4,,IRENE VILLAGERS 4,3307,1,0,0,0,0,1,2023 Titans Second League
,576,32995,IRENE VILLAGERS 4,,,,,,,,,,,,2023 Titans Second League
121,576,32995,Ian Dorfling,3795252,SINOVILLE 4,,SINOVILLE 4,3303,1,0,0,0,0,1,2023 Titans Second League
,576,32995,SINOVILLE 4,,,,,,,,,,,,2023 Titans Second League
122,576,32995,Jared Fourie,3795661,IRENE VILLAGERS 3,,IRENE VILLAGERS 3,3299,1,0,0,0,0,1,2023 Titans Second League
,576,32995,IRENE VILLAGERS 3,,,,,,,,,,,,2023 Titans Second League
123,576,32995,Francois Viljoen,3912802,CBCOB 3,,CBCOB 3,3298,1,0,0,0,0,1,2023 Titans Second League
,576,32995,CBCOB 3,,,,,,,,,,,,2023 Titans Second League
124,576,32995,Tristan De Klerk,3912805,IRENE VILLAGERS 3,,IRENE VILLAGERS 3,3299,1,0,0,0,0,1,2023 Titans Second League
,576,32995,IRENE VILLAGERS 3,,,,,,,,,,,,2023 Titans Second League
125,576,32995,Sibusiso Mxube,4024776,IRENE VILLAGERS 3,,IRENE VILLAGERS 3,3299,1,0,0,0,0,1,2023 Titans Second League
,576,32995,IRENE VILLAGERS 3,,,,,,,,,,,,2023 Titans Second League
126,576,32995,Janru Brandt,4063608,IRENE VILLAGERS 4,,IRENE VILLAGERS 4,3307,1,0,0,0,0,1,2023 Titans Second League
,576,32995,IRENE VILLAGERS 4,,,,,,,,,,,,2023 Titans Second League
127,576,32995,Henco Irene,4063609,IRENE VILLAGERS 4,,IRENE VILLAGERS 4,3307,1,0,0,0,0,1,2023 Titans Second League
,576,32995,IRENE VILLAGERS 4,,,,,,,,,,,,2023 Titans Second League
128,576,32995,Brad Goss,4081458,PHSOB 3,,PHSOB 3,3300,1,0,0,0,0,1,2023 Titans Second League
,576,32995,PHSOB 3,,,,,,,,,,,,2023 Titans Second League
129,576,32995,Ryan Seymore,4100168,TUT 3,,TUT 3,3305,1,0,0,0,0,1,2023 Titans Second League
,576,32995,TUT 3,,,,,,,,,,,,2023 Titans Second League
130,576,32995,Josh Joubert,4100288,IRENE VILLAGERS 3,,IRENE VILLAGERS 3,3299,1,0,0,0,0,1,2023 Titans Second League
,576,32995,IRENE VILLAGERS 3,,,,,,,,,,,,2023 Titans Second League
131,576,32995,Joshua Isaac's,4100289,IRENE VILLAGERS 3,,IRENE VILLAGERS 3,3299,0,1,0,0,0,1,2023 Titans Second League
,576,32995,IRENE VILLAGERS 3,,,,,,,,,,,,2023 Titans Second League
132,576,32995,Sieg Dorfling,4143515,CBCOB 3,,CBCOB 3,3298,1,0,0,0,0,1,2023 Titans Second League
,576,32995,CBCOB 3,,,,,,,,,,,,2023 Titans Second League
133,576,32995,Estiaan Blom,4143526,SINOVILLE 3,,SINOVILLE 3,3302,1,0,0,0,0,1,2023 Titans Second League
