SNO,TEAM,MAT,WON,LOST,NR,TIE,PTS,WIN%,NET RR,FOR,AGAINST,FOR_RUNS,FOR_OVERS,AGAINST_RUNS,AGAINST_OVERS
1,PHSOB 3,14,9,3,2,0,40.0,75.00%,1.4425,2514/430.4,2270/516.3,2514,430.4,2270,516.3
2,IRENE VILLAGERS 3,14,8,3,3,0,38.0,72.73%,1.9979,1913/361.5,1428/434.1,1913,361.5,1428,434.1
3,TUT 3,14,8,3,3,0,38.0,72.73%,1.0166,1745/362.1,1584/416.4,1745,362.1,1584,416.4
4,CBCOB 3,13,5,3,5,0,30.0,62.50%,-0.164,1224/341.3,1280/341.3,1224,341.3,1280,341.3
5,TUKS 5,13,4,7,2,0,20.0,36.36%,0.1143,1781/395.2,1899/432.3,1781,395.2,1899,432.3
6,SINOVILLE 3,14,3,7,4,0,20.0,30.00%,-1.4815,1542/410.0,1564/298.2,1542,410.0,1564,298.2
7,HARLEQUINS 3,14,3,8,3,0,18.0,27.27%,-2.1393,1524/480.0,1922/361.4,1524,480.0,1922,361.4
8,IRENE VILLAGERS 4,14,2,8,4,0,16.0,20.00%,-1.5129,1701/430.0,1997/365.1,1701,430.0,1997,365.1
